E(MeV),xs(mb)
1.0e-11,30337.399999999998
1.03223e-11,29862.5
1.06549e-11,29395.2
1.0998399999999998e-11,28935.2
1.13527e-11,28482.6
1.1718599999999999e-11,28037.0
1.2096199999999998e-11,27598.600000000002
1.24861e-11,27167.0
1.2888399999999999e-11,26742.4
1.3303799999999998e-11,26324.399999999998
1.37325e-11,25913.2
1.41751e-11,25508.3
1.4631799999999997e-11,25109.9
1.51034e-11,24717.8
1.5590099999999998e-11,24331.999999999996
1.6092599999999998e-11,23952.2
1.66111e-11,23578.5
1.71465e-11,23210.600000000002
1.7699e-11,22848.7
1.8269399999999998e-11,22492.5
1.88581e-11,22142.0
1.94659e-11,21796.899999999998
2.00931e-11,21457.5
2.0740699999999998e-11,21123.3
2.1408999999999998e-11,20794.600000000002
2.2099099999999997e-11,20471.0
2.28111e-11,20152.600000000002
2.3546399999999998e-11,19839.2
2.4305099999999997e-11,19530.9
2.50884e-11,19227.399999999998
2.5896799999999997e-11,18928.8
2.67315e-11,18634.9
2.75928e-11,18345.8
2.8482199999999998e-11,18061.2
2.93999e-11,17781.2
3.0347499999999995e-11,17505.6
3.13253e-11,17234.5
3.2335e-11,16967.699999999997
3.33769e-11,16705.2
3.44526e-11,16446.8
3.55627e-11,16192.599999999999
3.67089e-11,15942.400000000001
3.7891799999999997e-11,15696.300000000001
3.9113e-11,15454.1
4.0373400000000003e-11,15215.9
4.1674599999999996e-11,14981.4
4.3017399999999996e-11,14750.7
4.440389999999999e-11,14523.699999999999
4.58347e-11,14300.4
4.7311899999999994e-11,14080.6
4.883639999999999e-11,13864.4
5.0410399999999995e-11,13651.7
5.20348e-11,13442.400000000001
5.37119e-11,13236.5
5.54426e-11,13033.9
5.7229499999999995e-11,12834.6
5.907359999999999e-11,12638.5
6.09775e-11,12445.6
6.29424e-11,12255.8
6.497099999999999e-11,12069.099999999999
6.70645e-11,11885.5
6.9226e-11,11704.8
7.145659999999999e-11,11527.0
7.37596e-11,11352.199999999999
