E(MeV),xs(mb)
1.0e-11,1.2163e9
1.03223e-11,1.19716e9
1.06549e-11,1.17834e9
1.0998399999999998e-11,1.1598e9
1.13527e-11,1.14157e9
1.1718599999999999e-11,1.12361e9
1.2096199999999998e-11,1.10594e9
1.24861e-11,1.08855e9
1.2888399999999999e-11,1.0714300000000001e9
1.3303799999999998e-11,1.0545800000000001e9
1.37325e-11,1.038e9
1.41751e-11,1.0216700000000001e9
1.4631799999999997e-11,1.0056099999999999e9
1.51034e-11,9.897919999999999e8
1.5590099999999998e-11,9.7423e8
1.6092599999999998e-11,9.58909e8
1.66111e-11,9.43833e8
1.71465e-11,9.289899999999999e8
1.7699e-11,9.14385e8
1.8269399999999998e-11,9.00006e8
1.88581e-11,8.85857e8
1.94659e-11,8.71927e8
2.00931e-11,8.58221e8
2.0740699999999998e-11,8.44726e8
2.1408999999999998e-11,8.31447e8
2.2099099999999997e-11,8.18374e8
2.28111e-11,8.055110000000001e8
2.3546399999999998e-11,7.92846e8
2.4305099999999997e-11,7.80385e8
2.50884e-11,7.68116e8
2.5896799999999997e-11,7.56044e8
2.67315e-11,7.44158e8
2.75928e-11,7.32463e8
2.8482199999999998e-11,7.20949e8
2.93999e-11,7.0962e8
3.0347499999999995e-11,6.98466e8
3.13253e-11,6.8749e8
3.2335e-11,6.76685e8
3.33769e-11,6.66052e8
3.44526e-11,6.55585e8
3.55627e-11,6.45285e8
3.67089e-11,6.35144e8
3.7891799999999997e-11,6.25166e8
3.9113e-11,6.15343e8
4.0373400000000003e-11,6.05677e8
4.1674599999999996e-11,5.96161e8
4.3017399999999996e-11,5.86797e8
4.440389999999999e-11,5.77578e8
4.58347e-11,5.68507e8
4.7311899999999994e-11,5.59577e8
4.883639999999999e-11,5.50789e8
5.0410399999999995e-11,5.42138e8
5.20348e-11,5.33625e8
5.37119e-11,5.2524499999999994e8
5.54426e-11,5.1699900000000006e8
5.7229499999999995e-11,5.0888099999999994e8
5.907359999999999e-11,5.00892e8
6.09775e-11,4.93028e8
6.29424e-11,4.8528900000000006e8
6.497099999999999e-11,4.7767099999999994e8
6.70645e-11,4.7017499999999994e8
6.9226e-11,4.62795e8
7.145659999999999e-11,4.55534e8
7.37596e-11,4.4838500000000006e8
7.61364e-11,4.4135099999999994e8
7.85902e-11,4.34426e8
8.11227e-11,4.2761199999999994e8
8.37372e-11,4.20904e8
8.643549999999999e-11,4.1430300000000006e8
8.922119999999998e-11,4.07805e8
9.209619999999999e-11,4.0141099999999994e8
9.506439999999999e-11,3.95117e8
9.81277e-11,3.88923e8
1.01291e-10,3.82825e8
1.04554e-10,3.76826e8
1.07924e-10,3.70919e8
