E(MeV),xs(mb)
1.0e-11,48825.200000000004
1.03223e-11,48067.3
1.06549e-11,47321.799999999996
1.0998399999999998e-11,46588.0
1.13527e-11,45866.100000000006
1.1718599999999999e-11,45155.5
1.2096199999999998e-11,44456.5
1.24861e-11,43768.399999999994
1.2888399999999999e-11,43091.600000000006
1.3303799999999998e-11,42425.4
1.37325e-11,41769.99999999999
1.41751e-11,41125.0
1.4631799999999997e-11,40490.5
1.51034e-11,39865.9
1.5590099999999998e-11,39251.6
1.6092599999999998e-11,38647.0
1.66111e-11,38052.299999999996
1.71465e-11,37466.9
1.7699e-11,36891.2
1.8269399999999998e-11,36324.5
1.88581e-11,35767.1
1.94659e-11,35218.6
2.00931e-11,34679.1
2.0740699999999998e-11,34148.1
2.1408999999999998e-11,33625.9
2.2099099999999997e-11,33111.9
2.28111e-11,32606.5
2.3546399999999998e-11,32109.0
2.4305099999999997e-11,31619.8
2.50884e-11,31138.4
2.5896799999999997e-11,30664.899999999998
2.67315e-11,30199.1
2.75928e-11,29740.899999999998
2.8482199999999998e-11,29290.0
2.93999e-11,28846.699999999997
3.0347499999999995e-11,28410.5
3.13253e-11,27981.5
3.2335e-11,27559.399999999998
3.33769e-11,27144.300000000003
3.44526e-11,26736.0
3.55627e-11,26334.399999999998
3.67089e-11,25939.399999999998
3.7891799999999997e-11,25550.899999999998
3.9113e-11,25168.8
4.0373400000000003e-11,24793.1
4.1674599999999996e-11,24423.499999999996
4.3017399999999996e-11,24060.100000000002
4.440389999999999e-11,23702.7
4.58347e-11,23351.199999999997
4.7311899999999994e-11,23005.6
4.883639999999999e-11,22665.7
5.0410399999999995e-11,22331.500000000004
5.20348e-11,22002.899999999998
5.37119e-11,21679.8
5.54426e-11,21362.100000000002
5.7229499999999995e-11,21049.8
5.907359999999999e-11,20742.699999999997
6.09775e-11,20440.800000000003
6.29424e-11,20144.000000000004
6.497099999999999e-11,19852.2
6.70645e-11,19565.3
6.9226e-11,19283.399999999998
7.145659999999999e-11,19006.2
7.37596e-11,18733.8
7.61364e-11,18466.0
7.85902e-11,18202.8
8.129459999999999e-11,17927.1
8.4092e-11,17656.4
8.69858e-11,17390.7
8.997899999999999e-11,17130.0
9.307529999999999e-11,16874.0
9.627809999999999e-11,16622.8
9.95912e-11,16376.2
1.03019e-10,16134.3
1.06564e-10,15896.8
1.10231e-10,15663.9
1.1402399999999999e-10,15435.300000000001
1.1794700000000002e-10,15210.999999999998
1.22006e-10,14991.000000000002
1.2620400000000002e-10,14775.199999999999
1.30547e-10,14563.4
1.3504e-10,14355.7
1.39686e-10,14152.0
1.44493e-10,13952.199999999999
1.49465e-10,13756.3
1.5460900000000001e-10,13564.099999999999
1.5992900000000003e-10,13375.699999999999
1.65432e-10,13190.900000000001
1.71125e-10,13009.699999999999
1.77014e-10,12832.1
1.83105e-10,12658.0
1.89406e-10,12487.3
1.95923e-10,12320.0
2.0266500000000002e-10,12156.0
2.09639e-10,11995.199999999999
2.16853e-10,11837.7
2.24789e-10,11673.800000000001
2.33017e-10,11513.4
2.41545e-10,11356.5
2.5038700000000003e-10,11202.9
2.5955e-10,11052.599999999999
2.69051e-10,10905.6
2.78897e-10,10761.7
2.89106e-10,10621.0
2.99687e-10,10483.4
3.10657e-10,10348.800000000001
3.2202600000000004e-10,10217.199999999999
3.3381300000000003e-10,10088.4
3.4603000000000004e-10,9962.52
3.5869600000000003e-10,9839.4
3.7182300000000004e-10,9719.05
3.86248e-10,9594.519999999999
4.0123300000000005e-10,9472.939999999999
4.1679800000000003e-10,9354.23
4.32968e-10,9238.35
4.4976500000000005e-10,9125.23
4.67214e-10,9014.8
4.85339e-10,8907.01
5.04168e-10,8801.8
5.23727e-10,8699.109999999999
5.440450000000001e-10,8598.88
