E(MeV),xs(mb)
1.0e-11,29055.399999999998
1.03223e-11,28608.600000000002
1.06549e-11,28169.2
1.0998399999999998e-11,27736.6
1.13527e-11,27311.3
1.1718599999999999e-11,26892.6
1.2096199999999998e-11,26480.800000000003
1.24861e-11,26075.6
1.2888399999999999e-11,25677.0
1.3303799999999998e-11,25284.8
1.37325e-11,24899.0
1.41751e-11,24519.4
1.4631799999999997e-11,24146.100000000002
1.51034e-11,23778.7
1.5590099999999998e-11,23417.4
1.6092599999999998e-11,23061.8
1.66111e-11,22712.2
1.71465e-11,22368.199999999997
1.7699e-11,22029.899999999998
1.8269399999999998e-11,21697.1
1.88581e-11,21369.8
1.94659e-11,21047.699999999997
2.00931e-11,20731.1
2.0740699999999998e-11,20419.5
2.1408999999999998e-11,20113.2
2.2099099999999997e-11,19811.9
2.28111e-11,19515.6
2.3546399999999998e-11,19224.1
2.4305099999999997e-11,18937.5
2.50884e-11,18655.600000000002
2.5896799999999997e-11,18378.5
2.67315e-11,18105.899999999998
2.75928e-11,17837.9
2.8482199999999998e-11,17574.399999999998
2.93999e-11,17315.3
3.0347499999999995e-11,17060.5
3.13253e-11,16810.0
3.2335e-11,16563.7
3.33769e-11,16321.6
3.44526e-11,16083.5
3.55627e-11,15849.5
3.67089e-11,15619.400000000001
3.7891799999999997e-11,15393.300000000001
3.9113e-11,15170.999999999998
4.0373400000000003e-11,14952.6
4.1674599999999996e-11,14737.800000000001
4.3017399999999996e-11,14526.8
4.440389999999999e-11,14319.4
4.58347e-11,14115.5
4.7311899999999994e-11,13915.2
4.894e-11,13705.400000000001
5.06241e-11,13499.5
5.2366099999999994e-11,13297.4
5.4168099999999994e-11,13099.099999999999
5.6032099999999997e-11,12904.500000000002
5.79602e-11,12713.5
5.99547e-11,12526.2
6.201779999999999e-11,12342.4
6.415189999999999e-11,12162.1
6.63594e-11,11985.2
6.864289999999999e-11,11811.8
7.1005e-11,11641.699999999999
7.34484e-11,11474.800000000001
7.59758e-11,11311.199999999999
7.85902e-11,11150.800000000001
8.129459999999999e-11,10993.5
8.4092e-11,10839.300000000001
8.69858e-11,10688.2
8.997899999999999e-11,10540.0
9.307529999999999e-11,10394.8
9.627809999999999e-11,10252.5
9.95912e-11,10113.099999999999
1.03019e-10,9976.5
1.06564e-10,9842.689999999999
1.10231e-10,9711.61
1.1402399999999999e-10,9583.220000000001
1.1794700000000002e-10,9457.49
1.22006e-10,9334.369999999999
1.2620400000000002e-10,9213.83
1.30547e-10,9095.83
1.3532500000000002e-10,8973.21
1.40278e-10,8853.33
1.45412e-10,8736.21
1.50735e-10,8621.75
1.56251e-10,8509.96
1.61971e-10,8400.740000000002
1.67898e-10,8294.11
1.74044e-10,8189.97
1.80414e-10,8088.329999999999
1.87018e-10,7989.099999999999
1.93862e-10,7892.29
2.0095800000000003e-10,7797.81
2.0831300000000003e-10,7705.68
