E(MeV),xs(mb)
1.0e-11,1.09156e6
1.03223e-11,1.0744e6
1.06549e-11,1.05752e6
1.0998399999999998e-11,1.0408999999999999e6
1.13527e-11,1.02454e6
1.1718599999999999e-11,1.00844e6
1.2096199999999998e-11,992599.0
1.24861e-11,977000.0
1.2888399999999999e-11,961652.0
1.3303799999999998e-11,946541.0
1.37325e-11,931673.0
1.41751e-11,917034.0
1.4631799999999997e-11,902631.0
1.51034e-11,888449.9999999999
1.5590099999999998e-11,874498.0
1.6092599999999998e-11,860760.0
1.66111e-11,847244.0000000001
1.71465e-11,833935.9999999999
1.7699e-11,820842.0
1.8269399999999998e-11,807951.0000000001
1.88581e-11,795267.0
1.94659e-11,782779.0
2.00931e-11,770491.0
2.0740699999999998e-11,758394.0
2.1408999999999998e-11,746490.0
2.2099099999999997e-11,734772.0
2.28111e-11,723241.0
2.3546399999999998e-11,711889.0
2.4305099999999997e-11,700719.0
2.50884e-11,689722.0
2.5896799999999997e-11,678901.0
2.67315e-11,668249.0
2.75928e-11,657767.0
2.8482199999999998e-11,647448.0
2.93999e-11,637294.0
3.0347499999999995e-11,627298.0
3.13253e-11,617463.0
3.2335e-11,607780.0
3.33769e-11,598252.0
3.44526e-11,588873.0
3.55627e-11,579643.0
3.67089e-11,570558.0
3.7891799999999997e-11,561617.0
3.9113e-11,552816.0
4.0373400000000003e-11,544156.0
4.1674599999999996e-11,535631.0
4.3017399999999996e-11,527242.0
4.440389999999999e-11,518984.0
4.58347e-11,510859.00000000006
4.7311899999999994e-11,502860.0
4.883639999999999e-11,494989.0
5.0410399999999995e-11,487240.0
5.20348e-11,479616.00000000006
5.37119e-11,472111.00000000006
5.54426e-11,464726.0
5.7229499999999995e-11,457456.0
5.907359999999999e-11,450303.0
6.09775e-11,443262.0
6.29424e-11,436333.00000000006
6.497099999999999e-11,429512.0
6.70645e-11,422801.0
6.9226e-11,416195.0
7.145659999999999e-11,409694.0
7.37596e-11,403294.99999999994
7.61364e-11,396999.0
7.85902e-11,390801.0
8.11227e-11,384702.0
8.37372e-11,378699.0
8.643549999999999e-11,372792.0
8.922119999999998e-11,366978.0
9.209619999999999e-11,361257.0
9.506439999999999e-11,355625.0
9.81277e-11,350084.0
1.01291e-10,344628.0
1.04554e-10,339262.0
1.07924e-10,333979.0
1.11402e-10,328781.0
1.1499200000000001e-10,323664.0
1.1869700000000001e-10,318630.0
1.22523e-10,313674.0
1.26471e-10,308798.0
1.30547e-10,303998.0
1.34754e-10,299276.0
1.3909700000000002e-10,294627.0
1.43579e-10,290054.0
1.48207e-10,285552.0
1.52982e-10,281122.0
1.57913e-10,276762.0
1.6300100000000001e-10,272472.0
1.68254e-10,268249.0
1.73676e-10,264095.0
1.79274e-10,260005.0
1.8505000000000002e-10,255981.0
1.91014e-10,252021.0
1.97169e-10,248124.0
2.03524e-10,244288.00000000003
2.1008200000000003e-10,240513.99999999997
2.16853e-10,236800.0
2.2384e-10,233144.99999999997
2.31055e-10,229547.0
2.385e-10,226008.0
2.46187e-10,222524.0
2.5412e-10,219096.0
2.6231e-10,215722.0
2.70762e-10,212403.0
2.7948900000000003e-10,209134.99999999997
2.88494e-10,205920.0
2.9779300000000004e-10,202755.99999999997
3.07388e-10,199643.0
3.1729500000000004e-10,196578.0
3.27519e-10,193563.0
3.38075e-10,190596.0
3.4896900000000003e-10,187676.0
3.6021600000000004e-10,184802.0
3.7182300000000004e-10,181974.0
3.83807e-10,179191.0
3.96174e-10,176453.0
4.08943e-10,173757.0
4.2212e-10,171105.0
4.3572499999999996e-10,168495.0
4.4976500000000005e-10,165927.0
4.6426100000000007e-10,163399.0
4.79221e-10,160912.0
4.94666e-10,158464.0
5.10605e-10,156055.0
5.270620000000001e-10,153684.0
5.440450000000001e-10,151352.0
5.6158e-10,149056.0
5.796750000000001e-10,146796.0
5.98358e-10,144573.0
6.176389999999999e-10,142385.0
6.37545e-10,140232.0
6.58089e-10,138113.0
6.79298e-10,136027.0
7.01188e-10,133975.0
7.237860000000001e-10,131955.0
7.47109e-10,129968.0
7.71188e-10,128011.99999999999
7.960380000000001e-10,126087.0
8.21693e-10,124191.99999999999
8.48171e-10,122327.99999999999
8.75507e-10,120493.0
9.037190000000002e-10,118688.0
9.32845e-10,116911.00000000001
9.62904e-10,115162.00000000001
9.93937e-10,113440.99999999999
1.0259700000000001e-9,111748.0
1.05903e-9,110081.0
1.09316e-9,108441.00000000001
1.12839e-9,106826.0
1.16475e-9,105238.00000000001
1.2022900000000002e-9,103674.0
1.2410300000000002e-9,102135.0
1.28103e-9,100621.0
1.3223100000000002e-9,99130.7
1.36492e-9,97663.9
1.4089000000000002e-9,96220.59999999999
1.4543100000000001e-9,94799.90000000001
1.5011699999999999e-9,93402.0
1.5495600000000002e-9,92026.0
1.5994900000000002e-9,90672.0
1.6510400000000001e-9,89339.20000000001
1.7042400000000001e-9,88027.8
1.75917e-9,86737.0
1.81585e-9,85466.8
1.87834e-9,84134.0
1.9429700000000004e-9,82823.7
2.0098300000000003e-9,81535.49999999999
2.07899e-9,80269.1
