E(MeV),xs(mb)
1.0e-11,4.34559e6
1.03223e-11,4.27721e6
1.06549e-11,4.20993e6
1.0998399999999998e-11,4.1436900000000005e6
1.13527e-11,4.0785099999999995e6
1.1718599999999999e-11,4.01434e6
1.2096199999999998e-11,3.9512e6
1.24861e-11,3.88902e6
1.2888399999999999e-11,3.82785e6
1.3303799999999998e-11,3.76762e6
1.37325e-11,3.70836e6
1.41751e-11,3.65001e6
1.4631799999999997e-11,3.5926e6
1.51034e-11,3.53608e6
1.5590099999999998e-11,3.48046e6
1.6092599999999998e-11,3.4257e6
1.66111e-11,3.37181e6
1.71465e-11,3.31876e6
1.7699e-11,3.26656e6
1.8269399999999998e-11,3.21517e6
1.88581e-11,3.1646e6
1.94659e-11,3.11481e6
2.00931e-11,3.06582e6
2.0740699999999998e-11,3.01758e6
2.1408999999999998e-11,2.97012e6
2.2099099999999997e-11,2.92339e6
2.28111e-11,2.87741e6
2.3546399999999998e-11,2.83214e6
2.4305099999999997e-11,2.7876e6
2.50884e-11,2.74374e6
2.5896799999999997e-11,2.70059e6
2.67315e-11,2.6581e6
2.75928e-11,2.6163e6
2.8482199999999998e-11,2.57514e6
2.93999e-11,2.53464e6
3.0347499999999995e-11,2.49476e6
3.13253e-11,2.45553e6
3.2335e-11,2.4169e6
3.33769e-11,2.37889e6
3.44526e-11,2.34147e6
3.55627e-11,2.30464e6
3.67089e-11,2.26839e6
3.7891799999999997e-11,2.23271e6
3.9113e-11,2.19759e6
4.0373400000000003e-11,2.16303e6
4.1674599999999996e-11,2.12901e6
4.3017399999999996e-11,2.09553e6
4.440389999999999e-11,2.06256e6
4.58347e-11,2.0301300000000002e6
4.7311899999999994e-11,1.9982e6
4.883639999999999e-11,1.96677e6
5.0410399999999995e-11,1.93584e6
5.20348e-11,1.9054e6
5.37119e-11,1.87543e6
5.54426e-11,1.84594e6
5.7229499999999995e-11,1.8169e6
5.907359999999999e-11,1.78833e6
6.09775e-11,1.76021e6
6.29424e-11,1.73253e6
6.497099999999999e-11,1.70528e6
6.70645e-11,1.67847e6
6.9226e-11,1.65207e6
7.145659999999999e-11,1.62609e6
7.37596e-11,1.60052e6
7.61364e-11,1.57536e6
7.85902e-11,1.55058e6
8.11227e-11,1.5262e6
8.37372e-11,1.5022e6
8.643549999999999e-11,1.47858e6
8.922119999999998e-11,1.45533e6
9.209619999999999e-11,1.43245e6
9.506439999999999e-11,1.40993e6
9.81277e-11,1.38776e6
1.01291e-10,1.36594e6
1.04554e-10,1.34447e6
1.07924e-10,1.32332e6
1.11402e-10,1.30252e6
1.1499200000000001e-10,1.28204e6
1.1869700000000001e-10,1.26189e6
1.22523e-10,1.24205e6
1.26471e-10,1.22252e6
1.30547e-10,1.2033e6
1.34754e-10,1.18439e6
1.3909700000000002e-10,1.16576e6
1.43579e-10,1.14744e6
1.48207e-10,1.1294e6
1.52982e-10,1.11165e6
1.57913e-10,1.09417e6
1.6300100000000001e-10,1.07697e6
1.68254e-10,1.06004e6
1.73676e-10,1.04338e6
1.79274e-10,1.02698e6
1.8505000000000002e-10,1.01084e6
1.91014e-10,994943.9999999999
1.97169e-10,979307.0
2.03524e-10,963911.0
2.1008200000000003e-10,948761.0
2.16853e-10,933845.0
2.2384e-10,919168.0
2.31055e-10,904718.0000000001
2.385e-10,890498.0
2.46187e-10,876498.9999999999
2.5412e-10,862723.0000000001
2.6231e-10,849159.0
2.70762e-10,835812.0
2.7948900000000003e-10,822672.0
2.88494e-10,809741.0
2.9779300000000004e-10,797010.0
3.07388e-10,784482.0
3.1729500000000004e-10,772148.0
3.27519e-10,760010.0
3.38075e-10,748059.0
3.4896900000000003e-10,736299.0
3.6021600000000004e-10,724721.0
