E(MeV),xs(mb)
1.0e-11,1.17409e6
1.03223e-11,1.15563e6
1.06549e-11,1.13747e6
1.0998399999999998e-11,1.11958e6
1.13527e-11,1.10198e6
1.1718599999999999e-11,1.08466e6
1.2096199999999998e-11,1.06761e6
1.24861e-11,1.05082e6
1.2888399999999999e-11,1.0343100000000001e6
1.3303799999999998e-11,1.0180499999999999e6
1.37325e-11,1.0020500000000001e6
1.41751e-11,986295.9999999999
1.4631799999999997e-11,970797.0
1.51034e-11,955537.0
1.5590099999999998e-11,940522.0
1.6092599999999998e-11,925738.9999999999
1.66111e-11,911192.9999999999
1.71465e-11,896871.9999999999
1.7699e-11,882781.0
1.8269399999999998e-11,868908.0
1.88581e-11,855258.0000000001
1.94659e-11,841818.0
2.00931e-11,828594.0
2.0740699999999998e-11,815574.9999999999
2.1408999999999998e-11,802764.0
2.2099099999999997e-11,790152.0
2.28111e-11,777742.0
2.3546399999999998e-11,765524.0
2.4305099999999997e-11,753502.0
2.50884e-11,741667.0
2.5896799999999997e-11,730021.0
2.67315e-11,718555.0
2.75928e-11,707273.0
2.8482199999999998e-11,696167.0
2.93999e-11,685238.0
3.0347499999999995e-11,674478.0
3.13253e-11,663891.0
3.2335e-11,653469.0
3.33769e-11,643213.0
3.44526e-11,633116.0
3.55627e-11,623181.0
3.67089e-11,613401.0
3.7891799999999997e-11,603777.0
3.9113e-11,594302.0
4.0373400000000003e-11,584980.0
4.1674599999999996e-11,575802.0
4.3017399999999996e-11,566771.0
4.440389999999999e-11,557880.0
4.58347e-11,549132.0
4.7311899999999994e-11,540520.0
4.883639999999999e-11,532046.0
5.0410399999999995e-11,523704.00000000006
5.20348e-11,515495.00000000006
5.37119e-11,507414.0
5.54426e-11,499462.0
5.7229499999999995e-11,491635.00000000006
5.907359999999999e-11,483932.0
6.09775e-11,476349.99999999994
6.29424e-11,468889.0
6.497099999999999e-11,461544.00000000006
6.70645e-11,454317.0
6.9226e-11,447201.99999999994
7.145659999999999e-11,440201.0
7.37596e-11,433310.0
7.61364e-11,426529.0
7.85902e-11,419854.00000000006
8.11227e-11,413285.00000000006
8.37372e-11,406820.0
8.643549999999999e-11,400457.0
8.922119999999998e-11,394195.0
9.209619999999999e-11,388032.0
9.506439999999999e-11,381966.0
9.81277e-11,375997.0
1.01291e-10,370120.0
1.04554e-10,364339.0
1.07924e-10,358647.0
1.11402e-10,353048.0
1.1499200000000001e-10,347535.0
1.1869700000000001e-10,342111.0
1.22523e-10,336772.0
1.26471e-10,331519.0
1.30547e-10,326347.0
1.34754e-10,321259.0
1.3909700000000002e-10,316250.0
1.43579e-10,311322.0
1.48207e-10,306471.0
1.52982e-10,301698.0
1.57913e-10,296999.0
1.6300100000000001e-10,292376.0
1.68254e-10,287825.0
1.73676e-10,283348.0
1.79274e-10,278941.0
1.8505000000000002e-10,274604.0
1.91014e-10,270336.0
1.97169e-10,266136.0
2.03524e-10,262001.99999999997
2.1008200000000003e-10,257934.99999999997
2.16853e-10,253931.0
2.2384e-10,249992.0
2.31055e-10,246115.0
2.385e-10,242300.0
2.46187e-10,238545.0
2.5412e-10,234850.0
2.6231e-10,231214.0
2.70762e-10,227636.0
2.7948900000000003e-10,224114.0
2.88494e-10,220649.0
2.9779300000000004e-10,217239.0
3.07388e-10,213883.0
3.1729500000000004e-10,210580.0
3.27519e-10,207331.00000000003
3.38075e-10,204131.99999999997
3.4896900000000003e-10,200986.00000000003
3.6021600000000004e-10,197888.0
3.7182300000000004e-10,194841.0
3.83807e-10,191841.0
3.96174e-10,188890.0
4.08943e-10,185986.0
4.2212e-10,183128.0
4.3572499999999996e-10,180315.0
4.4976500000000005e-10,177548.0
4.6426100000000007e-10,174824.0
4.79221e-10,172145.0
4.94666e-10,169507.0
5.10605e-10,166912.0
5.270620000000001e-10,164358.0
5.440450000000001e-10,161845.0
5.6158e-10,159372.0
5.796750000000001e-10,156938.0
5.98358e-10,154543.0
6.176389999999999e-10,152187.0
6.37545e-10,149868.0
6.58089e-10,147586.0
6.79298e-10,145340.0
7.01188e-10,143131.0
7.237860000000001e-10,140956.0
7.47109e-10,138816.0
7.71188e-10,136710.0
7.960380000000001e-10,134638.0
8.21693e-10,132599.0
8.48171e-10,130593.0
8.75507e-10,128618.00000000001
9.037190000000002e-10,126675.0
9.32845e-10,124763.0
9.62904e-10,122881.0
9.93937e-10,121029.00000000001
1.0259700000000001e-9,119207.0
1.05903e-9,117414.0
1.09316e-9,115649.0
1.12839e-9,113913.0
1.16475e-9,112203.99999999999
1.2022900000000002e-9,110523.0
1.2410300000000002e-9,108868.00000000001
1.28103e-9,107239.0
1.3223100000000002e-9,105637.0
1.36492e-9,104060.0
1.4089000000000002e-9,102508.0
1.4543100000000001e-9,100981.00000000001
1.5011699999999999e-9,99477.9
1.5495600000000002e-9,97998.8
1.5994900000000002e-9,96543.50000000001
1.6510400000000001e-9,95111.1
1.7042400000000001e-9,93701.7
1.75917e-9,92314.5
1.81585e-9,90949.50000000001
1.87438e-9,89606.1
1.9347700000000003e-9,88284.2
1.99713e-9,86983.09999999999
2.06148e-9,85703.0
2.1279200000000002e-9,84442.90000000001
2.19649e-9,83203.09999999999
2.26728e-9,81982.8
2.3403400000000002e-9,80782.0
2.4157700000000002e-9,79600.2
2.4989e-9,78360.3
2.58489e-9,77141.5
2.6738400000000004e-9,75943.2
2.76585e-9,74765.3
2.86102e-9,73607.3
2.9594800000000002e-9,72468.9
3.0613100000000005e-9,71349.8
3.16666e-9,70249.6
3.27563e-9,69168.0
3.3883400000000003e-9,68104.7
3.50494e-9,67059.4
3.62555e-9,66031.8
3.75031e-9,65021.6
3.87936e-9,64028.5
4.01286e-9,63052.200000000004
4.15094e-9,62092.4
4.2937800000000004e-9,61148.8
4.44154e-9,60221.200000000004
4.59438e-9,59309.3
4.75247e-9,58412.8
4.916010000000001e-9,57531.4
5.085180000000001e-9,56665.0
5.26016e-9,55813.2
5.44117e-9,54975.899999999994
5.62841e-9,54152.7
5.8220900000000005e-9,53343.4
6.022430000000001e-9,52547.8
6.22967e-9,51765.600000000006
6.444040000000001e-9,50996.7
6.665790000000001e-9,50240.799999999996
6.89517e-9,49497.600000000006
7.13244e-9,48766.99999999999
7.3778800000000006e-9,48048.799999999996
7.63176e-9,47342.700000000004
7.894370000000002e-9,46648.6
8.16603e-9,45966.2
8.44703e-9,45295.3
8.73771e-9,44635.8
9.03838e-9,43987.4
9.3494e-9,43350.1
9.671130000000001e-9,42723.5
1.00039e-8,42107.5
1.03482e-8,41501.9
1.07043e-8,40906.6
1.10726e-8,40321.4
1.14536e-8,39746.1
1.18478e-8,39180.5
1.22555e-8,38624.5
1.26772e-8,38077.9
1.31134e-8,37540.6
1.3564700000000001e-8,37012.299999999996
1.40314e-8,36493.0
1.45143e-8,35982.5
1.50137e-8,35480.7
1.55304e-8,34987.3
1.60988e-8,34472.200000000004
1.6688e-8,33966.4
1.72988e-8,33469.799999999996
1.7931999999999998e-8,32982.0
1.85883e-8,32503.1
1.92686e-8,32032.8
1.99738e-8,31570.999999999996
2.07049e-8,31117.499999999996
2.14627e-8,30672.199999999997
2.2248299999999998e-8,30235.0
2.30626e-8,29805.600000000002
2.39067e-8,29384.0
2.47817e-8,28969.999999999996
2.52522e-8,28756.4
2.5299999999999998e-8,28735.0
2.6226099999999998e-8,28332.7
2.71859e-8,27937.699999999997
2.8181e-8,27549.800000000003
2.9212400000000002e-8,27168.899999999998
3.0281600000000004e-8,26794.899999999998
3.13899e-8,26427.7
3.2538900000000006e-8,26067.2
3.37297e-8,25713.2
3.4964300000000004e-8,25365.600000000002
3.6244000000000003e-8,25024.4
3.7570600000000004e-8,24689.3
3.89456e-8,24360.4
4.03712e-8,24037.3
4.1848700000000003e-8,23720.2
4.33805e-8,23408.699999999997
4.4968199999999994e-8,23102.999999999996
4.67127e-8,22785.3
4.852490000000001e-8,22473.800000000003
5.0407400000000004e-8,22168.3
5.2363000000000004e-8,21868.6
5.4394400000000006e-8,21574.8
5.6504700000000006e-8,21286.7
5.86967e-8,21004.2
6.09739e-8,20727.1
6.33394e-8,20455.5
6.57966e-8,20189.2
6.834920000000001e-8,19928.1
7.10008e-8,19672.1
7.37553e-8,19421.1
7.661660000000001e-8,19174.899999999998
7.9589e-8,18933.6
8.26766e-8,18696.9
8.58841e-8,18464.9
8.9405e-8,18225.0
9.30698e-8,17990.0
9.68854e-8,17759.899999999998
1.0085699999999999e-7,17534.6
1.0499199999999999e-7,17314.1
1.09295e-7,17098.100000000002
1.13776e-7,16886.7
1.1843999999999998e-7,16679.8
1.23296e-7,16477.2
1.2835e-7,16278.999999999998
1.33611e-7,16085.0
1.3908799999999998e-7,15895.2
1.4479e-7,15709.3
1.51045e-7,15518.0
1.5757e-7,15330.999999999998
1.6437600000000002e-7,15148.2
1.71477e-7,14969.5
1.78884e-7,14795.0
1.86612e-7,14624.4
1.9467299999999999e-7,14457.800000000001
2.0308199999999997e-7,14295.1
2.11855e-7,14136.2
2.21007e-7,13981.1
2.3104099999999998e-7,13822.099999999999
2.4153199999999997e-7,13667.1
2.5249799999999996e-7,13516.0
2.63964e-7,13368.800000000001
2.75949e-7,13225.499999999998
2.88479e-7,13085.800000000001
3.0157699999999995e-7,12949.800000000001
3.1527099999999996e-7,12817.300000000001
3.30284e-7,12682.199999999999
3.46011e-7,12551.1
3.62488e-7,12423.699999999999
3.7974899999999997e-7,12300.0
3.97832e-7,12180.0
4.16776e-7,12063.6
4.36622e-7,11950.9
4.5838099999999993e-7,11836.800000000001
4.81226e-7,11726.6
5.052069999999999e-7,11620.2
5.30386e-7,11517.699999999999
5.568170000000001e-7,11419.1
5.85804e-7,11320.1
6.163e-7,11225.199999999999
6.48383e-7,11134.5
6.82137e-7,11047.9
7.17648e-7,10965.5
7.55007e-7,10887.4
7.94312e-7,10813.699999999999
8.356619999999999e-7,10744.400000000001
8.79165e-7,10679.7
9.268929999999999e-7,10617.2
9.75146e-7,10562.3
1.0207699999999998e-6,10517.300000000001
1.08722e-6,10462.1
1.16611e-6,10411.2
1.26837e-6,10366.4
1.38926e-6,10339.0
1.4595e-6,10335.300000000001
1.63259e-6,10360.199999999999
1.82622e-6,10443.4
2.0428e-6,10606.0
2.25329e-6,10840.099999999999
2.45088e-6,11138.699999999999
2.6287199999999996e-6,11485.4
2.79985e-6,11904.300000000001
2.94048e-6,12325.4
3.0667e-6,12775.2
3.1983399999999998e-6,13332.699999999999
3.31242e-6,13904.5
3.40655e-6,14451.199999999999
3.50334e-6,15098.1
3.6028899999999996e-6,15870.5
3.6793199999999998e-6,16550.100000000002
3.75755e-6,17337.3
3.8372499999999996e-6,18257.9
3.91884e-6,19345.7
3.97412e-6,20181.399999999998
4.03019e-6,21124.0
4.087049999999999e-6,22192.6
4.144709999999999e-6,23411.1
4.20319e-6,24809.199999999997
4.2475599999999995e-6,25997.1
4.29234e-6,27324.600000000002
4.33776e-6,28822.3
4.38361e-6,30512.5
4.42988e-6,32430.1
4.47659e-6,34617.6
4.50817e-6,36261.700000000004
4.539749999999999e-6,38058.4
4.57177e-6,40057.7
4.60379e-6,42260.9
4.6362699999999996e-6,44732.399999999994
4.66875e-6,47476.0
4.70168e-6,50577.1
4.734609999999999e-6,54049.2
4.75966e-6,56975.4
4.784709999999999e-6,60183.4
4.80988e-6,63728.99999999999
4.8352799999999996e-6,67682.90000000001
4.86068e-6,72069.3
4.88632e-6,77001.9
4.912079999999999e-6,82548.6
4.937839999999999e-6,88784.9
4.9552599999999995e-6,93450.90000000001
4.97268e-6,98529.2
4.99009e-6,104070.0
5.00751e-6,110131.0
5.02517e-6,116878.0
5.04283e-6,124312.0
5.060489999999999e-6,132528.0
5.07816e-6,141642.0
5.09607e-6,151939.0
5.109499999999999e-6,160459.0
5.12293e-6,169755.0
5.13637e-6,179924.0
5.149799999999999e-6,191079.0
5.16342e-6,203533.0
5.17704e-6,217299.0
5.19067e-6,232568.00000000003
5.2042900000000004e-6,249569.99999999997
5.2179099999999995e-6,268576.0
5.22931e-6,286261.0
5.2396e-6,303815.0
5.24989e-6,323084.0
5.2601799999999995e-6,344297.0
5.27047e-6,367724.0
5.28108e-6,394523.0
5.28857e-6,415292.0
5.29606e-6,437772.0
5.30355e-6,462151.0
5.31104e-6,488640.99999999994
5.318539999999999e-6,517485.0
5.32603e-6,548955.0
5.3335199999999995e-6,583361.0
5.341009999999999e-6,621052.0
5.3485e-6,662421.0
5.35599e-6,707911.0
5.36349e-6,758013.0
5.37098e-6,813272.0000000001
5.37847e-6,874286.0
5.3859599999999995e-6,941704.0
5.393449999999999e-6,1.0162199999999999e6
5.4009499999999995e-6,1.09856e6
5.408439999999999e-6,1.18946e6
5.4159300000000005e-6,1.28966e6
5.42342e-6,1.39986e6
5.43091e-6,1.52068e6
5.4383999999999995e-6,1.6526e6
5.4459e-6,1.79595e6
5.4533899999999995e-6,1.95079e6
5.46088e-6,2.11689e6
5.46837e-6,2.29364e6
5.47961e-6,2.57633e6
5.494589999999999e-6,2.97679e6
5.51332e-6,3.48547e6
5.52381e-6,3.75568e6
5.533929999999999e-6,3.99332e6
5.54067e-6,4.1342e6
5.54779e-6,4.26402e6
5.5552799999999994e-6,4.37646e6
5.56277e-6,4.46111e6
5.57026e-6,4.51567e6
5.57678e-6,4.53747e6
5.57955e-6,4.53936e6
5.58476e-6,4.53099e6
5.5915699999999996e-6,4.49672e6
5.59873e-6,4.43323e6
5.60622e-6,4.33832e6
5.6125899999999996e-6,4.23671e6
5.6204599999999995e-6,4.0877299999999995e6
5.6283200000000005e-6,3.91679e6
5.6384399999999995e-6,3.67212e6
5.65342e-6,3.27803e6
5.6759e-6,2.67457e6
5.68713e-6,2.38881e6
5.69463e-6,2.20893e6
5.70212e-6,2.03903e6
5.709609999999999e-6,1.87989e6
5.7171e-6,1.73191e6
5.7245899999999995e-6,1.59517e6
5.732079999999999e-6,1.46947e6
5.7395799999999995e-6,1.35442e6
5.74707e-6,1.2495e6
5.75456e-6,1.15406e6
5.76205e-6,1.06743e6
5.76954e-6,988875.0
5.7770299999999995e-6,917700.9999999999
5.78453e-6,853215.0
5.7920199999999995e-6,794768.0
5.799509999999999e-6,741751.0
5.8070000000000005e-6,693605.0
5.81412e-6,651914.0
5.820859999999999e-6,615691.0
5.8276e-6,582343.0
5.8343499999999995e-6,551595.0
5.84146e-6,521688.0
5.84896e-6,492753.99999999994
5.85645e-6,466167.99999999994
5.86394e-6,441690.99999999994
5.8733e-6,413741.99999999994
5.8817299999999995e-6,390826.0
5.89016e-6,369794.0
5.901399999999999e-6,344342.0
5.912639999999999e-6,321486.0
5.92472e-6,299423.0
5.9368e-6,279615.0
5.948879999999999e-6,261764.00000000003
5.96096e-6,245620.0
5.97304e-6,230972.0
5.98761e-6,215045.99999999997
6.00342e-6,199619.0
6.01923e-6,185855.0
6.03504e-6,173523.0
6.050849999999999e-6,162428.0
6.06674e-6,152367.0
6.08277e-6,143175.0
6.098799999999999e-6,134832.0
6.11484e-6,127236.0
6.13087e-6,120300.0
6.14691e-6,113952.00000000001
6.16317e-6,108046.0
6.17943e-6,102618.00000000001
6.20111e-6,96039.9
6.222789999999999e-6,90121.2
6.24462e-6,84740.8
6.26661e-6,79836.5
6.288599999999999e-6,75384.5
6.31058e-6,71330.8
6.33272e-6,67604.3
6.355019999999999e-6,64171.899999999994
6.37732e-6,61025.299999999996
6.410759999999999e-6,56774.6
6.44468e-6,52959.2
6.478589999999999e-6,49566.9
6.51267e-6,46523.3
6.547069999999999e-6,43771.1
6.581459999999999e-6,41298.6
6.61618e-6,39049.7
6.6510599999999995e-6,37007.4
6.68594e-6,35154.6
6.721309999999999e-6,33445.4
6.75668e-6,31887.3
6.8041799999999995e-6,30003.000000000004
6.85201e-6,28314.4
6.90017e-6,26795.5
6.94868e-6,25424.600000000002
6.997519999999999e-6,24183.3
7.04671e-6,23056.0
7.09625e-6,22029.2
7.14613e-6,21091.7
7.22165e-6,19830.5
7.297889999999999e-6,18721.3
7.3748399999999995e-6,17741.0
7.45287e-6,16866.600000000002
7.53164e-6,16087.199999999999
7.61115e-6,15390.2
7.691399999999999e-6,14765.2
7.799909999999999e-6,14023.300000000001
7.90995e-6,13371.599999999999
8.02155e-6,12797.400000000001
8.13472e-6,12289.000000000002
8.249489999999999e-6,11836.800000000001
8.365869999999999e-6,11433.1
8.543739999999999e-6,10903.7
8.72497e-6,10451.900000000001
8.910479999999999e-6,10061.9
9.09949e-6,9724.49
9.29296e-6,9429.529999999999
9.55702e-6,9093.18
9.82859e-6,8807.42
1.0178700000000001e-5,8508.25
1.0541700000000001e-5,8260.72
1.0994200000000002e-5,8017.3
1.14662e-5,7820.41
1.2042100000000001e-5,7638.35
1.2647600000000002e-5,7500.27
1.3282900000000001e-5,7408.87
1.36509e-5,7389.65
1.38923e-5,7407.49
1.4038800000000002e-5,7449.43
1.4145900000000001e-5,7518.67
1.4210100000000001e-5,7596.0599999999995
1.4257500000000002e-5,7688.38
1.42929e-5,7792.63
1.4326300000000002e-5,7935.41
1.4355e-5,8110.839999999999
1.4376500000000002e-5,8286.720000000001
1.4398e-5,8511.11
1.4419500000000001e-5,8793.29
1.4441000000000001e-5,9140.21
1.4462500000000001e-5,9553.839999999998
1.4484e-5,10028.1
1.45342e-5,11255.1
1.4555700000000002e-5,11748.5
1.45772e-5,12158.800000000001
1.4592300000000001e-5,12373.5
1.4604500000000002e-5,12494.099999999999
1.46182e-5,12566.699999999999
1.46254e-5,12577.0
1.4636000000000002e-5,12556.6
1.46504e-5,12463.4
1.46633e-5,12318.800000000001
