E(MeV),xs(mb)
1.0e-11,36374.1
1.03223e-11,35815.6
1.06549e-11,35266.4
1.0998399999999998e-11,34725.700000000004
1.13527e-11,34194.1
1.1718599999999999e-11,33670.8
1.2096199999999998e-11,33156.2
1.24861e-11,32649.7
1.2888399999999999e-11,32151.7
1.3303799999999998e-11,31661.5
1.37325e-11,31179.399999999998
1.41751e-11,30705.0
1.4631799999999997e-11,30238.6
1.51034e-11,29779.5
1.5590099999999998e-11,29328.1
1.6092599999999998e-11,28883.800000000003
1.66111e-11,28447.0
1.71465e-11,28017.2
1.7699e-11,27594.6
1.8269399999999998e-11,27178.8
1.88581e-11,26769.9
1.94659e-11,26367.600000000002
2.00931e-11,25972.1
2.0740699999999998e-11,25582.899999999998
2.1408999999999998e-11,25200.300000000003
2.2099099999999997e-11,24823.9
2.28111e-11,24453.9
2.3546399999999998e-11,24089.9
2.4305099999999997e-11,23732.000000000004
2.50884e-11,23380.0
2.5896799999999997e-11,23033.899999999998
2.67315e-11,22693.500000000004
2.75928e-11,22358.899999999998
2.8482199999999998e-11,22029.800000000003
2.93999e-11,21706.3
3.0347499999999995e-11,21388.2
3.13253e-11,21075.499999999996
3.2335e-11,20768.0
3.33769e-11,20465.8
3.44526e-11,20168.7
3.55627e-11,19876.6
3.67089e-11,19589.5
3.7891799999999997e-11,19307.3
3.9113e-11,19029.899999999998
4.0373400000000003e-11,18757.2
4.1674599999999996e-11,18489.3
4.3017399999999996e-11,18226.0
4.44977e-11,17950.1
4.60289e-11,17679.3
4.76129e-11,17413.5
4.92513e-11,17152.7
5.09461e-11,16896.7
5.2699199999999993e-11,16645.5
5.45126e-11,16399.0
5.638849999999999e-11,16157.1
5.83288e-11,15919.8
6.0336e-11,15687.0
6.24122e-11,15458.6
6.455989999999999e-11,15234.6
6.678149999999999e-11,15014.8
6.907949999999999e-11,14799.3
7.145659999999999e-11,14587.9
7.39156e-11,14380.599999999999
7.64591e-11,14177.4
7.90901e-11,13978.1
8.18117e-11,13782.7
8.46269e-11,13591.1
8.753909999999999e-11,13403.400000000001
9.05514e-11,13219.300000000001
9.36674e-11,13039.0
9.689059999999999e-11,12862.199999999999
1.0022500000000001e-10,12689.0
1.03674e-10,12519.3
1.0724100000000002e-10,12353.0
1.1093100000000001e-10,12190.099999999999
1.14749e-10,12030.6
1.1869700000000001e-10,11874.3
1.22782e-10,11721.3
1.27276e-10,11562.2
1.31934e-10,11406.7
1.36764e-10,11254.5
1.4176899999999998e-10,11105.9
1.46958e-10,10960.5
1.52336e-10,10818.5
1.57913e-10,10679.7
1.6369100000000001e-10,10544.199999999999
1.6968399999999999e-10,10411.699999999999
1.7589300000000003e-10,10282.3
1.8233200000000002e-10,10155.9
1.89005e-10,10032.5
1.95923e-10,9912.039999999999
2.0309300000000002e-10,9794.43
2.10972e-10,9672.96
2.1915700000000002e-10,9554.57
2.27659e-10,9439.220000000001
2.3649100000000004e-10,9326.84
2.45666e-10,9217.359999999999
2.5519599999999997e-10,9110.75
2.65097e-10,9006.919999999998
2.7538100000000004e-10,8905.83
2.8606500000000004e-10,8807.42
2.9779300000000004e-10,8706.38
3.09999e-10,8608.21
3.22708e-10,8512.82
3.3593600000000005e-10,8420.17
3.49709e-10,8330.16
3.64043e-10,8242.77
3.79769e-10,8153.499999999999
3.96174e-10,8066.969999999999
4.13288e-10,7983.1
4.3114100000000003e-10,7901.83
4.4976500000000005e-10,7823.08
4.70189e-10,7743.0199999999995
4.91536e-10,7665.6
5.13856e-10,7590.71
5.371870000000001e-10,7518.3
5.6158e-10,7448.2699999999995
5.88321e-10,7377.4
6.16336e-10,7308.99
6.45685e-10,7242.950000000001
6.77861e-10,7176.38
7.11646e-10,7112.21
7.47109e-10,7050.379999999999
7.86002e-10,6988.25
8.2692e-10,6928.47
8.699680000000001e-10,6870.95
9.171970000000001e-10,6813.34
9.66985e-10,6757.990000000001
1.0216400000000002e-9,6702.71
1.07938e-9,6649.67
1.1428e-9,6596.84
1.20994e-9,6546.2300000000005
1.28373e-9,6495.96
1.36204e-9,6447.84
1.44817e-9,6400.17
1.53975e-9,6354.59
1.64059e-9,6309.54
1.7517400000000002e-9,6265.11
1.87041e-9,6222.7300000000005
2.00135e-9,6181.03
2.1460000000000002e-9,6140.08
2.30109e-9,6101.099999999999
2.4726100000000002e-9,6062.9
2.66255e-9,6025.54
2.87315e-9,5989.06
3.10696e-9,5953.52
3.36691e-9,5918.95
3.6563500000000005e-9,5885.39
3.9790600000000005e-9,5852.86
4.33941e-9,5821.38
4.74242e-9,5790.969999999999
5.19385e-9,5761.639999999999
5.71233e-9,5732.76
6.2958700000000005e-9,5705.04
6.96844e-9,5677.91
7.7292e-9,5651.99
8.60931e-9,5626.76
9.63031e-9,5602.299999999999
1.0818000000000001e-8,5578.67
1.22037e-8,5555.92
1.3825300000000001e-8,5534.08
1.5728700000000002e-8,5513.17
1.8008e-8,5492.92
2.07049e-8,5473.68
2.39573e-8,5455.21
2.52522e-8,5448.92
2.5299999999999998e-8,5448.7
2.9585300000000003e-8,5431.129999999999
3.48168e-8,5414.46
4.13211e-8,5398.52
4.94573e-8,5383.37
5.98246e-8,5368.91
7.31341e-8,5355.209999999999
9.035510000000001e-8,5342.32
1.13296e-7,5330.04
1.4417899999999998e-7,5318.4800000000005
1.86612e-7,5307.58
2.46172e-7,5297.32
3.32385e-7,5287.6
4.6032299999999996e-7,5278.38
6.58053e-7,5269.46
9.75146e-7,5260.570000000001
2.60961e-6,5238.72
1.92131e-5,5135.73
5.9343500000000005e-5,4940.34
0.000106884,4750.3099999999995
0.00016135,4572.18
0.000224254,4404.77
0.000296372,4249.75
0.00038154400000000005,4103.22
0.00047888200000000003,3970.02
0.0005927170000000001,3846.91
0.000731656,3729.59
0.000899945,3620.18
0.0010904,3526.05
0.0011181300000000002,3517.9700000000003
0.00112772,3523.6299999999997
0.00113176,3538.3
0.00113401,3562.8700000000003
0.00113531,3595.27
0.00113622,3640.0299999999997
0.00113667,3677.39
0.00113713,3734.96
0.00113736,3777.67
0.0011375900000000002,3838.8300000000004
0.00113776,3907.81
0.00113787,3973.77
0.0011379600000000001,4039.8300000000004
0.0011380399999999999,4126.38
0.0011381300000000002,4241.450000000001
0.00113818,4339.2
0.00113824,4458.46
0.0011383,4604.15
0.00113835,4782.15
0.0011384000000000001,4940.98
0.00113844,5125.18
0.0011384799999999999,5338.57
0.00113852,5585.27
0.0011385700000000002,5869.94
0.00113861,6197.45
0.00113865,6573.5599999999995
0.0011387,7003.89
0.00113874,7494.96
0.00113877,7859.39
0.00113879,8255.82
0.00113882,8686.37
0.0011388499999999998,9153.29
0.0011388799999999999,9658.82
0.0011389100000000001,10205.1
0.0011389400000000002,10794.5
0.0011389800000000002,11662.699999999999
0.0011390100000000002,12563.800000000001
0.00113905,13547.800000000001
0.0011390800000000002,14620.0
0.00113912,15783.6
0.00113916,17043.0
0.00113919,18401.2
0.00113923,19861.6
0.00113927,21425.9
0.0011393,23096.0
0.00113934,24872.100000000002
0.0011393800000000002,27099.3
0.0011394200000000001,29471.5
0.00113948,32854.4
0.00113954,36474.2
0.00113961,41298.5
0.0011396800000000001,46397.3
0.0011398200000000002,56615.1
0.00113995,66615.2
0.0011400300000000002,72063.5
0.0011401,77105.0
0.00114017,81046.0
0.00114023,83781.5
0.0011403000000000001,86629.6
0.00114036,88577.0
0.00114042,89824.7
0.00114049,90337.8
0.0011405,90353.7
0.00114056,90035.90000000001
0.00114062,89022.79999999999
0.00114067,87683.0
0.00114072,86006.2
0.0011407799999999999,83302.8
0.0011408400000000002,80116.0
0.0011409100000000002,76189.6
0.00114099,70893.1
0.00114109,63470.3
0.0011413,47585.8
0.00114139,41435.5
0.00114146,36604.6
0.00114152,32978.4
0.00114157,29587.9
0.00114162,27210.2
0.0011416599999999999,24976.8
0.0011417,22891.4
0.00114174,20952.899999999998
0.0011417900000000002,19160.1
0.00114183,17509.600000000002
0.00114187,15997.699999999999
0.00114191,14618.800000000001
0.00114196,13367.1
0.00114199,12599.499999999998
0.00114201,11883.4
0.00114204,11216.3
0.00114207,10596.300000000001
0.0011420999999999998,10020.6
0.00114213,9487.5
0.0011421600000000001,8994.38
0.00114219,8539.25
0.00114221,8119.46
0.0011422399999999999,7733.27
0.00114227,7378.36
0.00114231,6900.34
0.00114236,6481.6900000000005
0.0011424,6116.01
0.00114244,5797.61
0.00114248,5521.03
0.00114253,5281.46
0.00114257,5074.22
0.0011426099999999998,4895.400000000001
0.00114266,4727.05
0.00114271,4560.7300000000005
0.00114277,4423.91
0.00114283,4311.35
0.0011429,4191.45
0.00114297,4098.38
0.0011430499999999998,4025.5400000000004
0.00114316,3943.6
0.00114329,3875.14
0.00114346,3813.33
0.0011436900000000002,3757.31
0.00114403,3701.4
0.0011446000000000002,3643.68
0.00114537,3598.64
0.00114633,3567.35
0.00114808,3538.5
0.00115198,3514.9
0.00116328,3498.08
0.00132007,3436.75
0.00160611,3354.0899999999997
0.00166593,3343.84
0.00168743,3351.8599999999997
0.0016955400000000002,3371.0499999999997
0.00169871,3389.7400000000002
0.0017016,3422.87
0.00170302,3451.21
0.0017044500000000001,3495.4900000000002
0.00170564,3554.8
0.0017064299999999999,3614.71
0.00170702,3677.4900000000002
0.00170762,3764.52
0.0017079500000000002,3829.89
0.0017082900000000001,3912.1
0.00170863,4018.12
0.00170888,4120.16
0.00170906,4211.52
0.00170926,4333.99
0.0017094100000000002,4449.12
0.00170956,4593.78
0.0017096499999999998,4713.38
0.0017097500000000001,4858.450000000001
