E(MeV),xs(mb)
1.0e-11,5.98574e6
1.03223e-11,5.89157e6
1.06549e-11,5.79892e6
1.0998399999999998e-11,5.70769e6
1.13527e-11,5.61793e6
1.1718599999999999e-11,5.52955e6
1.2096199999999998e-11,5.44259e6
1.24861e-11,5.35697e6
1.2888399999999999e-11,5.27273e6
1.3303799999999998e-11,5.18979e6
1.37325e-11,5.10818e6
1.41751e-11,5.02782e6
1.4631799999999997e-11,4.94876e6
1.51034e-11,4.87092e6
1.5590099999999998e-11,4.79432e6
1.6092599999999998e-11,4.71891e6
1.66111e-11,4.64471e6
1.71465e-11,4.57165e6
1.7699e-11,4.49977e6
1.8269399999999998e-11,4.42899e6
1.88581e-11,4.35935e6
1.94659e-11,4.29079e6
2.00931e-11,4.22332e6
2.0740699999999998e-11,4.1569000000000005e6
2.1408999999999998e-11,4.09154e6
2.2099099999999997e-11,4.0271999999999995e6
2.28111e-11,3.96388e6
2.3546399999999998e-11,3.90155e6
2.4305099999999997e-11,3.84021e6
2.50884e-11,3.77982e6
2.5896799999999997e-11,3.7204e6
2.67315e-11,3.66189e6
2.75928e-11,3.60433e6
2.8482199999999998e-11,3.54765e6
2.93999e-11,3.49188e6
3.0347499999999995e-11,3.43698e6
3.13253e-11,3.38295e6
3.2335e-11,3.32977e6
3.33769e-11,3.27743e6
3.44526e-11,3.2259e6
3.55627e-11,3.1752e6
3.67089e-11,3.12528e6
3.7891799999999997e-11,3.07616e6
3.9113e-11,3.02781e6
4.0373400000000003e-11,2.98022e6
4.1674599999999996e-11,2.93338e6
4.3017399999999996e-11,2.88728e6
4.440389999999999e-11,2.8419e6
4.58347e-11,2.79724e6
4.7311899999999994e-11,2.75328e6
4.883639999999999e-11,2.71002e6
5.0410399999999995e-11,2.66743e6
5.20348e-11,2.62552e6
5.37119e-11,2.58426e6
5.54426e-11,2.54366e6
5.7229499999999995e-11,2.5037e6
5.907359999999999e-11,2.46437e6
6.09775e-11,2.42565e6
6.29424e-11,2.38755e6
6.497099999999999e-11,2.35004e6
6.70645e-11,2.31313e6
6.9226e-11,2.27679e6
7.145659999999999e-11,2.24104e6
7.37596e-11,2.20584e6
7.61364e-11,2.1712e6
7.85902e-11,2.1371e6
8.11227e-11,2.10355e6
8.37372e-11,2.07051e6
8.643549999999999e-11,2.0380099999999998e6
8.922119999999998e-11,2.0060099999999998e6
9.209619999999999e-11,1.97452e6
9.506439999999999e-11,1.94352e6
9.81277e-11,1.91301e6
1.01291e-10,1.88298e6
1.04554e-10,1.85343e6
1.07924e-10,1.82434e6
1.11402e-10,1.79572e6
