E(MeV),xs(mb)
1.0e-11,312464.0
1.03223e-11,307550.0
1.06549e-11,302716.0
1.0998399999999998e-11,297956.0
1.13527e-11,293273.0
1.1718599999999999e-11,288662.0
1.2096199999999998e-11,284126.0
1.24861e-11,279658.0
1.2888399999999999e-11,275264.0
1.3303799999999998e-11,270936.0
1.37325e-11,266679.0
1.41751e-11,262486.0
1.4631799999999997e-11,258361.99999999997
1.51034e-11,254301.00000000003
1.5590099999999998e-11,250305.0
1.6092599999999998e-11,246370.99999999997
1.66111e-11,242499.99999999997
1.71465e-11,238689.00000000003
1.7699e-11,234939.0
1.8269399999999998e-11,231246.99999999997
1.88581e-11,227615.0
1.94659e-11,224038.0
2.00931e-11,220519.0
2.0740699999999998e-11,217055.0
2.1408999999999998e-11,213646.0
2.2099099999999997e-11,210289.0
2.28111e-11,206987.0
2.3546399999999998e-11,203736.0
2.4305099999999997e-11,200536.0
2.50884e-11,197387.0
2.5896799999999997e-11,194288.0
2.67315e-11,191236.0
2.75928e-11,188234.0
2.8482199999999998e-11,185279.0
2.93999e-11,182370.0
3.0347499999999995e-11,179507.0
3.13253e-11,176690.0
3.2335e-11,173916.0
3.33769e-11,171187.0
3.44526e-11,168501.0
3.55627e-11,165857.0
3.67089e-11,163254.0
3.7891799999999997e-11,160693.0
3.9113e-11,158172.0
4.0373400000000003e-11,155691.0
4.1674599999999996e-11,153249.0
4.3017399999999996e-11,150846.0
4.440389999999999e-11,148480.0
4.58347e-11,146152.0
4.7311899999999994e-11,143861.0
4.883639999999999e-11,141606.0
5.0410399999999995e-11,139386.0
5.20348e-11,137202.0
5.37119e-11,135052.0
5.54426e-11,132936.0
5.7229499999999995e-11,130853.0
5.907359999999999e-11,128803.0
6.09775e-11,126786.0
6.29424e-11,124801.0
6.497099999999999e-11,122846.00000000001
6.70645e-11,120924.00000000001
6.9226e-11,119031.0
7.145659999999999e-11,117168.0
7.37596e-11,115334.0
7.61364e-11,113530.0
7.85902e-11,111754.0
8.11227e-11,110007.00000000001
8.37372e-11,108286.0
8.643549999999999e-11,106594.00000000001
8.922119999999998e-11,104928.0
9.209619999999999e-11,103288.0
9.506439999999999e-11,101674.0
9.81277e-11,100086.00000000001
1.01291e-10,98522.9
1.04554e-10,96984.99999999999
1.07924e-10,95470.90000000001
1.11402e-10,93981.4
1.1499200000000001e-10,92514.90000000001
1.1869700000000001e-10,91072.2
1.22523e-10,89651.9
1.26471e-10,88254.7
1.30547e-10,86879.00000000001
1.34754e-10,85525.8
1.3909700000000002e-10,84193.5
1.43579e-10,82882.9
1.48207e-10,81592.59999999999
1.52982e-10,80323.3
1.57913e-10,79073.7
1.6300100000000001e-10,77844.4
1.68254e-10,76634.3
1.73676e-10,75443.8
1.79274e-10,74271.90000000001
1.8505000000000002e-10,73118.9
1.91014e-10,71984.0
1.97169e-10,70867.5
2.03524e-10,69768.5
2.1008200000000003e-10,68687.3
2.16853e-10,67623.0
2.2384e-10,66576.0
2.31055e-10,65545.5
2.385e-10,64531.6
2.46187e-10,63533.7
2.5412e-10,62551.9
2.6231e-10,61585.6
2.70762e-10,60635.0
2.7948900000000003e-10,59699.299999999996
2.88494e-10,58778.9
2.9779300000000004e-10,57872.899999999994
3.07388e-10,56981.700000000004
3.1729500000000004e-10,56104.5
3.27519e-10,55241.6
3.38075e-10,54392.3
3.4896900000000003e-10,53556.8
3.6021600000000004e-10,52734.6
3.7182300000000004e-10,51925.7
3.83807e-10,51129.6
3.96174e-10,50346.5
4.08943e-10,49575.7
4.2212e-10,48817.6
4.3572499999999996e-10,48071.4
4.4976500000000005e-10,47337.5
4.6426100000000007e-10,46615.200000000004
4.79221e-10,45904.6
4.94666e-10,45205.399999999994
5.10605e-10,44517.5
5.270620000000001e-10,43840.700000000004
5.440450000000001e-10,43174.799999999996
5.6158e-10,42519.600000000006
5.796750000000001e-10,41875.1
5.98358e-10,41240.8
6.176389999999999e-10,40616.899999999994
6.37545e-10,40003.0
