E(MeV),xs(mb)
1.0e-11,1.09697e6
1.03223e-11,1.07972e6
1.06549e-11,1.06275e6
1.0998399999999998e-11,1.0460400000000001e6
1.13527e-11,1.0296000000000001e6
1.1718599999999999e-11,1.0134099999999999e6
1.2096199999999998e-11,997479.0
1.24861e-11,981795.9999999999
1.2888399999999999e-11,966366.0
1.3303799999999998e-11,951174.0
1.37325e-11,936225.9999999999
1.41751e-11,921508.0
1.4631799999999997e-11,907028.0
1.51034e-11,892770.0
1.5590099999999998e-11,878741.9999999999
1.6092599999999998e-11,864930.0
1.66111e-11,851340.0000000001
1.71465e-11,837960.0
1.7699e-11,824795.0
1.8269399999999998e-11,811833.0
1.88581e-11,799079.0
1.94659e-11,786522.0
2.00931e-11,774167.0
2.0740699999999998e-11,762003.0
2.1408999999999998e-11,750034.0
2.2099099999999997e-11,738251.0
2.28111e-11,726656.0
2.3546399999999998e-11,715241.0
2.4305099999999997e-11,704009.0
2.50884e-11,692950.0
2.5896799999999997e-11,682069.0
2.67315e-11,671357.0
2.75928e-11,660816.0
2.8482199999999998e-11,650439.0
2.93999e-11,640228.0
3.0347499999999995e-11,630176.0
3.13253e-11,620284.0
3.2335e-11,610546.0
3.33769e-11,600964.0
3.44526e-11,591530.0
3.55627e-11,582248.0
3.67089e-11,573110.0
3.7891799999999997e-11,564118.0
3.9113e-11,555265.0
4.0373400000000003e-11,546555.0
4.1674599999999996e-11,537980.0
4.3017399999999996e-11,529542.0
4.440389999999999e-11,521235.0
4.58347e-11,513061.0
4.7311899999999994e-11,505015.00000000006
4.883639999999999e-11,497097.00000000006
5.0410399999999995e-11,489302.0
5.20348e-11,481632.0
5.37119e-11,474081.0
5.54426e-11,466652.0
5.7229499999999995e-11,459338.0
5.907359999999999e-11,452140.0
6.09775e-11,445055.0
6.29424e-11,438084.0
6.497099999999999e-11,431221.00000000006
6.70645e-11,424468.0
6.9226e-11,417820.00000000006
7.145659999999999e-11,411278.0
7.37596e-11,404839.00000000006
7.61364e-11,398502.0
7.85902e-11,392264.0
8.11227e-11,386126.0
8.37372e-11,380084.0
8.643549999999999e-11,374139.0
8.922119999999998e-11,368286.0
9.209619999999999e-11,362527.0
9.506439999999999e-11,356858.0
9.81277e-11,351280.0
1.01291e-10,345788.0
1.04554e-10,340385.0
1.07924e-10,335065.0
1.11402e-10,329832.0
1.1499200000000001e-10,324679.0
1.1869700000000001e-10,319610.0
1.22523e-10,314619.0
1.26471e-10,309709.0
1.30547e-10,304875.0
1.34754e-10,300119.0
1.3909700000000002e-10,295437.0
1.43579e-10,290830.0
1.48207e-10,286295.0
1.52982e-10,281833.0
1.57913e-10,277440.0
1.6300100000000001e-10,273118.0
1.68254e-10,268863.0
1.73676e-10,264677.0
1.79274e-10,260556.0
1.8505000000000002e-10,256501.0
1.91014e-10,252509.0
1.97169e-10,248582.0
2.03524e-10,244715.99999999997
2.1008200000000003e-10,240912.00000000003
2.16853e-10,237167.0
2.2384e-10,233482.0
2.31055e-10,229855.0
2.385e-10,226287.0
2.46187e-10,222773.00000000003
2.5412e-10,219316.99999999997
2.6231e-10,215913.99999999997
2.70762e-10,212566.0
2.7948900000000003e-10,209270.99999999997
2.88494e-10,206028.0
2.9779300000000004e-10,202836.00000000003
3.07388e-10,199695.0
3.1729500000000004e-10,196603.0
3.27519e-10,193561.0
3.38075e-10,190566.0
3.4896900000000003e-10,187620.0
3.6021600000000004e-10,184719.0
3.7182300000000004e-10,181865.0
3.83807e-10,179056.0
3.96174e-10,176292.0
4.08943e-10,173571.0
4.2212e-10,170893.0
4.3572499999999996e-10,168258.0
