E(MeV),xs(mb)
1.0e-11,3.06846e6
1.03223e-11,3.02023e6
1.06549e-11,2.97277e6
1.0998399999999998e-11,2.92604e6
1.13527e-11,2.88007e6
1.1718599999999999e-11,2.83481e6
1.2096199999999998e-11,2.79027e6
1.24861e-11,2.74642e6
1.2888399999999999e-11,2.70328e6
1.3303799999999998e-11,2.6608e6
1.37325e-11,2.619e6
1.41751e-11,2.57785e6
1.4631799999999997e-11,2.53736e6
1.51034e-11,2.4975e6
1.5590099999999998e-11,2.45827e6
1.6092599999999998e-11,2.41966e6
1.66111e-11,2.38166e6
1.71465e-11,2.34425e6
1.7699e-11,2.30744e6
1.8269399999999998e-11,2.2712e6
1.88581e-11,2.23554e6
1.94659e-11,2.20044e6
2.00931e-11,2.1659e6
2.0740699999999998e-11,2.13189e6
2.1408999999999998e-11,2.09843e6
2.2099099999999997e-11,2.06548e6
2.28111e-11,2.03307e6
2.3546399999999998e-11,2.00116e6
2.4305099999999997e-11,1.96976e6
2.50884e-11,1.93884e6
2.5896799999999997e-11,1.90842e6
2.67315e-11,1.87848e6
2.75928e-11,1.84901e6
2.8482199999999998e-11,1.82e6
2.93999e-11,1.79146e6
3.0347499999999995e-11,1.76336e6
3.13253e-11,1.73571e6
3.2335e-11,1.70849e6
3.33769e-11,1.68171e6
3.44526e-11,1.65534e6
3.55627e-11,1.6294e6
3.67089e-11,1.60385e6
3.7891799999999997e-11,1.57872e6
3.9113e-11,1.55398e6
4.0373400000000003e-11,1.52964e6
4.1674599999999996e-11,1.50567e6
4.3017399999999996e-11,1.48209e6
4.440389999999999e-11,1.45887e6
4.58347e-11,1.43603e6
4.7311899999999994e-11,1.41354e6
4.883639999999999e-11,1.39142e6
5.0410399999999995e-11,1.36964e6
5.20348e-11,1.3482e6
5.37119e-11,1.3271e6
5.54426e-11,1.30634e6
5.7229499999999995e-11,1.28591e6
5.907359999999999e-11,1.2658e6
6.09775e-11,1.246e6
6.29424e-11,1.22653e6
6.497099999999999e-11,1.20735e6
6.70645e-11,1.18849e6
6.9226e-11,1.16991e6
7.145659999999999e-11,1.15164e6
7.37596e-11,1.13365e6
7.61364e-11,1.11595e6
7.85902e-11,1.09853e6
8.11227e-11,1.08138e6
8.37372e-11,1.06451e6
8.643549999999999e-11,1.0479e6
8.922119999999998e-11,1.03156e6
9.209619999999999e-11,1.0154700000000001e6
9.506439999999999e-11,999643.0
9.81277e-11,984065.0
1.01291e-10,968730.0
1.04554e-10,953644.0000000001
1.07924e-10,938791.0
1.11402e-10,924180.0
1.1499200000000001e-10,909795.0000000001
1.1869700000000001e-10,895644.0000000001
1.22523e-10,881711.9999999999
1.26471e-10,868005.9999999999
1.30547e-10,854512.0000000001
1.34754e-10,841238.0000000001
1.3909700000000002e-10,828168.9999999999
1.43579e-10,815313.0000000001
1.48207e-10,802657.0
1.52982e-10,790205.0
1.57913e-10,777948.0
1.6300100000000001e-10,765889.0
1.68254e-10,754018.0
1.73676e-10,742339.0
1.79274e-10,730843.0
1.8505000000000002e-10,719532.0
1.91014e-10,708398.0
1.97169e-10,697445.0
2.03524e-10,686662.0
2.1008200000000003e-10,676054.0
2.16853e-10,665612.0
2.2384e-10,655338.0
2.31055e-10,645226.0
2.385e-10,635277.0
2.46187e-10,625483.0
2.5412e-10,615848.0
2.6231e-10,606364.0
2.70762e-10,597033.0
2.7948900000000003e-10,587849.0
2.88494e-10,578812.0
2.9779300000000004e-10,569918.0
3.07388e-10,561167.0
3.1729500000000004e-10,552554.0
3.27519e-10,544079.0
3.38075e-10,535738.0
3.4896900000000003e-10,527531.0
3.6021600000000004e-10,519453.00000000006
3.7182300000000004e-10,511505.0
3.83807e-10,503681.99999999994
3.96174e-10,495986.0
4.08943e-10,488410.0
4.2212e-10,480957.0
4.3572499999999996e-10,473620.0
4.4976500000000005e-10,466402.0
4.6426100000000007e-10,459298.0
4.79221e-10,452306.99999999994
4.94666e-10,445427.0
5.10605e-10,438658.00000000006
5.270620000000001e-10,431994.0
5.440450000000001e-10,425439.0
5.6158e-10,418986.00000000006
5.796750000000001e-10,412636.99999999994
5.98358e-10,406388.0
6.176389999999999e-10,400239.0
6.37545e-10,394188.0
6.58089e-10,388233.0
6.79298e-10,382372.0
7.01188e-10,376605.0
7.237860000000001e-10,370929.0
7.47109e-10,365344.0
7.71188e-10,359847.0
7.960380000000001e-10,354439.0
8.21693e-10,349115.0
8.48171e-10,343877.0
8.75507e-10,338721.0
9.037190000000002e-10,333648.0
9.32845e-10,328654.0
9.62904e-10,323741.0
9.93937e-10,318905.0
1.0259700000000001e-9,314146.0
1.05903e-9,309462.0
1.09316e-9,304853.0
1.12839e-9,300317.0
1.16475e-9,295854.0
1.2022900000000002e-9,291460.0
1.2410300000000002e-9,287137.0
1.28103e-9,282882.0
1.3223100000000002e-9,278695.0
1.36492e-9,274573.0
1.4089000000000002e-9,270518.0
1.4543100000000001e-9,266526.0
1.5011699999999999e-9,262599.0
1.5495600000000002e-9,258733.0
1.5994900000000002e-9,254928.0
1.6510400000000001e-9,251183.99999999997
1.7042400000000001e-9,247499.0
1.75917e-9,243873.0
1.8197000000000002e-9,240068.0
1.88232e-9,236327.0
1.94709e-9,232649.99999999997
2.01409e-9,229035.0
2.0834e-9,225480.0
2.1550900000000003e-9,221986.00000000003
