E(MeV),xs(mb)
1.0e-11,3.66987e7
1.03223e-11,3.61211e7
1.06549e-11,3.55529e7
1.0998399999999998e-11,3.49934e7
1.13527e-11,3.4443e7
1.1718599999999999e-11,3.3901e7
1.2096199999999998e-11,3.33677e7
1.24861e-11,3.28426e7
1.2888399999999999e-11,3.2326e7
1.3303799999999998e-11,3.18173e7
1.37325e-11,3.1316799999999996e7
1.41751e-11,3.0823999999999996e7
1.4631799999999997e-11,3.03391e7
1.51034e-11,2.98617e7
1.5590099999999998e-11,2.9392e7
1.6092599999999998e-11,2.89294e7
1.66111e-11,2.8474400000000004e7
1.71465e-11,2.80263e7
1.7699e-11,2.75854e7
1.8269399999999998e-11,2.71513e7
1.88581e-11,2.6724199999999996e7
1.94659e-11,2.63037e7
2.00931e-11,2.58899e7
2.0740699999999998e-11,2.54825e7
2.1408999999999998e-11,2.5081699999999996e7
2.2099099999999997e-11,2.4687e7
2.28111e-11,2.4298700000000004e7
2.3546399999999998e-11,2.39163e7
2.4305099999999997e-11,2.35401e7
2.50884e-11,2.31697e7
2.5896799999999997e-11,2.28052e7
2.67315e-11,2.24464e7
2.75928e-11,2.20932e7
2.8482199999999998e-11,2.17456e7
2.93999e-11,2.1403500000000004e7
3.0347499999999995e-11,2.10668e7
3.13253e-11,2.07353e7
3.2335e-11,2.0409099999999996e7
3.33769e-11,2.0088e7
3.44526e-11,1.97719e7
3.55627e-11,1.94609e7
3.67089e-11,1.91547e7
3.7891799999999997e-11,1.88534e7
3.9113e-11,1.85567e7
4.0373400000000003e-11,1.82648e7
4.1674599999999996e-11,1.79774e7
4.3017399999999996e-11,1.76946e7
4.440389999999999e-11,1.74162e7
4.58347e-11,1.71422e7
4.7311899999999994e-11,1.68725e7
4.883639999999999e-11,1.66071e7
5.0410399999999995e-11,1.63458e7
5.20348e-11,1.60887e7
5.37119e-11,1.58355e7
5.54426e-11,1.55864e7
5.7229499999999995e-11,1.53412e7
5.907359999999999e-11,1.5099800000000002e7
6.09775e-11,1.48623e7
6.29424e-11,1.46285e7
6.497099999999999e-11,1.43983e7
6.70645e-11,1.4171800000000002e7
6.9226e-11,1.3948799999999998e7
7.145659999999999e-11,1.37294e7
7.37596e-11,1.35134e7
7.61364e-11,1.33008e7
7.85902e-11,1.30915e7
8.11227e-11,1.28856e7
8.37372e-11,1.26828e7
8.643549999999999e-11,1.24833e7
8.922119999999998e-11,1.22869e7
9.209619999999999e-11,1.20936e7
9.506439999999999e-11,1.19034e7
9.81277e-11,1.17161e7
1.01291e-10,1.15317e7
1.04554e-10,1.13504e7
1.07924e-10,1.11718e7
1.11402e-10,1.0996e7
1.1499200000000001e-10,1.0823e7
1.1869700000000001e-10,1.06528e7
1.22523e-10,1.04851e7
1.26471e-10,1.03202e7
1.30547e-10,1.0157799999999998e7
1.34754e-10,9.99805e6
1.3909700000000002e-10,9.84072e6
1.43579e-10,9.68593e6
1.48207e-10,9.53352e6
1.52982e-10,9.38356e6
1.57913e-10,9.2359e6
1.6300100000000001e-10,9.09062e6
1.68254e-10,8.94757e6
1.73676e-10,8.80682e6
1.79274e-10,8.66824e6
1.8505000000000002e-10,8.53188e6
1.91014e-10,8.39762e6
1.97169e-10,8.26552e6
2.03524e-10,8.135450000000001e6
2.1008200000000003e-10,8.00747e6
2.16853e-10,7.88146e6
2.2384e-10,7.75747e6
2.31055e-10,7.63539e6
2.385e-10,7.51527e6
2.46187e-10,7.397e6
2.5412e-10,7.28062e6
2.6231e-10,7.16604e6
2.70762e-10,7.0533e6
2.7948900000000003e-10,6.94229e6
2.88494e-10,6.83306e6
2.9779300000000004e-10,6.72552e6
3.07388e-10,6.61969e6
3.1729500000000004e-10,6.5155e6
3.27519e-10,6.41297e6
3.38075e-10,6.31203e6
3.4896900000000003e-10,6.2127e6
3.6021600000000004e-10,6.11491e6
3.7182300000000004e-10,6.01868e6
3.83807e-10,5.92393e6
3.96174e-10,5.83069e6
4.08943e-10,5.7389e6
4.2212e-10,5.64857e6
4.3572499999999996e-10,5.55964e6
4.4976500000000005e-10,5.47212e6
4.6426100000000007e-10,5.38596e6
4.79221e-10,5.30117e6
4.94666e-10,5.21769e6
5.10605e-10,5.13554e6
5.270620000000001e-10,5.05466e6
5.440450000000001e-10,4.97507e6
5.6158e-10,4.89671e6
5.796750000000001e-10,4.8196e6
5.98358e-10,4.74368e6
6.176389999999999e-10,4.66896e6
6.37545e-10,4.59541e6
6.58089e-10,4.52302e6
6.79298e-10,4.45175e6
7.01188e-10,4.38161e6
7.237860000000001e-10,4.31256e6
7.47109e-10,4.2446e6
7.71188e-10,4.1776999999999995e6
7.960380000000001e-10,4.11186e6
8.21693e-10,4.0470300000000005e6
8.48171e-10,3.98324e6
8.75507e-10,3.92043e6
9.037190000000002e-10,3.85861e6
9.32845e-10,3.79776e6
9.62904e-10,3.73786e6
9.93937e-10,3.67889e6
1.0259700000000001e-9,3.62086e6
1.05903e-9,3.56372e6
1.09316e-9,3.50749e6
1.12839e-9,3.45213e6
1.16475e-9,3.39764e6
1.2022900000000002e-9,3.344e6
