E(MeV),xs(mb)
1.0e-11,2.1109e6
1.03223e-11,2.07769e6
1.06549e-11,2.04502e6
1.0998399999999998e-11,2.0128499999999998e6
1.13527e-11,1.9812e6
1.1718599999999999e-11,1.95004e6
1.2096199999999998e-11,1.91938e6
1.24861e-11,1.88919e6
1.2888399999999999e-11,1.85948e6
1.3303799999999998e-11,1.83023e6
1.37325e-11,1.80146e6
1.41751e-11,1.77312e6
1.4631799999999997e-11,1.74525e6
1.51034e-11,1.7178e6
1.5590099999999998e-11,1.69079e6
1.6092599999999998e-11,1.6642e6
1.66111e-11,1.63804e6
1.71465e-11,1.61228e6
1.7699e-11,1.58693e6
1.8269399999999998e-11,1.56198e6
1.88581e-11,1.53742e6
1.94659e-11,1.51325e6
2.00931e-11,1.48946e6
2.0740699999999998e-11,1.46604e6
2.1408999999999998e-11,1.44299e6
2.2099099999999997e-11,1.42031e6
2.28111e-11,1.39798e6
2.3546399999999998e-11,1.376e6
2.4305099999999997e-11,1.35438e6
2.50884e-11,1.33308e6
2.5896799999999997e-11,1.31213e6
2.67315e-11,1.29151e6
2.75928e-11,1.27121e6
2.8482199999999998e-11,1.25123e6
2.93999e-11,1.23157e6
3.0347499999999995e-11,1.21221e6
3.13253e-11,1.19316e6
3.2335e-11,1.17441e6
3.33769e-11,1.15596e6
3.44526e-11,1.13779e6
3.55627e-11,1.11991e6
3.67089e-11,1.10232e6
3.7891799999999997e-11,1.085e6
3.9113e-11,1.06795e6
4.0373400000000003e-11,1.05118e6
4.1674599999999996e-11,1.0346599999999999e6
4.3017399999999996e-11,1.01841e6
4.440389999999999e-11,1.00241e6
4.58347e-11,986668.0
4.7311899999999994e-11,971170.0
4.883639999999999e-11,955918.9999999999
5.0410399999999995e-11,940906.0
5.20348e-11,926132.0
5.37119e-11,911588.0000000001
5.54426e-11,897277.0
5.7229499999999995e-11,883188.0
5.907359999999999e-11,869323.9999999999
6.09775e-11,855676.0000000001
6.29424e-11,842245.9999999999
6.497099999999999e-11,829025.0
6.70645e-11,816015.0
6.9226e-11,803208.0
7.145659999999999e-11,790605.0
7.37596e-11,778199.0
7.61364e-11,765990.0
7.85902e-11,753972.0
8.11227e-11,742146.0
8.37372e-11,730505.0
8.643549999999999e-11,719049.0
8.922119999999998e-11,707772.0
9.209619999999999e-11,696674.0
9.506439999999999e-11,685750.0
9.81277e-11,675001.0
1.01291e-10,664418.0
1.04554e-10,654006.0
1.07924e-10,643755.0
1.11402e-10,633670.0
1.1499200000000001e-10,623739.0
1.1869700000000001e-10,613970.0
1.22523e-10,604351.0
1.26471e-10,594888.0
1.30547e-10,585571.0
1.34754e-10,576404.0
1.3909700000000002e-10,567379.0
1.43579e-10,558500.0
1.48207e-10,549758.0
1.52982e-10,541158.0
1.57913e-10,532690.0
1.6300100000000001e-10,524359.0
1.68254e-10,516157.0
1.73676e-10,508087.99999999994
1.79274e-10,500143.99999999994
1.8505000000000002e-10,492328.0
1.91014e-10,484633.0
1.97169e-10,477062.0
2.03524e-10,469609.0
2.1008200000000003e-10,462276.00000000006
2.16853e-10,455056.99999999994
2.2384e-10,447954.0
2.31055e-10,440962.00000000006
2.385e-10,434083.00000000006
2.46187e-10,427311.0
2.5412e-10,420648.0
2.6231e-10,414089.0
2.70762e-10,407634.99999999994
2.7948900000000003e-10,401281.99999999994
2.88494e-10,395032.0
2.9779300000000004e-10,388879.0
3.07388e-10,382825.0
3.1729500000000004e-10,376866.0
3.27519e-10,371003.0
3.38075e-10,365231.0
3.4896900000000003e-10,359553.0
3.6021600000000004e-10,353963.0
3.7182300000000004e-10,348463.0
3.83807e-10,343050.0
3.96174e-10,337723.0
4.08943e-10,332481.0
4.2212e-10,327322.0
4.3572499999999996e-10,322245.0
4.4976500000000005e-10,317249.0
4.6426100000000007e-10,312332.0
4.79221e-10,307494.0
4.94666e-10,302732.0
5.10605e-10,298046.0
5.270620000000001e-10,293434.0
5.440450000000001e-10,288897.0
5.6158e-10,284431.0
5.796750000000001e-10,280037.0
5.98358e-10,275712.0
6.176389999999999e-10,271456.0
6.37545e-10,267268.0
6.58089e-10,263147.0
6.79298e-10,259091.0
7.01188e-10,255101.00000000003
7.237860000000001e-10,251173.0
7.47109e-10,247308.0
7.71188e-10,243505.0
7.960380000000001e-10,239763.0
8.21693e-10,236079.99999999997
8.48171e-10,232456.0
8.75507e-10,228889.0
9.037190000000002e-10,225380.0
9.32845e-10,221925.99999999997
9.62904e-10,218528.0
9.93937e-10,215184.0
1.0259700000000001e-9,211893.00000000003
1.05903e-9,208653.99999999997
1.09316e-9,205467.99999999997
1.12839e-9,202332.0
1.16475e-9,199246.0
