E(MeV),xs(mb)
1.0e-11,1.15465e6
1.03223e-11,1.1365e6
1.06549e-11,1.11864e6
1.0998399999999998e-11,1.10106e6
1.13527e-11,1.08377e6
1.1718599999999999e-11,1.06674e6
1.2096199999999998e-11,1.04998e6
1.24861e-11,1.03348e6
1.2888399999999999e-11,1.01725e6
1.3303799999999998e-11,1.0012700000000001e6
1.37325e-11,985540.9999999999
1.41751e-11,970058.0
1.4631799999999997e-11,954825.0
1.51034e-11,939827.0
1.5590099999999998e-11,925070.0
1.6092599999999998e-11,910540.0
1.66111e-11,896245.0
1.71465e-11,882170.0
1.7699e-11,868322.0
1.8269399999999998e-11,854688.0
1.88581e-11,841273.0
1.94659e-11,828065.0
2.00931e-11,815069.0000000001
2.0740699999999998e-11,802275.0
2.1408999999999998e-11,789686.0
2.2099099999999997e-11,777292.0
2.28111e-11,765097.0
2.3546399999999998e-11,753091.0
2.4305099999999997e-11,741278.0
2.50884e-11,729648.0
2.5896799999999997e-11,718205.0
2.67315e-11,706939.0
2.75928e-11,695854.0
2.8482199999999998e-11,684940.0
2.93999e-11,674202.0
3.0347499999999995e-11,663631.0
3.13253e-11,653229.0
3.2335e-11,642989.0
3.33769e-11,632913.0
3.44526e-11,622994.0
3.55627e-11,613234.0
3.67089e-11,603625.0
3.7891799999999997e-11,594171.0
3.9113e-11,584864.0
4.0373400000000003e-11,575706.0
4.1674599999999996e-11,566690.0
4.3017399999999996e-11,557819.0
4.440389999999999e-11,549087.0
4.58347e-11,540494.0
4.7311899999999994e-11,532035.0
4.883639999999999e-11,523712.0
5.0410399999999995e-11,515519.0
5.20348e-11,507456.0
5.37119e-11,499519.99999999994
5.54426e-11,491711.0
5.7229499999999995e-11,484023.99999999994
5.907359999999999e-11,476460.0
6.09775e-11,469014.00000000006
6.29424e-11,461688.0
6.497099999999999e-11,454476.0
6.70645e-11,447380.0
6.9226e-11,440394.00000000006
7.145659999999999e-11,433521.0
7.37596e-11,426755.0
7.61364e-11,420098.00000000006
7.85902e-11,413544.99999999994
8.11227e-11,407097.0
8.37372e-11,400750.0
8.643549999999999e-11,394504.0
8.922119999999998e-11,388357.0
9.209619999999999e-11,382308.0
9.506439999999999e-11,376354.0
9.81277e-11,370496.0
1.01291e-10,364728.0
