E(MeV),xs(mb)
1.0e-11,39386.1
1.03223e-11,38780.4
1.06549e-11,38184.6
1.0998399999999998e-11,37598.2
1.13527e-11,37021.6
1.1718599999999999e-11,36453.9
1.2096199999999998e-11,35895.700000000004
1.24861e-11,35346.3
1.2888399999999999e-11,34805.9
1.3303799999999998e-11,34274.1
1.37325e-11,33751.2
1.41751e-11,33236.5
1.4631799999999997e-11,32730.3
1.51034e-11,32232.2
1.5590099999999998e-11,31742.4
1.6092599999999998e-11,31260.3
1.66111e-11,30786.3
1.71465e-11,30319.899999999998
1.7699e-11,29861.2
1.8269399999999998e-11,29409.9
1.88581e-11,28966.1
1.94659e-11,28529.399999999998
2.00931e-11,28100.100000000002
2.0740699999999998e-11,27677.6
2.1408999999999998e-11,27262.300000000003
2.2099099999999997e-11,26853.600000000002
2.28111e-11,26451.899999999998
2.3546399999999998e-11,26056.6
2.4305099999999997e-11,25668.000000000004
2.50884e-11,25285.7
2.5896799999999997e-11,24909.9
2.67315e-11,24540.199999999997
2.75928e-11,24176.7
2.8482199999999998e-11,23819.3
2.93999e-11,23467.899999999998
3.0347499999999995e-11,23122.2
3.13253e-11,22782.5
3.2335e-11,22448.399999999998
3.33769e-11,22120.000000000004
3.44526e-11,21797.0
3.55627e-11,21479.6
3.67089e-11,21167.4
3.7891799999999997e-11,20860.699999999997
3.9113e-11,20559.0
4.0373400000000003e-11,20262.600000000002
4.1674599999999996e-11,19971.2
4.3017399999999996e-11,19684.8
4.440389999999999e-11,19403.300000000003
4.58347e-11,19126.7
4.7311899999999994e-11,18854.8
4.894e-11,18570.0
5.06241e-11,18290.4
5.2366099999999994e-11,18016.0
5.4168099999999994e-11,17746.7
5.6032099999999997e-11,17482.4
5.79602e-11,17223.1
5.99547e-11,16968.6
6.201779999999999e-11,16719.0
6.415189999999999e-11,16474.0
6.63594e-11,16233.699999999999
6.864289999999999e-11,15997.9
7.1005e-11,15766.6
7.34484e-11,15539.8
7.59758e-11,15317.300000000001
7.85902e-11,15099.1
8.129459999999999e-11,14885.1
8.4092e-11,14675.3
8.69858e-11,14469.6
8.997899999999999e-11,14267.8
9.307529999999999e-11,14070.1
9.627809999999999e-11,13876.3
9.95912e-11,13686.3
1.03019e-10,13500.0
1.06564e-10,13317.5
1.10231e-10,13138.7
1.1402399999999999e-10,12963.4
1.1794700000000002e-10,12791.8
1.22006e-10,12623.599999999999
1.2620400000000002e-10,12458.800000000001
1.30547e-10,12297.400000000001
1.3532500000000002e-10,12129.6
1.40278e-10,11965.5
1.45412e-10,11805.000000000002
1.50735e-10,11648.099999999999
1.56251e-10,11494.7
1.61971e-10,11344.7
1.67898e-10,11198.1
1.74044e-10,11054.8
1.80414e-10,10914.8
1.87018e-10,10778.000000000002
1.93862e-10,10644.4
2.0095800000000003e-10,10513.8
2.0831300000000003e-10,10386.3
2.1593800000000001e-10,10261.800000000001
2.2431500000000002e-10,10133.099999999999
2.33017e-10,10007.699999999999
2.42057e-10,9885.37
2.51448e-10,9766.16
2.61203e-10,9649.98
2.7133600000000003e-10,9536.759999999998
2.81863e-10,9426.439999999999
2.92798e-10,9318.960000000001
3.0415700000000004e-10,9214.27
3.16624e-10,9106.72
3.29605e-10,9002.11
3.43115e-10,8900.410000000002
3.57182e-10,8801.51
3.7182300000000004e-10,8705.39
3.87067e-10,8611.94
4.02933e-10,8521.13
4.20339e-10,8428.3
4.3849600000000005e-10,8338.22
4.57438e-10,8250.82
4.77198e-10,8166.040000000001
4.97812e-10,8083.790000000001
5.20417e-10,8000.069999999999
5.440450000000001e-10,7919.01
5.6875e-10,7840.49
5.94572e-10,7764.46
6.228850000000001e-10,7687.38
6.525460000000001e-10,7612.849999999999
6.836190000000001e-10,7540.79
7.16172e-10,7471.110000000001
7.51866e-10,7400.71
7.89333e-10,7332.75
8.28673e-10,7267.12
8.718120000000001e-10,7201.04
9.171970000000001e-10,7137.31
9.64945e-10,7075.86
1.0173200000000002e-9,7014.17
1.07255e-9,6954.75
1.1307700000000002e-9,6897.509999999999
1.19468e-9,6840.200000000001
1.2622e-9,6785.0599999999995
1.3363600000000001e-9,6729.99
1.41488e-9,6677.07
1.5011699999999999e-9,6624.360000000001
1.5927400000000002e-9,6573.75
1.6934700000000002e-9,6523.46
1.80056e-9,6475.23
1.91848e-9,6427.4
2.04412e-9,6381.57
2.18261e-9,6336.23
2.3354100000000003e-9,6291.46
2.4989e-9,6248.65
2.6794900000000002e-9,6206.47
2.8792200000000003e-9,6164.98
3.0938500000000004e-9,6125.4
3.3315100000000002e-9,6086.53
3.5950200000000003e-9,6048.4400000000005
3.88757e-9,6011.19
4.212830000000001e-9,5974.8099999999995
4.56531e-9,5940.24
4.95777e-9,5906.53
5.3953499999999996e-9,5873.71
5.8839600000000004e-9,5841.820000000001
6.444040000000001e-9,5810.150000000001
7.072370000000001e-9,5779.530000000001
7.77837e-9,5749.96
8.57297e-9,5721.429999999999
9.4888e-9,5693.4
1.05247e-8,5666.47
1.17231e-8,5640.16
1.3085700000000001e-8,5614.99
1.46685e-8,5590.5199999999995
1.65125e-8,5566.79
1.8667e-8,5543.86
2.1192099999999998e-8,5521.78
2.41608e-8,5500.58
2.52522e-8,5493.79
2.5299999999999998e-8,5493.5
2.90277e-8,5473.42
3.35165e-8,5454.0
3.88635e-8,5435.5599999999995
4.53501e-8,5417.86
5.3369200000000004e-8,5400.75
6.32057e-8,5384.490000000001
7.54911e-8,5368.9400000000005
9.093019999999999e-8,5354.15
1.10691e-7,5340.02
1.36178e-7,5326.6
1.69673e-7,5313.83
2.14106e-7,5301.78
2.7420399999999996e-7,5290.38
3.57161e-7,5279.57
4.75159e-7,5269.24
6.45647e-7,5259.400000000001
9.01759e-7,5249.82
1.38926e-6,5238.55
5.881179999999999e-6,5198.820000000001
2.4550600000000002e-5,5119.29
5.730240000000001e-5,5031.17
0.000106884,4946.7
0.000186679,4861.3099999999995
0.000328576,4762.7300000000005
0.000752896,4530.48
0.000849006,4455.0599999999995
0.0008983340000000001,4392.98
0.00092738,4331.84
0.000946272,4265.360000000001
0.000957067,4205.66
0.000964285,4148.349999999999
0.0009708830000000001,4074.1899999999996
0.0009756140000000001,3999.23
0.00097919,3922.73
0.0009825200000000002,3827.09
0.0009846570000000001,3746.94
0.000986343,3668.7
0.0009880280000000002,3572.15
0.000989631,3456.71
0.0009908340000000001,3349.2099999999996
0.000991687,3258.47
0.0009925910000000001,3145.23
0.0009934540000000002,3016.1699999999996
0.000994071,2908.13
0.0009946870000000002,2783.63
0.000995304,2639.0600000000004
0.000995715,2529.38
0.000996126,2407.41
0.0009965780000000001,2257.45
0.000996948,2121.77
0.000997318,1975.22
0.0009978320000000001,1763.91
0.0009980380000000001,1686.58
0.000998189,1640.34
0.000998287,1620.08
0.00099836,1612.77
0.0009983840000000002,1612.3400000000001
0.000998458,1618.8400000000001
0.0009985060000000001,1631.31
0.0009985550000000001,1652.19
0.000998604,1683.5800000000002
0.000998641,1715.54
0.0009986770000000001,1756.1599999999999
0.0009987140000000002,1806.97
0.00099875,1869.75
0.000998787,1946.5600000000002
0.000998824,2039.8200000000002
0.0009988479999999999,2112.4700000000003
0.0009988730000000002,2194.5800000000004
0.0009988970000000001,2287.16
0.000998921,2391.3
0.000998945,2501.74
0.000998968,2624.76
0.000998991,2761.6
0.0009990140000000001,2913.5499999999997
0.0009990370000000001,3082.06
0.0009990600000000002,3268.63
0.0009990830000000002,3474.94
0.000999106,3702.74
0.000999133,3998.25
0.00099916,4328.88
0.000999178,4570.52
0.0009991960000000002,4830.46
0.000999214,5109.83
0.000999232,5409.86
0.00099925,5731.82
0.000999268,6077.07
0.000999286,6446.98
0.0009993040000000001,6843.02
0.0009993220000000002,7266.66
0.00099934,7719.54
0.000999358,8203.23
0.000999385,8990.33
0.0009994090000000001,9770.49
0.000999433,10573.6
0.0009994560000000001,11443.000000000002
0.000999479,12383.0
0.000999502,13398.000000000002
0.000999525,14492.400000000001
0.000999548,15670.800000000001
0.000999571,16937.899999999998
0.000999597,18455.7
0.0009996150000000001,19590.399999999998
0.0009996380000000002,21140.9
0.0009996660000000002,23182.6
0.000999693,25289.5
0.0009997180000000001,27335.5
0.000999743,29638.7
0.0009997690000000002,32102.0
0.000999795,34731.299999999996
0.0009998210000000001,37532.5
0.000999846,40511.299999999996
0.0009998820000000001,44906.6
0.0009999100000000001,48768.0
0.000999939,52874.4
0.000999974,58071.200000000004
0.0010000100000000002,64077.799999999996
0.0010000500000000002,70499.7
0.00100009,78126.8
0.00100013,86259.09999999999
0.00100017,94884.7
0.00100021,103977.00000000001
0.00100027,118431.0
0.00100034,133722.0
0.0010004200000000001,155091.0
0.0010006,204334.00000000003
0.0010006600000000002,219003.0
0.00100073,235551.00000000003
0.0010008,250333.0
0.0010008600000000001,262702.0
0.00100091,270554.0
0.0010009600000000002,277042.0
0.0010010099999999999,282063.0
0.00100107,285879.0
0.00100112,287600.0
0.00100114,287749.0
0.0010012,286687.0
0.00100124,284483.0
0.00100129,280496.0
0.00100135,273776.0
0.0010014000000000002,266037.0
0.0010014700000000002,255357.0
0.0010015199999999999,244275.99999999997
0.00100158,232112.0
0.00100166,212760.00000000003
0.0010019100000000002,151325.0
0.0010019800000000002,133959.0
0.00100204,120802.00000000001
0.0010021,108427.0
0.00100214,99714.2
0.00100218,92302.40000000001
0.00100222,85320.2
0.00100226,78770.3
0.0010023,72655.3
0.00100234,66967.3
0.00100238,61701.2
0.0010024200000000002,56842.8
0.00100246,52378.9
0.0010025,48390.4
0.00100253,44742.9
0.00100257,41415.6
0.00100261,38390.0
0.0010026500000000001,35644.7
0.00100269,33160.799999999996
0.0010027299999999999,30917.500000000004
0.0010027600000000001,28896.8
0.0010027999999999999,27077.9
0.00100284,25444.6
0.00100288,23978.600000000002
0.00100292,22664.300000000003
0.00100296,21486.2
0.001003,20430.8
0.00100303,19484.9
0.00100307,18637.1
0.0010031200000000001,17639.6
0.00100318,16774.3
0.0010032300000000001,16020.8
0.00100328,15362.4
0.00100333,14811.300000000001
0.0010034,14097.599999999999
0.00100347,13493.599999999999
0.00100355,12975.8
0.00100362,12526.699999999999
0.00100372,12011.099999999999
0.0010038199999999999,11569.1
0.00100391,11183.9
0.00100406,10687.4
0.0010042100000000002,10244.5
0.00100437,9863.759999999998
0.00100457,9430.35
0.00100478,9062.76
0.00100501,8717.320000000002
0.00100525,8395.67
0.0010055,8119.5
0.00100587,7771.219999999999
0.0010061800000000002,7527.92
0.0010064800000000001,7317.9
0.0010069,7078.78
0.00100731,6876.490000000001
0.00100792,6625.4400000000005
0.00100854,6421.52
0.00100916,6252.589999999999
0.00100996,6072.009999999999
0.00101076,5924.33
0.0010117000000000001,5782.759999999999
0.0010129,5636.26
0.0010145,5484.549999999999
0.0010160199999999999,5372.56
0.00101843,5237.57
0.00102108,5127.94
0.00102478,5017.12
0.0010283500000000001,4939.12
0.00103328,4860.2699999999995
0.0010405500000000001,4779.66
0.0010506299999999999,4705.99
0.00106509,4638.73
0.00108825,4573.04
0.00112853,4505.83
0.0012027399999999999,4430.53
0.0014334,4267.610000000001
0.00171007,4070.1099999999997
0.0018613599999999998,3938.6899999999996
0.0019563,3834.9
0.0020186799999999997,3744.91
0.00205908,3664.6
0.00208587,3590.08
0.00210342,3522.98
0.00211578,3460.17
0.00212689,3385.31
0.00213409,3322.1099999999997
0.0021414,3239.63
0.00214625,3169.75
0.00215131,3077.75
0.00215475,2999.42
0.00215809,2906.38
0.00216059,2821.72
0.0021625800000000003,2742.79
0.00216487,2634.3
0.00216654,2540.57
0.00216811,2438.19
0.00216967,2318.1099999999997
0.00217066,2230.74
0.0021716,2138.21
0.00217254,2034.5300000000002
0.00217348,1917.77
0.00217421,1816.4
0.0021749900000000003,1695.94
0.0021755100000000003,1608.02
0.00217604,1513.46
0.0021765599999999997,1411.81
0.00217708,1302.84
0.0021776,1186.63
0.00217812,1064.0400000000002
0.00217913,821.299
0.0021793999999999997,759.127
0.00217965,708.066
0.00217978,684.292
0.00217991,663.506
0.00218004,646.5889999999999
0.00218014,637.119
0.00218024,631.079
0.00218032,629.2080000000001
0.0021804000000000003,630.806
0.00218046,635.008
0.00218053,642.248
0.00218059,653.0020000000001
0.00218065,666.149
0.0021807,680.995
0.00218076,699.217
0.00218081,721.2620000000001
0.00218086,747.644
0.00218091,778.95
0.00218097,815.852
0.002181,847.665
0.00218104,883.412
0.00218109,932.494
0.00218113,982.5530000000001
0.00218118,1039.02
0.00218122,1102.6100000000001
0.00218125,1159.73
0.0021812900000000002,1231.95
0.00218133,1312.32
0.0021813600000000002,1378.43
0.00218139,1458.28
0.0021814300000000003,1554.5500000000002
0.00218147,1664.27
0.00218151,1793.6799999999998
0.00218154,1912.55
0.00218157,2052.12
0.00218161,2221.8
0.00218164,2360.78
0.00218168,2563.0899999999997
0.00218172,2771.9700000000003
0.00218175,3001.02
0.00218179,3252.2799999999997
0.00218183,3527.43
0.00218186,3818.19
0.0021819,4112.51
0.00218193,4431.45
0.00218196,4776.679999999999
0.002182,5150.23
0.00218203,5553.9
0.00218206,6017.25
0.0021821,6519.47
0.00218213,7063.62
0.00218217,7652.47
0.0021822,8289.37
0.0021822400000000002,8974.019999999999
0.00218227,9711.0
0.0021823100000000002,10504.800000000001
0.00218234,11359.699999999999
0.0021823800000000003,12278.7
0.00218241,13309.2
0.00218245,14511.6
0.00218249,15811.5
0.00218253,17214.3
0.00218257,18726.3
0.00218261,20352.7
0.0021826500000000004,22101.1
0.00218269,23975.8
0.00218273,25983.5
0.00218277,28129.6
0.0021828,30420.5
0.00218284,32861.1
0.00218288,35457.299999999996
0.00218294,39168.1
0.00218299,43174.299999999996
0.00218303,46377.100000000006
0.00218308,50921.9
0.0021831299999999997,55782.100000000006
0.0021831800000000003,60962.899999999994
0.00218323,66464.2
0.00218329,72286.90000000001
0.0021833399999999998,78424.2
0.00218342,88205.2
0.00218349,97922.4
0.00218358,111172.0
0.0021837000000000002,128731.0
0.00218386,153516.0
0.0021840799999999997,188520.0
0.00218417,202256.0
0.0021842899999999998,218479.0
0.0021844,231334.99999999997
0.0021844800000000004,240654.0
0.00218457,248407.0
0.00218466,254547.0
0.00218473,257880.99999999997
0.00218481,260449.00000000003
0.00218488,261168.99999999997
0.00218495,260663.0
0.0021850299999999997,258734.00000000003
0.00218511,254958.00000000003
0.0021852,248932.99999999997
0.0021853,240326.0
0.00218538,231725.0
0.00218547,222023.0
0.0021856,205410.0
0.00218575,184175.0
0.0021860200000000003,144452.0
0.00218614,128168.0
0.0021862300000000004,115819.99999999999
0.00218633,103901.0
0.00218641,94878.90000000001
0.00218649,86466.4
0.00218656,78682.7
0.00218664,71530.7
0.0021866900000000002,67110.59999999999
0.00218675,62562.9
0.00218681,57967.399999999994
0.00218688,53740.0
0.00218694,49864.100000000006
0.0021869999999999997,46321.2
0.00218706,43091.600000000006
0.00218713,40155.399999999994
0.0021871900000000003,37491.7
0.00218724,35356.0
0.0021873200000000004,32856.200000000004
0.0021873900000000004,30631.300000000003
0.00218746,28653.7
0.00218753,26896.9
0.0021876,25336.8
0.0021876699999999996,23949.899999999998
0.0021877399999999997,22716.5
