E(MeV),xs(mb)
1.0e-11,111222.0
1.03223e-11,109488.99999999999
1.06549e-11,107783.99999999999
1.0998399999999998e-11,106105.99999999999
1.13527e-11,104454.0
1.1718599999999999e-11,102828.99999999999
1.2096199999999998e-11,101230.0
1.24861e-11,99655.2
1.2888399999999999e-11,98106.50000000001
1.3303799999999998e-11,96582.00000000001
1.37325e-11,95082.2
1.41751e-11,93605.90000000001
1.4631799999999997e-11,92153.6
1.51034e-11,90724.0
1.5590099999999998e-11,89317.6
1.6092599999999998e-11,87933.29999999999
1.66111e-11,86571.5
1.71465e-11,85231.0
1.7699e-11,83912.4
1.8269399999999998e-11,82614.5
1.88581e-11,81337.8
1.94659e-11,80081.1
2.00931e-11,78844.90000000001
2.0740699999999998e-11,77628.2
2.1408999999999998e-11,76431.3
2.2099099999999997e-11,75253.3
2.28111e-11,74094.6
2.3546399999999998e-11,72954.1
2.4305099999999997e-11,71832.3
2.50884e-11,70728.3
2.5896799999999997e-11,69642.3
2.67315e-11,68573.5
2.75928e-11,67522.3
2.8482199999999998e-11,66487.7
2.93999e-11,65470.100000000006
3.0347499999999995e-11,64468.7
3.13253e-11,63483.799999999996
3.2335e-11,62514.5
3.33769e-11,61561.2
3.44526e-11,60623.1
3.55627e-11,59700.49999999999
3.67089e-11,58792.600000000006
3.7891799999999997e-11,57899.700000000004
3.9113e-11,57021.2
4.0373400000000003e-11,56157.1
4.1674599999999996e-11,55307.00000000001
4.3017399999999996e-11,54470.9
4.440389999999999e-11,53648.3
4.58347e-11,52839.4
4.7311899999999994e-11,52043.5
4.883639999999999e-11,51260.899999999994
5.0410399999999995e-11,50490.899999999994
5.20348e-11,49733.799999999996
5.37119e-11,48988.899999999994
5.54426e-11,48256.6
5.7229499999999995e-11,47536.1
5.907359999999999e-11,46827.7
6.09775e-11,46130.899999999994
6.29424e-11,45445.799999999996
6.497099999999999e-11,44771.9
6.70645e-11,44109.299999999996
6.9226e-11,43457.7
7.145659999999999e-11,42817.0
7.37596e-11,42187.0
7.61364e-11,41567.5
7.85902e-11,40958.4
8.11227e-11,40359.6
8.37372e-11,39770.8
8.643549999999999e-11,39192.0
8.922119999999998e-11,38622.8
9.209619999999999e-11,38063.4
9.506439999999999e-11,37513.4
9.81277e-11,36972.8
1.01291e-10,36441.2
1.04554e-10,35918.9
1.07924e-10,35405.4
1.11402e-10,34900.799999999996
1.15235e-10,34372.0
1.1919999999999999e-10,33852.9
1.23302e-10,33343.4
1.27545e-10,32843.200000000004
1.31934e-10,32352.3
1.36474e-10,31870.5
1.4117e-10,31397.6
1.4602800000000002e-10,30933.5
1.51053e-10,30478.0
1.56251e-10,30031.1
1.61628e-10,29592.6
1.6719e-10,29162.3
1.72943e-10,28740.100000000002
1.78894e-10,28325.9
1.8505000000000002e-10,27919.5
1.91418e-10,27520.899999999998
1.98005e-10,27129.9
2.04818e-10,26746.3
2.1186600000000003e-10,26370.2
2.1915700000000002e-10,26001.2
2.2669800000000004e-10,25639.4
2.34499e-10,25284.5
2.42569e-10,24936.600000000002
2.50916e-10,24595.4
2.5955e-10,24260.899999999998
2.6848100000000005e-10,23932.899999999998
2.7772e-10,23611.399999999998
2.87277e-10,23296.100000000002
2.97163e-10,22987.199999999997
3.07388e-10,22684.3
3.1864e-10,22369.0
3.30301e-10,22060.5
3.42392e-10,21758.5
3.54922e-10,21462.9
3.67914e-10,21173.600000000002
3.81379e-10,20890.5
3.9533900000000004e-10,20613.5
4.09807e-10,20342.4
4.24808e-10,20077.1
4.4035500000000003e-10,19817.7
4.56473e-10,19563.7
4.73179e-10,19315.4
4.90499e-10,19072.4
5.08451e-10,18834.7
5.270620000000001e-10,18602.2
5.463510000000001e-10,18374.8
5.67547e-10,18139.4
5.89565e-10,17909.5
6.12437e-10,17684.899999999998
6.36196e-10,17465.6
6.608780000000001e-10,17251.399999999998
6.865160000000001e-10,17042.1
7.131500000000001e-10,16837.8
7.40816e-10,16638.2
7.69556e-10,16443.2
8.011060000000001e-10,16242.4
8.339440000000001e-10,16046.6
8.681330000000001e-10,15855.5
9.037190000000002e-10,15669.2
9.40768e-10,15487.4
9.79331e-10,15310.2
1.01948e-9,15137.199999999999
1.06127e-9,14968.6
1.1071100000000001e-9,14795.5
1.1549400000000001e-9,14626.9
1.20483e-9,14462.6
1.25687e-9,14302.5
1.31117e-9,14146.5
1.36781e-9,13994.5
1.4299200000000002e-9,13839.1
1.49484e-9,13687.800000000001
1.5627200000000002e-9,13540.6
1.63367e-9,13397.300000000001
1.7078500000000003e-9,13257.8
1.7853900000000002e-9,13122.0
1.87041e-9,12983.499999999998
1.9594800000000004e-9,12848.900000000001
2.05278e-9,12717.9
2.15054e-9,12590.5
2.25772e-9,12461.1
2.37023e-9,12335.3
2.4883500000000004e-9,12213.099999999999
2.61236e-9,12094.400000000001
2.7425500000000002e-9,11979.0
2.8853300000000004e-9,11862.1
3.03553e-9,11748.5
3.1935600000000003e-9,11638.3
3.3598100000000002e-9,11531.199999999999
3.5421900000000006e-9,11423.099999999999
3.7344800000000005e-9,11318.1
3.9372e-9,11216.3
4.159720000000001e-9,11113.699999999999
4.39482e-9,11014.2
4.643200000000001e-9,10917.8
4.916010000000001e-9,10820.8
5.2048300000000005e-9,10727.0
5.510650000000001e-9,10636.099999999999
5.84676e-9,10544.800000000001
6.2033800000000006e-9,10456.6
6.58176e-9,10371.300000000001
6.99797e-9,10285.800000000001
7.440540000000001e-9,10203.199999999999
7.91107e-9,10123.4
8.42917e-9,10043.599999999999
8.981210000000002e-9,9966.55
9.589670000000001e-9,9889.73
1.02393e-8,9815.630000000001
1.09561e-8,9741.89
1.17231e-8,9670.83
1.25704e-8,9600.23
1.34789e-8,9532.28
1.44836e-8,9464.890000000001
1.55632e-8,9400.080000000002
1.67588e-8,9335.93
1.80843e-8,9272.57
1.95147e-8,9211.740000000002
2.11027e-8,9151.76
2.2868300000000003e-8,9092.72
2.47817e-8,9036.15
2.52522e-8,9023.25
2.5299999999999998e-8,9021.96
2.74749e-8,8966.97
2.9899900000000004e-8,8913.0
3.26077e-8,8860.13
3.5636e-8,8808.41
3.90282e-8,8757.91
4.28336e-8,8708.67
4.71095e-8,8660.74
5.1922e-8,8614.15
5.7347400000000006e-8,8568.91
6.347360000000001e-8,8525.04
7.04028e-8,8482.58
7.825400000000001e-8,8441.53
8.73493e-8,8401.15
9.770830000000001e-8,8362.27
1.09759e-7,8324.210000000001
1.23556e-7,8287.699999999999
1.39678e-7,8252.119999999999
1.58238e-7,8218.12
1.80022e-7,8185.129999999999
2.05675e-7,8153.2300000000005
2.36478e-7,8121.969999999999
2.73047e-7,8091.929999999999
3.16607e-7,8063.11
3.69451e-7,8035.15
4.3385999999999994e-7,8008.12
5.12742e-7,7982.04
6.09819e-7,7956.9400000000005
7.31438e-7,7932.54
8.847619999999999e-7,7908.839999999999
1.0796099999999999e-6,7885.78
1.62073e-6,7842.97
3.5516499999999997e-6,7767.9
9.14388e-6,7663.700000000001
2.47238e-5,7477.26
5.0514300000000005e-5,7241.25
8.306080000000001e-5,7006.7300000000005
0.000122103,6786.0199999999995
0.000168491,6581.74
0.00022409500000000003,6393.12
0.00029204400000000004,6217.93
0.000376414,6055.01
0.00048068400000000005,5906.97
0.000615203,5769.04
0.000786222,5644.48
0.00102096,5525.08
0.0013517300000000002,5408.71
0.0021191499999999998,5200.9400000000005
0.0022864499999999998,5127.5
0.0023758200000000003,5059.83
0.00243552,4983.18
0.00247457,4900.43
0.0025008300000000003,4813.75
0.00251952,4722.7699999999995
0.00253353,4626.15
0.00254287,4539.64
0.00255222,4425.33
0.00255923,4311.72
0.0025639,4216.43
0.00256857,4099.03
0.00257207,3991.34
0.00257558,3860.97
0.00257885,3712.4100000000003
0.0025813000000000003,3579.5699999999997
0.00258328,3456.6499999999996
0.00258761,3162.95
0.00258863,3110.3999999999996
0.00258934,3092.1400000000003
0.0025894499999999997,3091.54
0.0025898500000000003,3096.15
0.00259029,3117.36
