E(MeV),xs(mb)
1.0e-11,839725.0
1.03223e-11,826552.0
1.06549e-11,813593.0
1.0998399999999998e-11,800833.0000000001
1.13527e-11,788280.0
1.1718599999999999e-11,775920.0
1.2096199999999998e-11,763760.0
1.24861e-11,751787.0
1.2888399999999999e-11,740008.0
1.3303799999999998e-11,728411.0
1.37325e-11,717001.0
1.41751e-11,705767.0
1.4631799999999997e-11,694715.0
1.51034e-11,683833.0
1.5590099999999998e-11,673128.0
1.6092599999999998e-11,662587.0
1.66111e-11,652217.0
1.71465e-11,642008.0
1.7699e-11,631963.0
1.8269399999999998e-11,622074.0
1.88581e-11,612345.0
1.94659e-11,602767.0
2.00931e-11,593342.0
2.0740699999999998e-11,584065.0
2.1408999999999998e-11,574937.0
2.2099099999999997e-11,565951.0
2.28111e-11,557109.0
2.3546399999999998e-11,548406.0
2.4305099999999997e-11,539842.0
2.50884e-11,531412.0
2.5896799999999997e-11,523118.0
2.67315e-11,514953.00000000006
2.75928e-11,506919.0
2.8482199999999998e-11,499010.99999999994
2.93999e-11,491231.0
3.0347499999999995e-11,483572.0
3.13253e-11,476036.00000000006
3.2335e-11,468618.0
3.33769e-11,461320.0
3.44526e-11,454136.0
3.55627e-11,447067.0
3.67089e-11,440109.99999999994
3.7891799999999997e-11,433263.99999999994
3.9113e-11,426525.99999999994
4.0373400000000003e-11,419897.0
4.1674599999999996e-11,413371.0
4.3017399999999996e-11,406951.0
4.440389999999999e-11,400631.99999999994
4.58347e-11,394414.0
4.7311899999999994e-11,388294.0
4.883639999999999e-11,382273.0
5.0410399999999995e-11,376347.0
5.20348e-11,370517.0
5.37119e-11,364778.0
5.54426e-11,359132.0
5.7229499999999995e-11,353575.0
5.907359999999999e-11,348108.0
6.09775e-11,342727.0
6.29424e-11,337433.0
6.497099999999999e-11,332223.0
6.70645e-11,327096.0
6.9226e-11,322051.0
7.145659999999999e-11,317088.0
7.37596e-11,312203.0
7.61364e-11,307398.0
7.85902e-11,302668.0
8.11227e-11,298015.0
8.37372e-11,293436.0
8.643549999999999e-11,288931.0
8.922119999999998e-11,284498.0
9.209619999999999e-11,280137.0
9.506439999999999e-11,275844.0
9.81277e-11,271622.0
1.01291e-10,267466.0
1.04554e-10,263379.0
1.07924e-10,259356.0
1.11402e-10,255399.00000000003
1.1499200000000001e-10,251505.0
1.1869700000000001e-10,247675.0
1.22523e-10,243905.0
1.26471e-10,240197.0
1.30547e-10,236547.00000000003
1.34754e-10,232958.0
1.3909700000000002e-10,229426.0
1.43579e-10,225952.00000000003
1.48207e-10,222532.0
1.52982e-10,219170.0
1.57913e-10,215859.99999999997
1.6300100000000001e-10,212605.00000000003
1.68254e-10,209402.0
1.73676e-10,206252.0
1.79274e-10,203151.0
1.8505000000000002e-10,200102.0
1.91014e-10,197102.0
1.97169e-10,194151.0
2.03524e-10,191246.0
2.1008200000000003e-10,188390.0
2.16853e-10,185580.0
2.2384e-10,182816.0
2.31055e-10,180096.0
2.385e-10,177421.0
2.46187e-10,174788.0
2.5412e-10,172199.0
2.6231e-10,169652.0
2.70762e-10,167147.0
2.7948900000000003e-10,164681.0
2.88494e-10,162257.0
2.9779300000000004e-10,159871.0
3.07388e-10,157525.0
3.1729500000000004e-10,155216.0
3.27519e-10,152945.0
3.38075e-10,150711.0
3.4896900000000003e-10,148514.0
3.6021600000000004e-10,146352.0
3.7182300000000004e-10,144225.0
3.84618e-10,141995.0
3.97853e-10,139803.0
4.1154400000000004e-10,137650.0
4.2570600000000004e-10,135534.0
