E(MeV),xs(mb)
1.0e-11,28328.7
1.03223e-11,27889.6
1.06549e-11,27457.8
1.0998399999999998e-11,27032.699999999997
1.13527e-11,26614.5
1.1718599999999999e-11,26202.899999999998
1.2096199999999998e-11,25798.0
1.24861e-11,25399.5
1.2888399999999999e-11,25007.5
1.3303799999999998e-11,24621.6
1.37325e-11,24242.1
1.41751e-11,23868.5
1.4631799999999997e-11,23501.1
1.51034e-11,23139.4
1.5590099999999998e-11,22783.699999999997
1.6092599999999998e-11,22433.6
1.66111e-11,22089.2
1.71465e-11,21750.3
1.7699e-11,21417.0
1.8269399999999998e-11,21089.000000000004
1.88581e-11,20766.300000000003
1.94659e-11,20448.8
2.00931e-11,20136.5
2.0740699999999998e-11,19829.1
2.1408999999999998e-11,19526.9
2.2099099999999997e-11,19229.5
2.28111e-11,18936.9
2.3546399999999998e-11,18649.100000000002
2.4305099999999997e-11,18366.0
2.50884e-11,18087.5
2.5896799999999997e-11,17813.600000000002
2.67315e-11,17544.1
2.75928e-11,17279.0
2.8482199999999998e-11,17018.3
2.93999e-11,16761.9
3.0347499999999995e-11,16509.6
3.13253e-11,16261.5
3.2335e-11,16017.5
3.33769e-11,15777.5
3.44526e-11,15541.400000000001
3.55627e-11,15309.3
3.67089e-11,15081.0
3.7891799999999997e-11,14856.6
3.9113e-11,14635.800000000001
4.0373400000000003e-11,14418.7
4.1674599999999996e-11,14205.2
4.3017399999999996e-11,13995.3
4.440389999999999e-11,13788.800000000001
4.58347e-11,13585.9
4.7311899999999994e-11,13386.3
4.883639999999999e-11,13190.2
5.0410399999999995e-11,12997.300000000001
5.20348e-11,12807.699999999999
5.37119e-11,12621.199999999999
5.54426e-11,12438.0
5.7229499999999995e-11,12257.800000000001
5.907359999999999e-11,12080.699999999999
6.09775e-11,11906.699999999999
6.29424e-11,11735.599999999999
6.497099999999999e-11,11567.5
6.70645e-11,11402.2
6.9226e-11,11239.8
7.145659999999999e-11,11080.2
7.39156e-11,10913.0
7.64591e-11,10748.9
7.90901e-11,10587.9
8.18117e-11,10429.8
8.46269e-11,10274.8
8.753909999999999e-11,10122.599999999999
9.05514e-11,9973.28
9.36674e-11,9826.79
9.689059999999999e-11,9683.08
1.0022500000000001e-10,9542.109999999999
1.03674e-10,9403.83
1.0724100000000002e-10,9268.19
1.1093100000000001e-10,9135.17
1.14749e-10,9004.720000000001
1.1869700000000001e-10,8876.8
1.22782e-10,8751.369999999999
1.27007e-10,8628.4
1.3137700000000002e-10,8507.84
1.3589800000000003e-10,8389.67
1.40575e-10,8273.83
1.45412e-10,8160.299999999999
1.50416e-10,8049.049999999999
1.55592e-10,7940.03
1.60946e-10,7833.21
1.66484e-10,7728.570000000001
1.72213e-10,7626.0599999999995
1.78139e-10,7525.65
1.84269e-10,7427.32
1.9061e-10,7331.0199999999995
1.97169e-10,7236.73
2.04387e-10,7138.7
2.1186600000000003e-10,7042.889999999999
2.19622e-10,6949.21
2.27659e-10,6857.68
2.35993e-10,6768.22
2.44629e-10,6680.83
2.53584e-10,6595.44
2.62864e-10,6512.05
2.72486e-10,6430.6
2.82458e-10,6351.08
2.92798e-10,6273.43
3.0351300000000005e-10,6197.650000000001
3.14623e-10,6123.67
3.26137e-10,6051.5
3.3879000000000003e-10,5976.99
3.51933e-10,5904.410000000001
3.6558600000000004e-10,5833.7300000000005
3.79769e-10,5764.910000000001
3.94502e-10,5697.92
4.09807e-10,5632.71
4.2570600000000004e-10,5569.26
4.42221e-10,5507.53
4.5937700000000005e-10,5447.49
4.7821e-10,5385.889999999999
4.97812e-10,5326.1
5.182210000000001e-10,5268.06
5.39463e-10,5211.75
5.6158e-10,5157.110000000001
5.84599e-10,5104.12
6.09852e-10,5050.07
6.36196e-10,4997.75
6.63678e-10,4947.12
6.92348e-10,4898.13
7.22255e-10,4850.74
7.55052e-10,4802.65
7.89333e-10,4756.2300000000005
8.251760000000001e-10,4711.43
8.62641e-10,4668.2
9.037190000000002e-10,4624.54
9.46752e-10,4582.51
9.91835e-10,4542.03
1.04127e-9,4501.33
1.09316e-9,4462.22
1.14764e-9,4424.65
1.20738e-9,4387.0199999999995
1.2702400000000002e-9,4350.94
1.3363600000000001e-9,4316.35
1.4089000000000002e-9,4281.83
1.4853900000000002e-9,4248.8
1.56934e-9,4215.950000000001
1.65804e-9,4184.56
1.75545e-9,4153.46
1.85859e-9,4123.78
1.9719500000000004e-9,4094.4500000000003
2.09665e-9,4065.55
2.22925e-9,4038.07
2.37525e-9,4011.0599999999995
2.5361600000000005e-9,3984.5899999999997
2.7137e-9,3958.7
2.90368e-9,3934.19
3.11354e-9,3910.28
3.34563e-9,3887.0
3.60262e-9,3864.3999999999996
3.88757e-9,3842.4900000000002
4.203940000000001e-9,3821.31
4.55568e-9,3800.86
4.94728e-9,3781.17
5.3953499999999996e-9,3761.7799999999997
5.89643e-9,3743.21
6.47135e-9,3725.06
7.11736e-9,3707.78
7.861060000000001e-9,3691.0
8.71923e-9,3674.78
9.71211e-9,3659.17
1.08639e-8,3644.2000000000003
1.22037e-8,3629.9
1.37669e-8,3616.29
1.56292e-8,3603.16
1.78563e-8,3590.59
2.05306e-8,3578.6
2.37555e-8,3567.24
2.52522e-8,3562.81
2.5299999999999998e-8,3562.68
2.9648e-8,3552.0
3.5038299999999996e-8,3541.9100000000003
4.1848700000000003e-8,3532.33
5.05143e-8,3523.31
6.175239999999999e-8,3514.8100000000004
7.661660000000001e-8,3506.79
9.647650000000001e-8,3499.33
1.23818e-7,3492.34
1.62304e-7,3485.85
2.1775899999999998e-7,3479.86
3.0030399999999996e-7,3474.38
4.2839099999999996e-7,3469.35
6.36162e-7,3464.79
9.917820000000001e-7,3460.6499999999996
4.444049999999999e-6,3451.26
0.000224585,3351.7000000000003
0.00034555699999999997,3274.34
0.00043976100000000005,3191.43
0.000512912,3105.06
0.000569864,3017.3999999999996
0.000616104,2926.5699999999997
0.0006541,2833.49
0.0006882,2730.07
0.0007145500000000001,2632.39
0.0007378,2529.9
0.0007564000000000001,2433.1
0.0007750000000000001,2319.79
0.0007905000000000001,2209.63
0.0008029000000000001,2108.6800000000003
0.0008153000000000001,1993.98
0.0008246000000000001,1897.26
0.0008339,1789.79
0.0008432000000000001,1669.89
0.0008494,1582.11
0.0008556,1487.32
0.0008618,1384.86
0.0008680000000000001,1274.09
0.0008742000000000001,1154.45
0.0008788500000000001,1058.8
0.0008835000000000002,957.8889999999999
0.0008881500000000001,852.133
0.00089435,705.01
0.0009021000000000001,517.851
0.0009052,445.712
0.0009075250000000001,394.549
0.0009090750000000001,362.55899999999997
0.000910625,332.778
0.0009114000000000001,318.979
0.000912659,298.387
0.000913604,284.632
0.0009145479999999999,272.574
0.0009154930000000001,262.488
0.000916123,256.991
0.0009169219999999999,251.59099999999998
0.000917648,248.384
0.000918375,246.978
0.0009185689999999999,246.93200000000002
0.0009191020000000001,247.566
0.000919634,249.38899999999998
0.0009202640000000001,253.20399999999998
0.000920845,258.45799999999997
0.0009214140000000001,265.356
0.000921984,274.138
0.0009223950000000001,281.753
0.0009228800000000001,292.169
0.0009232910000000001,302.34000000000003
0.0009237030000000001,313.801
0.0009241870000000001,329.043
0.0009246720000000001,346.32
0.0009250840000000001,362.716
0.0009254949999999999,380.786
0.000925907,400.63500000000005
0.000926319,422.374
0.000926803,450.53499999999997
0.000927287,481.69100000000003
0.0009277720000000001,516.071
0.000928256,553.923
0.000928741,595.515
0.000929225,641.139
0.0009297090000000001,691.116
0.0009301940000000001,745.797
0.0009306660000000001,804.0070000000001
0.000931138,867.4440000000001
0.000931611,936.519
0.0009320830000000001,1011.6700000000001
0.0009325550000000001,1093.38
0.0009330520000000001,1186.95
0.0009335599999999999,1291.67
0.000934069,1406.19
0.000934577,1531.42
0.0009350860000000001,1668.3799999999999
0.000935595,1818.1799999999998
0.000936103,1982.0800000000002
0.0009366120000000001,2161.47
0.00093712,2357.9
0.0009376289999999999,2573.1000000000004
0.000938138,2809.0099999999998
0.0009386020000000001,3044.67
0.000939068,3301.2999999999997
0.000939533,3581.03
0.000939997,3886.28
0.000940463,4219.7300000000005
0.000940918,4576.450000000001
0.0009413679999999999,4961.87
0.000941819,5383.0
0.000942269,5843.71
0.00094272,6348.39
0.000943156,6883.37
0.000943562,7428.58
0.0009439690000000001,8022.959999999999
0.0009443759999999999,8671.84
0.000944783,9381.289999999999
0.00094519,10158.199999999999
0.0009455970000000001,11010.5
0.000946004,11947.099999999999
0.000946411,12978.300000000001
0.0009468180000000001,14116.1
0.000947224,15374.300000000001
0.000947593,16629.6
0.000947941,17934.1
0.0009482900000000001,19364.3
0.000948639,20935.600000000002
0.000948987,22665.5
0.0009493270000000001,24518.7
0.0009496460000000002,26440.199999999997
0.0009499660000000001,28552.2
0.0009502860000000001,30878.7
0.0009506050000000001,33448.3
0.000950925,36293.9
0.0009512160000000001,39153.0
0.0009515060000000001,42306.4
0.0009517970000000001,45793.600000000006
0.000952088,49660.399999999994
0.000952281,52475.4
0.000952562,56936.799999999996
0.0009528240000000001,61545.2
0.000953085,66654.09999999999
0.000953347,72334.9
0.0009535209999999999,76480.8
0.0009536960000000001,80946.8
0.000953932,87569.9
0.0009541180000000001,93297.2
0.000954304,99535.2
0.0009544900000000001,106344.0
0.0009546760000000001,113791.0
0.000954862,121956.0
0.000955017,129373.99999999999
0.000955172,137413.0
0.000955327,146142.0
0.000955482,155636.0
0.000955637,165984.0
0.000955792,177286.0
0.000955947,189654.0
0.000956102,203219.0
0.000956257,218128.0
0.0009564120000000001,234553.0
0.0009565670000000001,252686.0
0.0009567220000000001,272750.0
0.000956838,289217.0
0.000956955,307032.0
0.0009570710000000001,326326.0
0.0009571870000000001,347243.0
0.000957303,369941.0
0.00095742,394590.0
0.000957536,421372.00000000006
0.0009576520000000001,450484.0
0.0009577680000000001,482131.00000000006
0.000957885,516528.0
0.000958001,553895.0
0.0009581170000000001,594452.0
0.0009582330000000001,638414.0
0.0009583489999999999,685978.0
0.000958466,737323.0
0.000958582,792589.0
0.0009586980000000001,851869.0
0.0009588150000000001,915193.0
0.0009589689999999999,1.0058199999999999e6
0.0009591250000000001,1.10314e6
0.0009592790000000002,1.20644e6
0.000959512,1.36989e6
0.0009599460000000001,1.68207e6
0.0009601319999999999,1.80744e6
0.000960318,1.92031e6
0.000960473,2.0010500000000002e6
0.0009605890000000001,2.05184e6
0.0009607060000000001,2.09313e6
0.000960822,2.12408e6
0.000960938,2.14409e6
0.0009610620000000002,2.15294e6
0.0009611940000000001,2.14811e6
0.0009613250000000001,2.12885e6
0.0009614570000000001,2.09585e6
0.0009615890000000001,2.05016e6
0.0009617580000000001,1.97536e6
0.0009619260000000001,1.8854e6
0.000962039,1.81884e6
0.000962263,1.675e6
0.0009627670000000001,1.33778e6
0.0009629530000000001,1.21934e6
0.000963139,1.10804e6
0.0009632860000000002,1.0258799999999999e6
0.000963449,941641.0000000001
0.0009636120000000001,864420.9999999999
0.0009637740000000001,794109.0
0.000963937,730406.0
0.0009641000000000001,672898.0
0.000964224,632942.0
0.0009643480000000001,596075.0
0.000964472,562069.0
0.0009645960000000001,530702.0
0.0009647200000000001,501760.0
0.0009648440000000001,475038.0
0.0009649680000000001,450347.99999999994
0.000965092,427512.0
0.0009652469999999999,401328.0
0.000965402,377502.0
0.0009655570000000001,355777.0
0.0009657120000000001,335927.0
0.0009658670000000001,317752.0
0.0009660220000000001,301074.0
0.0009661770000000001,285739.0
0.0009663320000000001,271609.0
0.000966526,255458.0
0.000966719,240796.0
0.0009669129999999999,227446.0
0.000967107,215257.0
0.0009673010000000001,204097.00000000003
0.0009674950000000002,193854.0
0.0009676880000000001,184428.0
0.0009678820000000001,175734.0
0.000968145,164953.0
0.0009684089999999999,155229.0
0.0009686730000000001,146426.0
0.0009689360000000001,138429.0
0.0009692,131142.0
0.000969463,124479.99999999999
0.0009697260000000001,118373.0
0.00096999,112759.00000000001
0.0009703390000000001,105997.00000000001
0.000970687,99903.6
0.000971036,94390.7
0.0009713850000000002,89385.6
0.000971734,84826.5
0.000972082,80660.7
0.000972431,76842.8
0.00097278,73334.09999999999
0.0009731669999999999,69757.7
0.0009735550000000001,66482.2
0.0009741360000000001,62060.399999999994
0.0009747180000000001,58145.2
0.0009752990000000001,54659.6
0.0009758800000000002,51541.0
0.000976423,48916.2
0.000976965,46532.1
0.0009775080000000002,44359.4
0.000978321,41441.2
0.000979135,38868.299999999996
0.0009799490000000001,36585.4
0.000980617,34897.3
0.000981412,33082.9
0.000982206,31449.8
0.0009830000000000001,29971.399999999998
0.000983795,28626.399999999998
0.000984986,26825.600000000002
0.000986178,25245.8
0.0009873500000000001,23871.899999999998
0.0009885130000000001,22658.5
0.0009896750000000002,21571.5
0.000990838,20593.1
0.000992,19708.3
0.00099355,18653.6
0.0009951,17720.100000000002
0.00099665,16889.0
0.0009982,16144.8
0.0009998469999999999,15435.4
0.00100159,14762.5
0.00100333,14158.599999999999
0.0010059499999999998,13362.8
0.00100827,12744.1
0.0010106,12196.3
0.00101215,11864.8
0.00101525,11270.7
0.0010183500000000001,10754.0
0.00102145,10300.800000000001
0.0010245500000000002,9900.31
0.00102765,9544.13
0.0010323,9078.35
0.00103695,8679.42
0.0010416000000000002,8334.16
0.00104702,7986.139999999999
0.0010509,7767.8
0.0010571,7459.52
0.00106408,7163.35
0.00107105,6909.76
0.0010803499999999999,6623.47
0.00108965,6383.51
0.00109895,6179.56
0.00110825,6004.16
0.0011222,5782.740000000001
0.00113615,5600.28
0.0011532,5415.69
0.0011718,5251.24
0.0011903999999999999,5115.400000000001
0.00121675,4958.96
0.0012462,4820.34
0.0012834,4683.22
0.0013268,4560.0
0.0013799600000000002,4444.9800000000005
0.00144855,4334.7300000000005
0.0015345,4233.96
0.0016395900000000002,4145.6
0.00178607,4059.41
0.00197406,3983.9500000000003
0.0022391299999999998,3912.57
0.0026372599999999998,3842.6800000000003
0.00325377,3772.43
0.00435723,3687.22
0.00756826,3480.71
0.00885187,3377.6600000000003
0.009751,3284.0699999999997
0.010402800000000002,3194.17
0.010685700000000001,3151.71
0.010695099999999999,3151.51
0.0107308,3158.17
0.0107476,3173.28
0.010758000000000002,3196.05
0.0107659,3230.75
0.0107702,3263.81
0.010773600000000001,3303.12
0.010776699999999998,3354.59
0.0107793,3420.82
0.0107812,3492.07
0.0107826,3555.5099999999998
0.010783899999999999,3637.7799999999997
0.0107849,3717.04
0.010785800000000002,3817.91
0.010786500000000001,3901.9900000000002
0.0107871,4005.02
0.0107878,4134.8099999999995
0.010788299999999999,4257.16
0.010788800000000001,4410.03
0.010789100000000001,4534.84
0.010789400000000001,4683.75
0.0107898,4863.1900000000005
0.01079,5022.92
0.0107903,5208.76
0.010790500000000001,5425.9800000000005
0.010790800000000001,5680.54
0.010791,5979.68
0.0107912,6296.2
0.0107914,6642.929999999999
0.010791599999999998,7041.32
0.010791900000000002,7499.42
0.010792,7841.62
0.0107921,8216.29
0.0107923,8626.31
0.0107924,9074.54
0.010792600000000001,9563.779999999999
0.0107927,10097.1
0.0107928,10677.8
0.010792999999999999,11309.0
0.0107931,11994.1
0.010793299999999999,12736.099999999999
0.0107934,13685.300000000001
0.0107936,14574.400000000001
0.0107937,15531.6
0.0107939,16562.5
0.010794,17667.8
0.0107942,19264.0
0.0107944,21005.3
0.010794600000000001,22896.100000000002
0.0107948,24940.000000000004
0.010794900000000001,26788.1
0.0107951,29202.0
0.0107953,31781.899999999998
0.0107955,34521.700000000004
0.0107958,38412.5
0.010795999999999998,42552.700000000004
0.010796300000000002,46908.3
0.0107967,53745.0
0.0107975,67956.4
0.010797900000000001,75410.2
0.0107983,81046.6
0.0107986,85277.9
0.0107989,88173.1
0.010799099999999999,90386.90000000001
0.010799399999999999,92407.6
0.010799600000000001,93638.99999999999
0.0107998,94247.8
0.0108,94373.2
0.0108002,94072.3
0.0108004,93501.4
0.010800700000000002,92154.90000000001
0.0108009,90223.5
0.0108012,87287.2
0.0108015,83830.9
0.010801799999999999,79541.1
0.0108022,73929.7
0.0108026,66440.40000000001
0.010803499999999999,51038.6
0.0108039,44336.700000000004
0.0108041,40108.2
0.0108044,36116.1
0.0108046,33293.8
0.010804800000000002,30629.1
0.010805,28126.3
0.0108052,25790.1
0.010805400000000001,23619.8
0.0108056,21615.600000000002
0.0108057,19980.899999999998
0.0108059,18469.6
0.0108061,17075.8
0.0108063,15795.5
0.0108064,14622.4
0.0108066,13551.5
0.010806800000000002,12576.400000000001
0.0108069,11692.0
0.0108071,10890.4
0.0108073,10167.1
0.010807500000000001,9465.730000000001
0.010807599999999999,8980.320000000002
0.010807800000000001,8536.51
0.010807899999999999,8131.2
0.010808100000000001,7761.33
0.010808199999999999,7424.1
0.010808400000000001,6973.900000000001
0.0108086,6582.8
0.0108088,6243.43
0.0108091,5948.8099999999995
0.010809299999999999,5693.1
0.010809500000000001,5470.79
0.0108097,5277.35
0.010809899999999999,5085.969999999999
0.0108102,4921.64
0.0108105,4736.84
0.010810900000000002,4583.54
0.010811200000000002,4454.99
0.0108117,4297.5599999999995
0.010812200000000001,4171.53
0.010812800000000001,4049.78
0.0108132,3976.6
0.010813999999999999,3856.86
0.0108149,3762.68
0.0108157,3686.57
0.010817000000000002,3594.44
0.010818399999999999,3523.71
0.010820300000000001,3444.4300000000003
0.0108223,3386.58
0.0108249,3330.73
0.010828299999999999,3280.69
0.0108325,3239.65
0.0108399,3196.31
0.0108504,3163.23
0.0108645,3139.92
0.010892800000000001,3117.15
0.0109941,3080.9700000000003
0.011300900000000001,2987.8399999999997
0.0114961,2909.0
0.0116405,2831.4300000000003
0.0117495,2754.88
0.011826900000000001,2685.5
0.0118993,2603.73
0.0119566,2522.44
0.012027699999999999,2404.14
0.012038100000000001,2396.7000000000003
0.0120434,2401.4
0.012046900000000001,2411.88
0.0120504,2434.1
0.012053000000000001,2465.54
0.012054700000000002,2499.6
0.0120561,2537.09
0.012056899999999999,2571.27
0.0120578,2617.3199999999997
0.012058500000000002,2664.2999999999997
0.012059100000000001,2728.67
0.0120595,2776.79
0.012059899999999998,2836.87
0.012060200000000002,2912.98
0.012060500000000002,2983.7799999999997
0.0120608,3069.4900000000002
0.0120611,3173.67
0.012061299999999999,3300.51
0.012061500000000001,3400.2400000000002
0.0120617,3514.0
0.0120619,3643.83
0.012062100000000001,3791.74
0.0120623,3992.3799999999997
0.0120625,4164.06
0.012062600000000001,4355.95
0.0120628,4570.25
0.012062999999999999,4808.89
0.0120631,5074.79
0.012063299999999999,5369.7699999999995
0.012063500000000001,5696.67
0.0120636,6057.87
0.0120638,6456.400000000001
0.0120639,6887.139999999999
0.0120641,7355.1
0.0120643,7865.599999999999
0.0120644,8422.230000000001
0.012064600000000002,9026.23
0.0120647,9680.630000000001
0.012064900000000002,10387.2
0.0120651,11148.3
0.0120652,11964.999999999998
0.012065300000000001,12541.1
0.0120655,13770.800000000001
0.012065699999999999,14768.1
0.012065900000000001,16375.699999999999
0.012066200000000001,18115.5
0.0120664,19985.7
0.0120667,21976.5
0.0120669,24358.1
0.012067300000000001,27448.100000000002
0.0120678,32626.9
0.0120684,38635.2
0.012068700000000002,41602.1
0.012069000000000002,44388.4
0.0120694,47159.700000000004
0.012069700000000001,49088.0
0.01207,50774.2
0.0120702,51899.0
0.012070399999999998,52668.799999999996
0.012070700000000002,53326.6
0.0120709,53611.700000000004
0.012071,53631.0
0.0120712,53506.200000000004
0.012071499999999999,53042.6
0.012071700000000001,52205.6
0.012072000000000001,51234.3
0.0120722,49786.5
0.0120725,48222.6
0.0120728,45959.8
0.012073,43738.6
0.0120733,41349.5
0.012073799999999999,36328.6
0.0120746,28615.9
0.012075,24916.999999999996
0.0120753,22200.8
0.0120756,20278.999999999996
0.012075800000000001,18469.0
0.012076,16645.2
0.012076199999999999,15344.199999999999
0.012076400000000001,14127.9
0.0120766,12996.099999999999
0.0120768,11947.6
0.012077000000000001,10980.8
0.0120772,10093.4
0.0120774,9282.199999999999
0.012077500000000001,8695.91
0.0120777,8105.42
0.012077800000000001,7563.37
0.012078,7067.62
0.012078199999999999,6615.13
0.0120783,6203.62
0.0120785,5829.42
0.0120787,5490.76
0.0120788,5184.599999999999
0.012079,4908.58
0.012079200000000002,4659.99
0.0120794,4394.78
0.0120796,4143.93
0.012079800000000002,3926.85
0.01208,3739.05
0.012080200000000001,3577.09
0.0120804,3437.3999999999996
0.012080599999999999,3317.02
0.012080800000000001,3213.2000000000003
0.0120811,3123.6600000000003
0.0120813,3022.89
0.0120817,2919.72
0.012081900000000001,2868.0
0.0120824,2783.4
0.012082800000000001,2717.77
0.0120832,2665.7099999999996
0.012083900000000002,2605.02
0.0120845,2558.3
0.0120855,2507.42
0.012086900000000001,2448.39
0.0120884,2404.96
0.012090000000000002,2367.13
0.012092400000000001,2326.82
0.0120956,2286.56
0.0120997,2248.85
0.012106200000000001,2203.2
0.012120599999999999,2125.5899999999997
0.0121496,1977.55
0.0121677,1872.59
0.0121793,1795.99
0.012190900000000001,1710.5
0.012202500000000002,1614.23
0.0122112,1533.59
0.01222,1444.5900000000001
0.012228699999999999,1345.6
0.012234499999999999,1273.35
0.012240299999999999,1195.5
0.0122461,1111.49
0.012251600000000001,1026.65
0.0122566,941.74
0.0122617,851.014
0.0122668,754.334
0.012270900000000001,672.7719999999999
0.0122755,576.897
0.012280800000000001,460.86400000000003
0.0122868,329.422
0.012289399999999999,273.90500000000003
0.0122911,239.58499999999998
0.0122925,211.36400000000003
0.012293700000000001,189.981
0.012294600000000001,174.803
0.0122955,159.56699999999998
0.0122962,148.885
0.0122969,138.929
0.0122976,129.782
0.0122983,121.54
0.0122989,114.867
0.0122994,110.47
0.012299899999999999,106.641
0.012300400000000001,103.421
0.0123009,100.85900000000001
0.0123013,99.1397
0.0123017,98.0448
0.012302200000000001,97.6165
0.012302599999999999,97.9008
0.012303,98.8756
0.0123034,100.367
0.0123038,102.47900000000001
0.012304200000000001,105.617
0.012304500000000001,108.338
0.012304800000000001,111.50899999999999
0.012305,115.14999999999999
0.0123053,119.28399999999999
0.012305600000000002,123.931
0.012305900000000002,129.117
0.012306200000000002,134.864
0.0123065,141.204
0.0123068,148.157
0.0123071,155.75699999999998
0.0123074,164.029
0.0123078,176.33
0.0123081,189.996
0.0123085,205.12199999999999
0.012308900000000001,221.79700000000003
0.0123093,240.129
0.0123097,258.67
0.012310000000000001,277.97900000000004
0.012310399999999999,298.843
0.0123107,321.374
0.0123111,345.648
0.0123114,372.916
0.0123118,404.775
0.0123122,439.31199999999995
0.0123126,476.69800000000004
0.012313000000000001,517.142
0.012313400000000002,560.8380000000001
0.0123138,608.064
0.012314199999999999,659.023
0.0123146,714.01
0.012315000000000001,773.301
0.0123154,837.2379999999999
0.0123158,906.1510000000001
0.0123162,980.4309999999999
0.0123165,1060.44
0.0123169,1146.7099999999998
0.0123173,1239.63
0.012317700000000001,1342.67
0.0123182,1460.23
0.012318599999999999,1587.79
0.012319,1726.21
0.012319400000000001,1876.5
0.0123199,2039.6899999999998
0.0123203,2215.25
0.0123207,2405.9300000000003
0.012321100000000001,2613.2599999999998
0.0123215,2838.8
0.012322,3084.44
0.0123224,3366.64
0.012322900000000001,3683.92
0.012323299999999999,4032.7000000000003
0.012323800000000001,4416.87
0.012324100000000001,4694.5199999999995
0.0123244,4990.99
0.0123248,5448.38
0.012325200000000001,5937.58
0.0123256,6475.11
0.0123261,7067.040000000001
0.0123265,7719.33
0.012326900000000002,8439.550000000001
0.0123272,8961.49
0.0123274,9519.9
0.012327699999999999,10117.7
0.012327999999999999,10758.2
0.0123283,11444.9
0.0123286,12181.5
0.012328800000000001,12971.999999999998
0.012329099999999999,13784.5
0.0123295,15052.300000000001
0.012329900000000001,16453.2
0.0123301,17467.9
0.0123304,18553.0
0.0123306,19713.2
0.0123309,20953.9
0.012331300000000002,22849.6
0.0123316,24862.5
0.012332000000000001,27065.0
0.012332300000000001,29474.999999999996
0.012332700000000002,32106.3
0.012333,34876.5
0.0123333,37667.6
0.0123336,40674.6
0.0123339,43905.5
0.0123342,47369.2
0.012334600000000001,51069.7
0.0123349,55015.7
0.0123353,60652.799999999996
0.0123356,65159.700000000004
0.012336,71527.0
0.0123364,78275.1
0.012337100000000002,89006.3
0.012337899999999999,104085.0
0.0123389,121841.0
0.0123396,134396.0
0.012340100000000001,142281.0
