E(MeV),xs(mb)
1.0e-11,48819.2
1.03223e-11,48066.700000000004
1.06549e-11,47326.7
1.0998399999999998e-11,46598.2
1.13527e-11,45881.7
1.1718599999999999e-11,45176.5
1.2096199999999998e-11,44482.9
1.24861e-11,43800.299999999996
1.2888399999999999e-11,43128.9
1.3303799999999998e-11,42468.1
1.37325e-11,41818.200000000004
1.41751e-11,41178.600000000006
1.4631799999999997e-11,40549.5
1.51034e-11,39930.5
1.5590099999999998e-11,39321.700000000004
1.6092599999999998e-11,38722.5
1.66111e-11,38133.3
1.71465e-11,37553.5
1.7699e-11,36983.299999999996
1.8269399999999998e-11,36422.2
1.88581e-11,35870.5
1.94659e-11,35327.6
2.00931e-11,34793.7
2.0740699999999998e-11,34268.4
2.1408999999999998e-11,33751.9
2.2099099999999997e-11,33243.7
2.28111e-11,32744.0
2.3546399999999998e-11,32252.399999999998
2.4305099999999997e-11,31769.0
2.50884e-11,31293.5
2.5896799999999997e-11,30825.9
2.67315e-11,30366.0
2.75928e-11,29913.8
2.8482199999999998e-11,29469.0
2.93999e-11,29031.699999999997
3.0347499999999995e-11,28601.6
3.13253e-11,28178.7
3.2335e-11,27762.899999999998
3.33769e-11,27354.0
3.44526e-11,26952.0
3.55627e-11,26556.8
3.67089e-11,26168.2
3.7891799999999997e-11,25786.2
3.9113e-11,25410.6
4.0373400000000003e-11,25041.4
4.1674599999999996e-11,24678.399999999998
4.3017399999999996e-11,24321.7
4.440389999999999e-11,23971.0
4.58347e-11,23626.3
4.7311899999999994e-11,23287.5
4.883639999999999e-11,22954.6
5.0410399999999995e-11,22627.4
5.20348e-11,22305.899999999998
5.382539999999999e-11,21969.0
5.567759999999999e-11,21638.4
5.75935e-11,21313.9
5.95754e-11,20995.499999999996
6.162539999999999e-11,20682.999999999996
6.374599999999999e-11,20376.4
6.59396e-11,20075.6
6.82087e-11,19780.4
7.055579999999999e-11,19490.8
7.298369999999999e-11,19206.8
7.549519999999999e-11,18928.2
7.8093e-11,18654.9
8.07803e-11,18386.8
8.356009999999999e-11,18124.0
8.643549999999999e-11,17866.2
8.940979999999999e-11,17613.5
9.248649999999999e-11,17365.7
9.566909999999999e-11,17122.7
9.89612e-11,16884.600000000002
1.0236700000000002e-10,16651.2
1.0588900000000001e-10,16422.399999999998
1.09533e-10,16198.300000000001
1.1330199999999999e-10,15978.6
