,Beta-decay energy (keV),Half life (years),Isotope,Beta-decay fraction,Average beta decay energy,Half life (seconds)
1,9506.2662,1.6762998453621314e-08,122Ag,1.0,5.69,0.5289999999999999
2,*,7.605141075366948e-10,99Sn,0.0,5.69,0.024
3,-2634.6364,0.0034291581108829568,165Tm,0.0,5.69,108216.0
4,-10504.1795,3.802570537683474e-06,112Te,0.0,5.69,120.0
5,-1716.5331,0.3311594798083504,181W,0.0,6.35,10450598.399999999
6,8125.2037,8.530433239536593e-09,99Sr,1.0,5.69,0.2692
7,-6644.0883,9.012092174309834e-06,71Se,0.0,5.69,284.40000000000003
8,-6151.2907,2.3575937333637537e-05,135Nd,0.0,5.69,743.9999999999999
9,6299.0,2.535047025122316e-08,166Sm,1.0,5.69,0.7999999999999999
10,-11089.0,2.0527543285927954e-09,74Rb,0.0,5.69,0.06478
11,17091.9853,9.506426344208685e-10,53K,1.0,5.69,0.03
12,-15611.0,5.437675868887368e-07,72Kr,0.0,5.69,17.16
13,1993.5,9.39234922807818e-05,185Ta,1.0,307.0,2963.9999999999995
14,6760.4051,6.33761756280579e-09,56Ti,1.0,5.69,0.19999999999999998
15,10525.0,5.386974928384921e-09,160Pr,1.0,5.69,0.16999999999999998
16,1645.6311,4.528861510381018e-06,108Ag,0.9715,2.5,142.92000000000002
17,-1635.0,1.3308996881892158e-05,242Bk,0.0,5.69,419.99999999999994
18,687.0,10.728,85Kr,1.0,1.5,338549932.8
19,-7249.2597,2.376606586052171e-06,111Sb,0.0,5.69,75.0
20,-6045.2,0.009226557152635182,140Nd,0.0,4.08,291168.0
21,-9995.0,9.157857378254366e-08,133Sm,0.0,5.69,2.8899999999999997
22,-10633.4071,1.0140188100489264e-07,147Er,0.0,5.69,3.1999999999999997
23,15160.0,9.91837148579106e-10,74Co,1.0,5.69,0.031299999999999994
24,5684.1712,1.3175906913073238e-07,21F,1.0,5.69,4.158
25,*,4.182827591451821e-10,63Se,0.0,5.69,0.013199999999999998
26,*,6.33761756280579e-11,291Ts,0.0,5.69,0.002
27,16557.4995,1.4639896570081375e-09,19C,1.0,5.69,0.0462
28,3206.4401,4.898978376048876e-07,100Tc,1.0,5.69,15.459999999999999
30,9406.8875,4.7849012599183715e-09,117Ru,1.0,5.69,0.151
31,-2475.3893,8.840976500114076e-07,256Lr,0.0,5.69,27.899999999999995
32,-13540.0,6.400993738433848e-11,168Pt,0.0,5.69,0.00202
35,-4061.0,2.535047025122316e-06,290Fl,0.0,5.69,80.0
36,-9906.0,3.2004968692169234e-10,157Ta,0.0,5.69,0.010099999999999998
