,Beta-decay energy (keV),Half life (years),Isotope,Beta-decay fraction,Average beta decay energy,Half life (seconds),Power density (W/g),Evaluation,Half life (log(years))
0,-3652.6948,unknown,44Ca,0.0,5.69,unknown,unknown,0.0,0.0
1,9506.2662,1.6762998453621314e-08,122Ag,1.0,5.69,0.5289999999999999,1643089.8504036018,1.0244126967665754e-56,-17.904091852546795
2,*,7.605141075366948e-10,99Sn,0.0,5.69,0.024,2772735.0678183367,0.0,-20.997026454057146
3,-2634.6364,0.0034291581108829568,165Tm,0.0,5.69,108216.0,10.655951095481576,0.0,-5.675440496653926
4,-10504.1795,3.802570537683474e-06,112Te,0.0,5.69,120.0,14116.143810976642,0.0,-12.47983326264091
5,-1716.5331,0.3311594798083504,181W,0.0,6.35,10450598.399999999,0.11225630468123182,0.0,-1.105155207529439
6,8125.2037,8.530433239536593e-09,99Sr,1.0,5.69,0.2692,2561547.1035279157,7.182424246100154e-59,-18.57962568663452
7,-6644.0883,9.012092174309834e-06,71Se,0.0,5.69,284.40000000000003,9411.3507748352,0.0,-11.61694330749387
8,-6151.2907,2.3575937333637537e-05,135Nd,0.0,5.69,743.9999999999999,1893.4770140091205,0.0,-10.655283970589863
9,6299.0,2.535047025122316e-08,166Sm,1.0,5.69,0.7999999999999999,958357.9171970725,1.6346165595939052e-55,-17.490468556737166
10,-11089.0,2.0527543285927954e-09,74Rb,0.0,5.69,0.06478,3709386.2597840475,0.0,-20.00408337066191
11,17091.9853,9.506426344208685e-10,53K,1.0,5.69,0.03,5179259.843183593,3.454665486006043e-66,-20.773882902742937
12,-15611.0,5.437675868887368e-07,72Kr,0.0,5.69,17.16,150930.67180578923,0.0,-14.424743911363139
13,1993.5,9.39234922807818e-05,185Ta,1.0,307.0,2963.9999999999995,18719.50808628003,1.1336742698141755e-28,-9.273030019006978
14,6760.4051,6.33761756280579e-09,56Ti,1.0,5.69,0.19999999999999998,4748618.260679081,1.2358776741420913e-59,-18.876762917857057
15,10525.0,5.386974928384921e-09,160Pr,1.0,5.69,0.16999999999999998,1686545.5037231343,1.1960730294556652e-60,-19.039281847354832
16,1645.6311,4.528861510381018e-06,108Ag,0.9715,2.5,142.92000000000002,5402.904536276823,5.306645925272492e-41,-12.305039972267746
17,-1635.0,1.3308996881892158e-05,242Bk,0.0,5.69,419.99999999999994,1870.4497903210524,0.0,-11.227070294145541
18,687.0,10.728,85Kr,1.0,1.5,338549932.8,0.00174303603217841,1.062338667886926e-09,2.3728571459793772
19,-7249.2597,2.376606586052171e-06,111Sb,0.0,5.69,75.0,22749.898720639296,0.0,-12.949836891886646
20,-6045.2,0.009226557152635182,140Nd,0.0,4.08,291168.0,3.346915374348393,0.0,-4.685669306266538
21,-9995.0,9.157857378254366e-08,133Sm,0.0,5.69,2.8899999999999997,440127.67804151797,0.0,-16.206068503298614
22,-10633.4071,1.0140188100489264e-07,147Er,0.0,5.69,3.1999999999999997,363675.86554432067,0.0,-16.104174195617276
23,15160.0,9.91837148579106e-10,74Co,1.0,5.69,0.031299999999999994,3709469.8871334684,3.4740399919639937e-66,-20.731462186858984
24,5684.1712,1.3175906913073238e-07,21F,1.0,5.69,4.158,2007100.4608480236,1.8231115981257014e-49,-15.842290815987134
25,*,4.182827591451821e-10,63Se,0.0,5.69,0.013199999999999998,4357155.10657292,0.0,-21.594863454812767
26,*,6.33761756280579e-11,291Ts,0.0,5.69,0.002,943301.6210106323,0.0,-23.481933103845147
27,16557.4995,1.4639896570081375e-09,19C,1.0,5.69,0.0462,14447404.632144848,3.04855408353007e-64,-20.3421004863174
28,3206.4401,4.898978376048876e-07,100Tc,1.0,5.69,15.459999999999999,120353.89397633867,3.9930461180434486e-46,-14.52906896226368
29,-2921.1,unknown,68Zn,0.0,5.69,unknown,unknown,0.0,0.0
30,9406.8875,4.7849012599183715e-09,117Ru,1.0,5.69,0.151,2322349.2258318295,6.381332431206943e-61,-19.15780044759017
31,-2475.3893,8.840976500114076e-07,256Lr,0.0,5.69,27.899999999999995,26311.23468796264,0.0,-13.938698316595636
32,-13540.0,6.400993738433848e-11,168Pt,0.0,5.69,0.00202,1633933.1649648452,0.0,-23.47198277299198
33,-16673.0,unknown,39Sc,0.0,5.69,unknown,unknown,0.0,0.0
34,*,unknown,29Ar,0.0,5.69,unknown,unknown,0.0,0.0
35,-4061.0,2.535047025122316e-06,290Fl,0.0,5.69,80.0,8165.841893135367,0.0,-12.885298370749075
36,-9906.0,3.2004968692169234e-10,157Ta,0.0,5.69,0.010099999999999998,1748412.5586884967,0.0,-21.86254486055788
37,4280.0,3.802570537683474e-06,182Lu,1.0,5.69,120.0,8686.857729831778,3.797352735455141e-40,-12.47983326264091
38,-3636.2612,unknown,100Ru,0.0,5.69,unknown,unknown,0.0,0.0
39,-4795.7039,unknown,126Xe,0.0,5.69,unknown,unknown,0.0,0.0
40,-3830.6268,9.126169290440338e-05,155Ho,0.0,398.0,2880.0,29810.097015587864,0.0,-9.301779432292964
41,-8239.277,4.784901259918371e-07,101In,0.0,5.69,15.099999999999998,121938.53097892659,0.0,-14.552630261602078
42,-1254.5923,0.0006297056810403832,257Md,0.0,5.69,19871.999999999996,37.25518760891921,0.0,-7.370258020689751
