,Isotope,Residuals (W/g),Power density (W/g),Half life (years),Half life (log(years))
0,122Ag,-4.017110109353241,1643089.8504036018,1.6762998453621314e-08,-17.904091852546795
1,99Sn,-1.9730798281863526,2772735.0678183367,7.605141075366948e-10,-20.997026454057146
2,165Tm,-773610.1610470058,10.655951095481576,0.0034291581108829568,-5.675440496653926
3,112Te,-582.9812068665285,14116.143810976642,3.802570537683474e-06,-12.47983326264091
4,181W,-73435185.75805707,0.11225630468123182,0.3311594798083504,-1.105155207529439
5,99Sr,-2.2181968028938797,2561547.1035279157,8.530433239536593e-09,-18.57962568663452
6,71Se,-874.9170597570217,9411.3507748352,9.012092174309834e-06,-11.61694330749387
7,135Nd,-4352.663993829665,1893.4770140091205,2.3575937333637537e-05,-10.655283970589863
8,166Sm,-7.601757810010814,958357.9171970725,2.535047025122316e-08,-17.490468556737166
9,74Rb,-1.2223521956744237,3709386.2597840475,2.0527543285927954e-09,-20.00408337066191
10,53K,-0.5916487970544559,5179259.843183593,9.506426344208685e-10,-20.773882902742937
11,72Kr,-53.61820715701219,150930.67180578923,5.437675868887368e-07,-14.424743911363139
12,185Ta,-439.372827161923,18719.50808628003,9.39234922807818e-05,-9.273030019006978
13,56Ti,-0.7359918710030686,4748618.260679081,6.33761756280579e-09,-18.876762917857057
14,160Pr,-3.8878388877368177,1686545.5037231343,5.386974928384921e-09,-19.039281847354832
15,108Ag,-1524.7650109650667,5402.904536276823,4.528861510381018e-06,-12.305039972267746
16,242Bk,-4406.262222003112,1870.4497903210524,1.3308996881892158e-05,-11.227070294145541
17,85Kr,-4729427587.902441,0.00174303603217841,10.728,2.3728571459793772
18,111Sb,-361.356017504238,22749.898720639296,2.376606586052171e-06,-12.949836891886646
19,140Nd,-2463031.9055273905,3.346915374348393,0.009226557152635182,-4.685669306266538
20,133Sm,-17.729934767378996,440127.67804151797,9.157857378254366e-08,-16.206068503298614
21,147Er,-21.66733506414377,363675.86554432067,1.0140188100489264e-07,-16.104174195617276
22,74Co,-1.2223020943313048,3709469.8871334684,9.91837148579106e-10,-20.731462186858984
23,21F,-3.1071998436752954,2007100.4608480236,1.3175906913073238e-07,-15.842290815987134
24,63Se,-0.8919598906635006,4357155.10657292,4.182827591451821e-10,-21.594863454812767
25,291Ts,-7.739052828302836,943301.6210106323,6.33761756280579e-11,-23.481933103845147
26,19C,0.42940874787336913,14447404.632144848,1.4639896570081375e-09,-20.3421004863174
27,100Tc,-67.49435798609294,120353.89397633867,4.898978376048876e-07,-14.52906896226368
28,117Ru,-2.549665402318163,2322349.2258318295,4.7849012599183715e-09,-19.15780044759017
29,256Lr,-312.3096107727334,26311.23468796264,8.840976500114076e-07,-13.938698316595636
30,168Pt,-4.045226375102668,1633933.1649648452,6.400993738433848e-11,-23.47198277299198
31,290Fl,-1008.5177946030996,8165.841893135367,2.535047025122316e-06,-12.885298370749075
32,157Ta,-3.714884171970946,1748412.5586884967,3.2004968692169234e-10,-21.86254486055788
33,182Lu,-947.969461158109,8686.857729831778,3.802570537683474e-06,-12.47983326264091
34,155Ho,-275.53592320498024,29810.097015587864,9.126169290440338e-05,-9.301779432292964
35,101In,-66.60424808184928,121938.53097892659,4.784901259918371e-07,-14.552630261602078
36,257Md,-221271.88112386357,37.25518760891921,0.0006297056810403832,-7.370258020689751
37,228Rn,-644.516987794492,12770.48142017302,2.0597257079118815e-06,-13.092937735527318
38,84Nb,-35.94191696096649,223149.29427581996,3.105432605774837e-07,-14.98494261974643
39,115Ru,-2.893875750891675,2117058.4852759843,1.0076811924861206e-08,-18.413028901624916
40,202Os,-19.711589426510898,398016.9039312758,6.33761756280579e-08,-16.57417782486301
41,60Ti,-0.8018665625367171,4575012.86190144,7.034755494714426e-10,-21.074987995526858
42,235Am,-6294.725455909347,1309.3904359025016,1.9583238269069892e-05,-10.840836547965266
43,216At,0.9949020117863258,1617022706.5108056,9.506426344208685e-12,-25.37905308873103
44,58Cu,-7.953586788867027,920699.4798202814,1.0152863335614875e-07,-16.102924976216844
45,75Y,-1.2523332031708343,3660010.2895212527,3.168808781402895e-12,-26.477665377399138
46,190Ta,-45.54413646738937,177112.807857363,1.679468654143534e-07,-15.59961818486488
47,271Ds,-7.205049180327335,1004693.8803000257,4.563084645220169e-09,-19.20526698482909
48,36Al,-0.08160891913665512,7621574.261439766,2.8519279032626053e-09,-19.67527061407483
49,196Tl,-56251.914996792824,146.54463150052953,0.00020990189368012778,-8.468870309357861
50,120Ba,-125.58864956399357,65120.86768781192,7.605141075366947e-07,-14.08927117507501
51,171Ho,-394.2343708537888,20857.403371138495,1.6794686541435342e-06,-13.297033091870833
52,190Po,-4.705910781366113,1444740.9037583894,7.763581514437093e-11,-23.278992259848458
53,51Sc,-27.172120702788646,292614.2048731041,3.9293228889395894e-07,-14.749628532811965
54,90Mo,-930.0373924521394,8854.16930175485,0.0006342687656856034,-7.363037772716264
55,89Ru,-5.542715894602199,1259960.363835549,4.1828275914518214e-08,-16.989693268824677
56,285Nh,-60.186901637801945,134727.57205183685,1.4576520394453314e-07,-15.741268701927908
57,161Nd,-4.035407401438091,1637119.3116730317,6.812938880016224e-09,-18.80444225627743
58,235U,-315922.295647164,26.09355755848522,0.704,-0.3509769228240947
59,50K,-0.9507389020774774,4225866.767847031,1.4956777448221663e-08,-18.018101298819538
60,69Cu,-511.2370918025424,16093.25609363203,5.41866301619895e-06,-12.125661448920296
61,59Ti,-0.7718354532095812,4652555.452653835,9.03110502699825e-10,-20.82517619713049
62,113Te,-500.0710730003926,16451.883062563375,3.232184957030953e-06,-12.642352192138684
63,220Rn,0.4720882606426119,15615418.420265231,1.7618576824600094e-06,-13.249141804166419
64,136Nd,-356.5464384628326,23055.921727192774,9.630009886683397e-05,-9.248041212506163
65,95Br,-1.8534479913726232,2888982.9861837192,2.5350470251223157e-09,-19.79305364973121
66,180Tm,-25.202682839576077,314607.5823420906,9.506426344208684e-08,-16.168712716754847
67,165Tb,-906.511054966785,9083.704990610093,4.011711917256065e-06,-12.42629249571288
68,86Se,-53.583755457955085,151025.93491181618,4.5313965574061396e-07,-14.607065468157094
69,85Br,-641.0647542314337,12839.145342751839,5.513727279641037e-06,-12.108269706208427
70,140Pr,-5.590411475619686,1250841.882867486,6.445357061373488e-06,-11.952150521808496
71,218Tl,-12.093563687766448,629588.9259497569,3.168808781402895e-08,-17.267325005422958
72,94Tc,-3157.084577568341,2610.3045996896594,0.0005570765837706289,-7.492807834183788
73,250Md,-587.6593091818538,14003.962173796084,1.7111567419575632e-06,-13.278340958858681
74,53Fe,-1172.2683140802865,7026.153012150221,1.617993763784318e-05,-11.031738500615573
75,112Xe,-13.855321208398125,554923.2213420805,8.555783709787816e-08,-16.274073232412672
76,135Xe,-47611.10518844374,173.1400589494721,0.0010426648414328086,-6.8659754955126955
77,249Am,-1944.6006064605663,4237.027204690428,5.703855806525211e-06,-12.074368154532745
78,95Nb,-1632910.5440321122,5.048382889547078,0.09580013689253936,-2.345491165065431
79,241Cm,-28610.36220234617,288.12199295983305,0.08980150581793292,-2.4101535352407106
80,163Tm,-46018.054745762085,179.13368157121414,0.00020647958019621263,-8.48530903570102
81,145Ce,-1135.7496069295285,7251.872047092483,5.7228686592136274e-06,-12.071040364440071
82,48K,-13.936843608155439,551894.5578659385,2.1642963976981772e-07,-15.346000331840257
83,236Bk,-268.40611118052703,30599.018941748007,8.238902831647526e-07,-14.009228467401474
84,129Pd,-2.8740131102080855,2127912.9586096904,9.823307222348974e-10,-20.741093079919946
85,47Cr,-0.8160143428376425,4539370.920471093,1.4627221334955763e-08,-18.040381569211203
86,30S,-1.0277950597757766,4065283.944397787,3.738560600299135e-08,-17.101980072836117
87,97Cd,-5.475718178803099,1272995.9012143523,3.6758181864273574e-08,-17.118905000304682
88,48Fe,-0.44149357628566194,5718764.783036385,1.4354703779755113e-09,-20.361773251916105
89,114I,-10.737621126237396,702319.7128597527,6.369305650619818e-08,-16.569190283351972
90,229Ra,-2383.622479152306,3456.967621124694,7.605141075366948e-06,-11.786686082080964
91,49V,-820035507.267625,0.01005268993345257,0.9034907597535934,-0.10148939617028299
92,156Yb,-177.75784724772998,46115.808765650145,8.270590919461555e-07,-14.005389691094308
93,72As,-9743.14529197578,846.0016196417063,0.00296600501939311,-5.8205393429572725
94,269Ds,-7.07836842203939,1020448.9654799034,7.288260197226658e-12,-25.644756254464035
95,213Hg,-140.6486600701182,58197.25153033518,4.7532131721043423e-07,-14.559274804320745
