first,second
"(0, -3)","[30, 25, 29, 24, 22]"
"(-1, -6)",[36]
"(-1, -3)",[112]
"(1, -2)","[5, 10, 33]"
"(0, -2)","[207, 801, 849, 108, 116, 109, 107, 800]"
"(-1, -2)",[1]
"(2, 1)","[875, 90, 4, 91, 218, 52, 34, 18, 16, 891, 876, 152, 17, 37, 214, 3, 51]"
"(-2, -2)",[101]
"(1, -1)","[700, 32, 215, 205, 11, 702, 749, 105, 701]"
"(0, -1)","[115, 50]"
"(2, 2)","[210, 457, 460, 456, 451, 216, 208, 2, 211, 202, 455, 213, 450, 106, 452, 212, 102, 209, 454, 206, 459]"
"(-1, -5)","[35, 113]"
"(1, 0)","[699, 650, 104, 651, 28, 41, 204, 42, 652, 44]"
"(0, 0)","[20, 21, 38]"
"(-1, -4)","[114, 117, 45]"
"(1, 1)","[603, 111, 203, 103, 217, 600, 649, 601, 604, 602]"
"(0, 1)","[251, 253, 151, 751, 750, 27, 458, 799, 19, 252]"
"(-2, -4)",[23]
