first,second
"(-1, -3)","[700, 32, 215, 205, 11, 702, 749, 105, 701]"
"(-2, -3)",[115]
"(-1, -2)","[699, 650, 104, 651, 28, 41, 204, 42, 652, 44, 1]"
"(-2, -2)",[101]
"(-3, -5)",[112]
"(-3, -7)","[35, 113]"
"(0, -1)","[875, 90, 4, 91, 218, 52, 34, 50, 18, 16, 891, 876, 152, 17, 37, 214, 3, 51]"
"(-1, -1)","[603, 111, 203, 103, 217, 600, 649, 601, 604, 602]"
"(-3, -8)",[36]
"(0, 0)","[210, 457, 460, 456, 451, 216, 208, 2, 211, 202, 20, 455, 213, 450, 106, 452, 212, 102, 21, 38, 209, 454, 206, 459]"
"(-2, -5)","[30, 25, 29, 24, 22]"
"(-1, -4)","[5, 10, 33]"
"(0, 1)","[251, 253, 151, 751, 750, 27, 458, 799, 19, 252]"
"(-2, -4)","[207, 23, 801, 849, 108, 116, 109, 107, 800]"
"(-3, -6)","[114, 117, 45]"
