,Parent Isotope,Mean Power Density Over 100 years (watts per gram)
0,63Se,4.050023327902615e-221
1,5H,0.0
2,272Bh,32872.3518872906
3,21Na,129205.32094386642
4,82Mo,7.01668577997934e-94
5,127Cd,13.999111479612608
6,258Md,1.2655130535295633
7,209Ac,3.661737904660838e-26
8,141Ba,36304.245842901255
9,162Sm,6677.199249060856
10,45Fe,0.0
11,145Eu,396.45715571813804
12,131Te,9921.599489304117
13,243Np,1976007.162623962
14,248Cm,1.3971864105326183e-07
15,292Mc,19548.623602351796
16,67V,0.0
17,120La,19053.84448549447
18,157Dy,1996.7526345238807
19,187Hg,2741.3075128753576
20,189Ir,60.58598642178517
21,119Sb,82.95256550017241
22,166W,43627.60767331575
23,166Re,18717.908368897657
24,112Ru,129198.27049155967
25,218Bi,17219344.201095805
26,137Sm,26820.297593881696
27,209Po,0.3617554664564911
28,140I,139.02415148348283
29,98Tc,288.8767708979049
30,251Fm,122.64818616369769
31,139I,292157.7017283332
32,223At,7772505.839361261
33,210At,151.03418574797175
34,243Cf,1682.5289660214269
35,116Xe,27662.077475345657
36,99Tc,1.6514205060561956e-07
37,230Am,4378.533008183051
38,126I,59.081669732244755
39,124Sb,0.20584540680556676
40,188W,0.832227903090687
41,202Au,5971.299588462773
42,293Og,0.0
43,181Pb,3.5033011067312158e-71
44,244Pu,381.3372570124587
45,233U,0.00025949381254520713
46,116I,51575.82018989607
47,36Si,4.2756344143227665
48,113Te,23954.059033133733
49,77Ga,370306.3152218153
50,193Pt,0.07507784448006685
51,62Ti,0.0
52,65Fe,3249.796152086164
53,136Eu,31121.414509908333
54,110Ag,45200.21840049636
55,115Cd,106.3233320736014
56,238U,1.9938700621006934e-08
57,256Es,152.70239231166676
58,141Te,2.1121493436899332e-08
59,96Tc,2.1468865368339745
60,258Sg,0.0
61,136Pr,98727.3353455674
62,110Rh,13042.611915446654
63,203Ra,1.250711793125925e-77
64,151Cs,2.351218424904374e-43
65,116Ba,2440.126415704247
66,238Bk,3623.7091166958744
67,54K,3.264487587289751e-293
68,124La,37442.390575055964
69,93Kr,40497.702577030825
70,115Ag,15696.566340421105
71,123I,1104.8515025431836
72,241Es,15907.3460040507
73,105Sb,1328.1706503491096
74,61Ca,0.0
75,133Xe,2.0345179263740127
76,151Tb,639.0234483076684
77,169Tb,226312.5940688537
78,174Ta,17061.113546752946
79,245Md,0.004893362071397511
80,179Hg,825.1360261780667
81,278Rg,0.0
82,165Sm,2648.9658117401386
83,188Pb,20485.076973511976
84,263Lr,184.1815653586705
85,55K,3.8200065160625204e-293
86,176Tm,2969.8720302726715
87,256Db,1482.3319058133934
88,183Tl,22081.300313619307
89,213Ra,7352.992944763222
90,30Mg,0.0025168816813643407
91,174Tb,1.279724484062772e-06
92,5Li,0.0
93,139Dy,4.385977288928749
94,230Np,3431.830685896309
95,71Br,39128.94376725689
96,141Xe,165190.41240835507
97,161Pm,1716.470323822988
98,131Pd,2.318281972021139e-142
99,170Tb,507.29171045148325
100,210Ra,24025.176569715648
101,77Zr,0.0
102,154Er,9889.336403781886
103,174Os,26820.943257667688
104,268Hs,2152.9958555960534
105,256No,18567.47820497129
106,124Cs,54379.16694514152
107,75Zn,854022.0179736459
108,103In,15227.58326636203
109,198Pb,495.0868750849294
110,95Br,5.665253075354554e-30
111,117Tc,8.529863384932684e-60
112,178Hg,1.2181995151328632e-05
113,206Au,246884.07875127887
114,221Po,2119690.726312087
115,131Pm,45988.136235626225
116,172Hg,0.0
117,283Rg,5162.147366477385
118,189Pb,16207.620806831761
119,209Ra,26621.227758707093
120,185Os,1.4220485401789935
121,172Re,28334.81012169986
122,37K,6116.689429566287
123,160Pm,67.40104274627178
124,43P,5.547881274497356e-76
125,137Tb,4.450006154460556
126,52K,1.3583741089683994e-20
127,266Db,481.88824518492584
128,26F,0.0
129,182Hf,24.32935383309195
130,161Sm,55493.70810250967
131,69Cu,315788.4240372567
132,40S,98181.87471208166
133,142I,1.1395069717533238e-05
134,189Re,151.83841103487717
135,104Tc,74256.96443320281
136,30Na,2.1409416312346044e-58
137,221Pa,0.0
138,107Ru,61791.20826856246
139,192Au,297.69882137359025
140,127Rh,1.482387741487199e-99
141,31Ar,1.683768167428527e-193
142,140Sn,1.4413279983581308e-52
143,149Tm,256.57346874170935
144,102Sn,15842.778271036077
145,151Yb,4138.9922801409575
146,217Bi,3005755.9231501026
147,278Hs,12443.784149131356
148,195Re,552500.7890243146
149,98Nb,382666.8077894706
150,90Pd,3.946034247317163e-294
151,227Ac,1.9615806248650092
152,50Cl,3.5033512788311225e-293
153,95Y,67788.14523161983
154,182Ir,3399.043843991121
155,120Rh,7.15484446331729e-17
156,128La,11151.797473229753
157,165Pt,0.0
158,108Te,18552.440961663502
159,284Rg,11189.521846958385
160,37Al,3.107832578946827e-256
161,135Sn,13.82771260676439
162,99Rh,66.95008536165702
163,222Ac,51425.20803501553
164,117Ag,296783.03789291845
165,76Co,5.837217348301854e-123
166,222Rn,5348.909090345462
167,154Pm,2578.099066247037
168,142Eu,35589.79542143176
169,47V,173850.72522663436
170,113Zr,3.6599477448500125e-193
171,223Am,1.5925698755988548e-294
172,123La,37111.12360079529
173,193Rn,0.0
174,163Tb,517.4156349077515
175,181Au,36553.24890491678
176,194Ir,154.59152178337968
177,242Fm,0.0
178,14Be,0.0
179,174Tm,1348.698422482179
180,34Al,5.738631097431967e-49
181,140Ba,54.00222509194683
182,202Bi,7724.6963110011375
183,37Si,9.67805133287772e-15
184,181Ir,8145.745359527333
185,121Cd,324563.67765135446
186,180Lu,1251.6498123209944
187,200Bi,28366.87550444127
188,91Rh,5096.208553034475
189,106Sn,14397.462043580814
190,227Ra,184330.86906905158
191,86Ga,1.6356629392346993e-54
192,89As,2.283187639156829e-06
193,149Ce,255387.37491942378
194,240Pu,0.014837647663930609
195,267Bh,20530.060530907496
196,22O,69493.70138330213
197,153Yb,34099.00925523431
198,207Ac,4.6410555868462583e-91
199,24Si,1.0534089938487268e-14
200,219Rn,17402907.72096014
201,156Lu,1.1938344923930275
202,89Br,1129138.4564982057
203,166Gd,67224.5115998778
204,239Am,68.42384934167744
205,151Pr,544785.8559974069
206,158Er,707.3002085811843
207,58Ti,8.618473871632568e-48
208,237U,2767.235753438116
209,81Cu,2.300231073485805e-33
210,74Rb,5.384776047465053e-40
211,257No,19358.900300872236
212,228Np,10246.582937248011
213,90Br,217181.34723646604
214,23Ne,45579.60276483912
215,98Br,1.946586280891263e-192
216,83Ga,0.013098355422630945
217,40Al,4.368937541129359e-293
218,60V,3.1685977506053546e-17
219,112Rh,453603.49177342217
220,121Te,94.98217838466482
221,147Dy,19615.209561698866
222,137Pr,14346.644943673087
223,13O,0.0
224,290Fl,6813.486774903172
225,180Yb,4786.925099171506
226,97Rb,1.4398254771759154e-10
227,203Po,232143.45237054018
228,29Cl,0.0
229,43K,1205.4871877989083
230,110Te,40539.499044542164
231,192Bi,17013.40360992653
232,211Th,1.4498494113037154e-56
233,246Pu,1081.703112569483
234,80Sr,752.2155250032546
235,155Hf,156.43454688130788
236,236Pu,13.717271572072324
237,29Al,6983.618684759416
238,18Na,0.0
239,93Rb,594695.6791155889
240,49Cr,100611.16510636991
241,122Xe,106.98163359624395
242,85Br,5562.92830250746
243,9B,0.0
244,236U,2133.894736631006
245,31Si,5588.78943171298
246,102Sr,7.4252492612072255e-37
247,215Po,0.0
248,162Os,0.0
249,82Ga,122.58373142320784
250,125Ag,3.066174581307722e-12
251,217Th,0.0
252,151Gd,5.906795556990564
253,176Ir,54459.197387614215
254,155Tm,44334.73326126268
255,133Sm,26986.37277961604
256,148Tb,1320.6154803773268
257,180Ta,3449.241729101199
258,269Db,281.69276543034914
259,75Ge,10651.733272696812
260,256Md,511.46023102874767
261,207Bi,3.2742887352077155
262,166Tm,3431.3363252549925
263,197Tl,3611.2978454694166
264,29S,1.3571859659358677e-09
265,70Mn,7.187230557766829e-144
266,103Rb,2.852037515235072e-108
267,115Ba,0.15029108169773522
268,251Bk,158216.13895527582
269,121Pd,0.001090962045093969
270,69Mn,9.071993968037119e-128
271,134Pm,39912.59317162067
272,255Fm,10732.636704332614
273,119La,624.5714112111157
274,23F,65782.59554169465
275,169Lu,692.1160277472416
276,159Eu,3581.178010016715
277,254Cf,437.74059709670274
278,184Lu,468488.82137804915
279,261Db,21295.946667003656
280,34Mg,8.836375385325907e-60
281,148Gd,0.5981191342558108
282,265Mt,0.0
283,60Fe,901.7226207475762
284,96Nb,223.02157934734896
285,215Bi,2155153.9663925935
286,206Bi,8.175913345793203
287,262Bh,2.517179582805481e-30
288,58Mn,21697.838026358888
289,202Tl,78.919926601608
290,83As,939958.9443315985
291,212Ac,260.55399911834644
292,155Tb,414.39607186002524
293,62Fe,1022897.4901479123
294,9Li,3.0369105358902815e-10
295,63Co,79947.78594281877
296,93Ag,0.0
297,122Ag,3.51707373264579
298,234Ra,4397076.442419684
299,27Mg,5660.10502626556
