,Parent Isotope,Mean Power Density Over 100 years (watts per gram)
2939,241Pu,2.8922067932285365
261,207Bi,2.4512380574051464
1881,228Ra,2.3774865221458263
366,250Cf,1.5716861143080878
1923,210Pb,1.4701294803462372
2320,244Cm,1.3616902365792742
151,227Ac,1.2597627207912816
2576,146Pm,1.237025906997633
1262,232U,0.647314568172586
281,148Gd,0.5380351480914887
2994,238Pu,0.5189325577954358
236,236Pu,0.4592810667215841
2919,252Cf,0.43853185589502675
1160,147Pm,0.41394936201932575
27,209Po,0.3425495368115531
1163,145Pm,0.3342210012340465
422,228Th,0.3199977160865265
397,32Si,0.2963035354967914
2482,241Am,0.2214149391018529
2735,250Cm,0.17001097612235394
2582,3H,0.1198856489978221
2323,90Sr,0.10336819534110213
2036,150Eu,0.08890587976365061
1561,101Rh,0.08402035570165214
3090,60Co,0.07385749473733132
50,193Pt,0.06377315302360197
1732,226Ra,0.06237854779048332
338,251Cf,0.059653421329434506
2065,137Cs,0.058561752013419024
598,157Tb,0.05412365895192669
2151,39Ar,0.04223822438717793
2763,204Tl,0.03761825925322502
2043,252Es,0.03684004734096513
2258,55Fe,0.03638111869668295
452,247Bk,0.033739360740058254
2936,151Sm,0.029803463625994987
1106,42Ar,0.027584797632464596
2098,174Lu,0.025864151521151135
764,172Hf,0.025468426325379063
2245,133Ba,0.02336773337909852
327,194Hg,0.022800068069017757
2981,194Os,0.019390286920410157
3024,22Na,0.01622359706928197
194,240Pu,0.014825530925793185
2333,154Eu,0.013670225115278763
771,158Tb,0.013390119002958473
2120,246Cm,0.011870454170569271
2301,152Eu,0.011700123669713321
755,44Ti,0.007683700443871111
2091,155Eu,0.007485189820618928
656,243Am,0.006170225858414434
3003,245Cm,0.005514657702565052
2248,243Cm,0.0054884849972844305
2716,229Th,0.005266592286984256
1030,63Ni,0.005089323671724454
1593,109Cd,0.004324812210266575
489,208Po,0.00379299604758374
586,125Sb,0.0035560838335689316
678,93Mo,0.0028448092697523045
985,49V,0.002084621130769273
1913,254Es,0.0020498375206168457
801,239Pu,0.0018499543694671283
2929,179Ta,0.001844043166668702
323,57Co,0.0013361449626135542
1664,14C,0.0013107385326885635
2292,231Pa,0.0012994074239919735
1009,230Th,0.0012310175937183191
1858,91Nb,0.0011467664162806914
2681,145Sm,0.0011197313878075126
870,85Kr,0.0011162413112263043
2419,249Cf,0.000664452269951331
2600,106Ru,0.0005420515109186149
2344,173Lu,0.0005099704560096992
1124,242Pu,0.00037105959887352957
2791,235U,0.0003629523261234244
2511,236Np,0.00033312147567951387
2580,171Tm,0.0002981196980054502
45,233U,0.0002594880832937083
620,134Cs,0.00022590118623418173
1323,234U,0.00018467388366345802
1509,163Ho,0.0001614123915722074
2986,94Nb,0.00016113838771692103
2980,144Ce,0.00011271784086397303
1813,137La,0.0001099990523443992
1162,65Zn,9.402848310116794e-05
2573,202Pb,8.715221648750095e-05
1719,235Np,8.355294473478404e-05
2264,81Kr,6.546010754441624e-05
2840,26Al,6.305576466699399e-05
375,249Bk,3.684395888852971e-05
379,248Cf,1.935915887925482e-05
2918,153Gd,1.496911709611523e-05
765,36Cl,9.81548489093183e-06
2739,144Pm,9.041363198836214e-06
789,126Sn,8.921118558126713e-06
2010,143Pm,8.421791192980899e-06
1581,41Ca,7.461167132342691e-06
312,68Ge,6.133666489684956e-06
1099,59Ni,5.378185481365333e-06
2022,79Se,4.577460561164976e-06
2384,195Au,2.9900181752452196e-06
2669,242Cm,2.273021422503917e-06
1832,208Bi,1.2602546523401562e-06
2973,54Mn,1.060843000880679e-06
2734,210Po,1.6859987962529168e-07
36,99Tc,1.6513785232492377e-07
2145,45Ca,1.5473413103487307e-07
14,248Cm,1.3971648654175065e-07
1138,102Rh,5.082967138729404e-08
1848,139Ce,3.753068864119068e-08
859,40K,2.3800840226711976e-08
2668,159Dy,2.1979859200321456e-08
56,238U,1.9938787026179395e-08
568,232Th,6.357543432757976e-09
318,170Tm,2.981997846276262e-09
1797,123Sn,1.401849340435186e-09
531,75Se,1.2697571789452912e-09
252,151Gd,1.1896168808418614e-09
2779,181W,9.987342743428239e-10
2143,147Sm,5.065801849421564e-10
657,88Y,2.846679464342766e-10
2147,113Sn,6.168979339844235e-11
482,87Rb,4.0043239543529757e-11
1798,149Eu,3.352479253384878e-11
2289,176Lu,1.7178488937274703e-11
2229,138La,1.4313232040834962e-11
1899,182Ta,6.176579155151987e-12
488,257Fm,1.1503677898207003e-12
1789,190Pt,9.1979779638356e-13
1329,83Rb,3.9017682718068174e-13
120,185Os,3.083565129477327e-13
2519,35S,3.075940228353623e-13
1528,88Zr,2.338668189198756e-13
2014,187Re,1.7980086979455892e-13
3084,46Sc,1.599142363074616e-13
2195,73As,7.548473483093376e-14
675,168Tm,4.2246294056038313e-14
2179,56Co,1.876743297612147e-14
1443,185W,1.1658078687642077e-15
2457,175Hf,5.543685009525313e-16
3128,160Tb,3.3075449389441117e-16
1236,192Ir,1.381366164506889e-16
2592,183Re,5.043824626028422e-17
277,254Cf,4.174161876685898e-17
40,188W,2.073944908803692e-17
2938,95Zr,1.215367951323562e-17
3014,58Co,3.991537915943447e-18
510,180W,3.587846320744361e-18
709,85Sr,3.522864358624902e-18
