first,second
"(-1, -3)","[5, 10, 33]"
"(-2, -3)","[207, 801, 849, 108, 116, 109, 107, 800]"
"(-1, -2)","[700, 32, 215, 205, 11, 702, 749, 105, 1, 701]"
"(-2, -2)","[115, 101]"
"(-3, -5)","[114, 117, 45]"
"(-3, -7)",[36]
"(0, -1)",[50]
"(-1, -1)","[699, 650, 104, 651, 28, 41, 204, 42, 652, 44]"
"(-3, -4)",[112]
"(0, 0)","[875, 90, 4, 91, 218, 52, 34, 18, 16, 20, 891, 876, 152, 21, 38, 17, 37, 214, 3, 51]"
"(-1, 0)","[603, 111, 203, 103, 217, 600, 649, 601, 604, 602]"
"(0, 1)","[251, 253, 210, 151, 457, 460, 456, 451, 751, 216, 750, 208, 2, 27, 211, 202, 458, 799, 455, 19, 213, 450, 106, 452, 212, 102, 209, 252, 454, 206, 459]"
"(-2, -4)","[30, 23, 25, 29, 24, 22]"
"(-3, -6)","[35, 113]"
