,Beta-decay fraction,Average beta decay energy,Beta-decay energy (keV),Half life (years),Isotope
0,0.0,5.69,4065.0,7.288260197226658e-07,237Ac
2,0.0,5.69,-14187.0,3.168808781402895e-08,130Sm
3,0.0,5.69,-2474.0,6.33761756280579e-07,287Nh
4,1.0,5.69,14464.0,4.309579942707937e-09,134In
5,1.0,5.69,8610.0,1.6794686541435342e-09,154Ba
7,0.0,2.11,-2094.5,0.01456536618754278,155Tb
8,1.0,5.69,2602.0,2.7264430755190507e-06,173Er
9,0.0,5.69,-4261.6599,2.5984232007503735e-07,214Ac
10,1.0,5.69,9597.7522,6.147489035921616e-09,66Co
11,1.0,38.0,2917.709,0.00032226785306867445,88Kr
12,0.0,5.69,*,1.2041473369331e-08,245Md
14,1.0,5.69,8748.5685,8.71422414885796e-09,63Mn
16,1.0,5.69,12523.3972,1.0647197505513727e-08,19N
17,1.0,5.69,2018.6123,1.0076811924861206e-05,158Sm
18,1.0,5.69,6455.6267,2.8677719471696198e-08,109Tc
19,0.0,198.0,-177.7503,2.390866225568484e-06,82Rb
21,0.0,5.69,-5120.7993,7.890333865693208e-06,139Pm
22,1.0,5.69,1104.4191,0.00011921058635637691,229Ac
24,0.0,5.69,-1761.0,7.415012548482774e-05,261Lr
25,0.0,5.69,23321.8152,1.0457068978629552e-28,13Li
26,0.0,5.69,-11962.0,8.555783709787816e-10,94Ag
28,1.0,5.69,12319.3807,1.5273658326361954e-09,61V
29,0.0,5.69,-23373.2693,1.8537531371206933e-29,11N
30,0.0,5.69,*,1.4893401272593607e-10,196Rn
31,0.0,5.69,-4320.5458,5.8306081577813265e-06,202At
32,0.0,5.69,-11996.7167,1.4627221334955763e-08,47Cr
33,0.0,5.69,-4323.1979,1.7428448297715921e-06,172Re
34,1.0,5.69,2712.9729,4.49970846959211e-06,215Pb
35,0.0,5.69,-9801.0,1.267523512561158e-07,149Er
36,0.0,5.69,*,4.119451415823763e-29,18Na
37,1.0,60.2,1149.0844,4.182827591451821e-05,223Fr
38,0.0,5.69,-6363.0084,4.6898369964762845e-07,207Fr
39,1.0,5.69,3074.5667,6.654498440946079e-06,185Hf
40,0.0,5.69,*,1.6097548609526706e-13,250No
42,1.0,5.69,4163.5021,5.989048596851471e-07,151Pr
43,0.0,5.69,-3677.7177,4.563084645220168e-06,174Re
45,1.0,3.21,45.5402,5.75,228Ra
46,0.0,5.69,-2516.0,1.9646614444697947e-07,259Lr
47,0.0,5.69,7980.0,3.168808781402895e-07,210Au
48,0.0,5.69,32740.0,2.4082946738662e-29,21B
49,0.0,5.69,-22601.0,3.197328060435521e-09,36Ca
50,0.0,5.69,-11365.0,2.851927903262605e-07,77Sr
51,1.0,5.69,7845.6026,9.31629781732451e-09,123Ag
52,0.0,5.69,*,3.168808781402895e-09,281Nh
54,0.0,5.69,17097.1315,3.1688087814028945e-29,13Be
55,0.0,5.69,*,1.1407711613050421e-08,244Md
56,1.0,5.69,5265.9197,4.753213172104342e-06,224At
57,0.0,5.69,-3064.0,3.168808781402895e-08,291Mc
58,1.0,5.69,5556.9381,4.975029786802545e-08,72Ni
59,1.0,5.69,4617.6517,6.147489035921615e-07,71Cu
60,0.0,200.1,-3671.2405,0.009103353867214236,87Y
61,0.0,5.69,16344.0,1.4259639516313027e-09,92As
62,1.0,5.69,14054.2989,3.092757370649225e-09,84Ga
63,0.0,5.69,-5289.3667,6.901665525895505e-06,157Tm
64,0.0,5.69,-13250.0,3.707506274241387e-07,90Ru
65,0.0,5.69,22196.2131,4.404644206150023e-30,4H
67,1.0,72.0,2702.7013,2.545820974979086e-05,147Pr
68,0.0,5.69,-3507.0,9.506426344208685e-07,286Cn
69,1.0,14.1,485.8684,0.009308692676249144,166Dy
70,1.0,65.2,1830.774,0.0023859228838694958,28Mg
73,0.0,5.69,-6089.0,3.1688087814028947e-10,267Mt
74,1.0,5.69,15438.0995,3.802570537683474e-10,58Sc
75,1.0,5.69,14438.1586,6.210865211549675e-10,63V
76,0.0,5.69,-1880.3393,2.6744746115040432e-08,224Pa
77,0.0,5.69,-9904.2655,1.4418079955383172e-09,171Pt
78,0.0,5.69,*,3.3589373082870684e-09,156Ta
79,0.0,94.53,-8694.035,0.0019997718457677393,55Co
80,0.0,5.69,-22935.0,4.753213172104343e-10,31Ar
81,0.0,5.69,-10504.1795,3.802570537683474e-06,112Te
82,1.0,123.0,2470.1898,0.01469678302532512,148Pm
83,0.0,5.69,-21910.0,8.143838568205439e-10,35Ca
84,0.0,5.69,-12713.963,1.4576520394453314e-07,148Er
85,0.0,5.69,-2172.9634,1.6807361776560956e-05,188Au
86,0.0,5.69,20335.4399,2.0597257079118816e-29,16Be
87,0.0,5.69,*,1.267523512561158e-06,233Bk
88,0.0,5.69,-4031.455,1.6953126980505486e-06,112Sb
89,1.0,5.69,1631.0,1.787208152711233e-05,238Th
90,0.0,5.69,-5247.9637,4.106776180698152e-05,193Tl
91,0.0,5.69,-2188.0,3.073744517960808e-08,284Nh
92,0.0,5.69,19560.0,3.4856896595431844e-10,78Co
94,0.0,5.69,-5429.0,8.872664587928105e-07,239Cf
95,1.0,5.69,13839.0,7.003067406900398e-10,69Mn
98,0.0,5.69,-6513.9383,6.654498440946079e-06,129Ce
100,0.0,1014.0,-1656.319,4.125789033386569e-05,162Tm
101,1.0,5.69,2713.5412,8.859989352802494e-06,225Rn
102,1.0,5.69,6218.1669,2.018531193753644e-06,140Cs
103,0.0,5.69,-3907.0,3.802570537683474e-06,268Sg
104,0.8270000000000001,5141.6,664.3145,0.0018275154004106775,242Am
105,1.0,19.1,90.8123,0.00161,93Zr
106,1.0,5.69,7203.1495,6.591122265318022e-08,77Zn
107,1.0,5.69,13250.0,7.922021953507237e-10,109Y
108,0.0,5.69,-5430.0,1.505184171166375e-06,98Ag
109,0.0,5.69,-11784.123,3.5395594088270337e-09,52Co
110,0.0,5.69,-17482.0,9.506426344208685e-11,96Cd
112,1.0,5.69,11186.0,5.13347022587269e-09,69Fe
114,0.0,5.69,-9694.4567,6.559434177503992e-07,178Pt
115,0.0,5.69,6637.0,1.901285268841737e-06,228At
116,1.0,5.69,10230.0,1.0507769919132e-08,75Ni
118,1.0,5.69,5411.738,3.3557684995056653e-08,96Sr
119,0.0,5.69,-3061.0,4.563084645220168e-06,238Bk
120,1.0,5.69,5481.3495,7.478388724110832e-08,125In
121,0.0,5.69,-7893.2846,9.126169290440336e-06,160Yb
122,0.0,5.69,-16887.0566,4.8165893477324e-09,50Fe
123,0.0,670.0,-2159.6062,1.2833675564681724e-06,142Pm
124,1.0,5.69,4970.2419,1.0362004715187467e-06,53Ti
126,1.0,5.69,8089.9214,1.1090830734910133e-08,57V
127,0.0,5.69,-6883.1037,4.277891854893908e-08,215Th
128,0.0,5.69,-947.0,6.33761756280579e-07,288Nh
129,1.0,5.69,8692.8893,5.862296245595356e-08,83Ge
130,0.0,409.3,-3365.6321,0.003885466575404974,169Lu
131,1.0,5.69,5129.086,4.5313965574061396e-07,86Se
132,1.0,5.69,4947.8903,4.262047810986893e-07,50Ca
133,1.0,5.69,3993.6241,1.80622100539965e-07,76Zn
134,1.0,47.0,2944.2864,0.0014099931553730322,130I
135,0.0,5.69,-10121.0,1.774532917585621e-07,143Dy
136,0.0,3.67,-2027.1499,0.0021571982660278347,135La
137,0.0,5.69,*,1.267523512561158e-06,230Am
138,0.0,5.69,24283.6294,9.316297817324509e-30,6H
139,1.0,60.0,2634.1851,0.0007506274241387178,135I
140,1.0,5.69,8584.4751,6.0207366846655e-09,119Rh
141,0.0,5.69,-4205.2887,8.210383552614901e-13,218Ra
142,0.0,5.69,-4807.0,4.7532131721043423e-07,269Hs
143,1.0,5.69,18193.5414,2.5984232007503733e-10,26F
144,0.0,5.69,-2300.0,0.0005247547342003194,243Bk
146,1.0,5.69,8049.6228,4.3412680305219664e-08,133Sn
147,0.0,5.69,-4600.0,7.605141075366947e-12,273Ds
148,0.0,5.69,-11960.0,6.781250792202195e-08,87Tc
149,1.0,205.0,1307.5659,1.581869343676325e-05,206Hg
151,0.0,5.69,-4487.0,1.2358354247471289e-08,266Sg
152,0.0,5.69,23461.0,6.33761756280579e-11,58K
153,0.0,5.69,-7767.0,5.672167718711181e-07,139Eu
154,1.0,5.69,8205.7585,4.848277435546429e-08,126In
155,0.0,5.69,-10600.0,6.0207366846655e-07,75Rb
156,0.0,5.69,2500.0,3.4223134839151265e-06,252Bk
158,0.0,1.91,-7457.3187,0.22833675564681727,88Zr
159,0.0,5.69,-13421.0,4.867290288234846e-09,63Ge
160,0.0,5.69,-3434.5345,0.00020647958019621263,163Tm
161,0.0,367.0,-4417.2524,0.00013232945471138488,195Tl
162,0.025,5.69,1488.8543,4.848277435546429e-08,217Po
163,0.0,5.69,-5295.442,1.1090830734910133e-08,210Ac
164,0.0,5.69,-4058.5198,9.791619134534945e-05,167Lu
165,0.0,5.69,4426.0,6.33761756280579e-08,221Bi
166,1.0,5.69,7689.6824,4.480695616903693e-08,148La
167,1.0,5.69,11769.0,2.661799376378432e-09,156La
168,0.0,5.69,3171.0,3.168808781402895e-08,220Pb
169,0.0,5.69,-9500.0,1.679468654143534e-07,121La
170,0.0,5.69,-3860.0,2.218166146982026e-09,293Lv
171,0.0,10.1,-2442.2558,4.810251730169595e-05,235Pu
173,1.0,5.69,10155.0,5.767231982153269e-09,139Sb
174,1.0,5.69,5696.0,3.01036834233275e-07,220Bi
175,0.0,5.69,-6183.0,4.4363322939640523e-08,268Hs
176,0.0,5.69,-7779.3555,1.2358354247471289e-06,189Pb
177,1.0,71.0,2824.6411,2.7777777777777776e-05,101Mo
178,0.0,324.0,-378.4577,0.0023728040155144878,100Rh
179,1.0,5.69,6050.3894,6.0207366846655e-07,135Te
180,0.0,5.69,-5991.7073,3.802570537683474e-05,191Tl
181,0.0,5.69,*,6.33761756280579e-11,266Mt
182,0.0,5.69,*,6.274241387177731e-30,11O
183,0.0,5.69,-15020.0,7.288260197226658e-10,83Mo
184,0.0,5.69,-5410.0,6.33761756280579e-08,227Pu
185,0.0,5.69,-18038.0,3.615610819580703e-09,54Ni
186,0.0,5.69,-8253.5423,1.9012852688417368e-08,106Sb
187,0.0,5.69,*,6.274241387177732e-10,55Zn
188,1.0,5.69,921.2477,7.091794052779678e-05,236Th
189,1.0,195.8,545.9674,28.91,90Sr
190,0.0,5.69,-6676.988,9.443050168580627e-07,177Ir
191,0.0,398.0,-3830.6268,9.126169290440338e-05,155Ho
192,1.0,28.3,1366.1041,6.875579892006995e-05,211Pb
194,0.0,5.69,*,1.5844043907014474e-09,87Ru
195,0.0,5.69,-4613.3046,2.0597257079118817e-12,223U
196,0.0,5.69,-11874.3955,5.62653687225898e-08,35Ar
197,1.0,5.69,12812.6089,3.105432605774837e-09,131Cd
198,0.0,5.69,13949.0,1.267523512561158e-10,58Ca
200,0.0,5.69,*,3.739194362055416e-08,100Sn
201,0.0,5.69,-9209.4466,1.3942758638172737e-06,174Os
202,0.0,5.69,-2677.5501,0.00011407711613050422,148Tb
203,1.0,5.69,2660.0,4.753213172104342e-06,201Pt
204,0.0,5.69,-5673.917,3.6124420107993e-06,187Hg
205,0.0,5.69,-883.5727,3.961010976753619e-15,213At
206,1.0,5.69,10225.687,8.650847973229903e-09,130In
207,0.0,5.69,-8321.2403,1.267523512561158e-07,210Ra
208,1.0,5.69,14289.0,2.3195680279869193e-09,81Cu
209,0.0,5.69,5847.0,9.506426344208684e-08,207Au
210,1.0,5.69,10888.0,3.01036834233275e-09,105Y
212,1.0,5.69,7503.7365,6.4041625472152505e-09,100Sr
213,0.0,5.69,-13540.0,6.400993738433848e-11,168Pt
214,1.0,5.69,10990.3608,3.0420564301467792e-09,55Sc
215,0.0,5.69,-9434.2436,6.33761756280579e-09,175Au
216,0.0,5.69,*,1.4259639516313027e-09,150Lu
217,1.0,5.69,11120.0,4.753213172104343e-10,124Ru
218,1.0,5.69,3396.3337,3.9926990645676475e-06,75Ga
219,1.0,5.69,9084.862,6.134813800796004e-09,111Mo
220,0.0,5.69,-3819.0,1.6160924785154762e-08,287Fl
221,0.0,5.69,5220.5176,4.182827591451821e-07,77Ga
222,0.0,5.69,-6600.6151,0.00026123659593885466,158Er
223,0.0,5.69,-3435.0112,5.545415367455066e-11,221Th
224,1.0,5.69,7623.5438,2.2181661469820265e-08,109Mo
226,1.0,5.69,2610.2694,1.793862651152179e-05,27Mg
227,1.0,5.69,9380.2388,1.863259563464902e-08,140I
229,1.0,5.69,13680.0,8.397343270717671e-10,75Co
230,1.0,5.69,2089.4348,9.506426344208685e-07,234Ra
231,0.0,5.69,*,7.034755494714427e-08,101Sn
232,0.0,5.69,-11960.5706,2.883615991076634e-07,144Dy
233,1.0,5.69,6003.121,5.830608157781327e-08,92Kr
234,0.0,5.69,-16925.0,5.482039191827008e-09,33Ar
235,0.0,5.69,*,1.2992116003751866e-10,202Ra
236,0.0,5.69,-172.0776,7.07e+18,100Mo
237,0.0,5.69,*,2.8202398154485764e-28,12O
238,0.0,5.69,-2899.0,9.823307222348974e-10,275Mt
239,0.0,5.69,-9668.0,1.4893401272593606e-08,104Sb
240,0.0,2.61,-7785.7166,0.00010970416001216822,104Cd
241,0.0,5.69,-12719.0,4.1828275914518214e-08,89Ru
242,1.0,229.0,1340.0,0.0004699977184576774,184Hf
244,0.0,5.69,*,2.2181661469820265e-12,171Hg
245,0.0,178.8,-2132.8689,0.21146064339493498,56Co
246,0.0,5.69,-6742.0,6.65449844094608e-08,228Pu
247,1.0,127.0,1420.0,3.194159251654118e-05,251Cm
248,1.0,5.69,8138.6978,1.5210282150733896e-08,127Cd
249,0.0,5.69,16200.0,4.436332293964053e-10,65V
250,1.0,5.69,7461.7591,1.844246710776485e-08,145Cs
251,0.0,5.69,*,4.436332293964052e-09,283Nh
253,0.0,5.69,-2814.5118,0.00018594569929272187,208At
254,0.0,5.69,-6151.2907,2.3575937333637537e-05,135Nd
255,1.0,5.69,3207.1628,2.1547899713539685e-06,163Gd
256,1.0,27.8,251.9612,4.742,155Eu
257,0.0,5.69,-18219.1277,3.460339189291961e-09,17Ne
258,0.0,5.69,-1507.6936,29.1,243Cm
259,0.0,6154.2,212.3984,1.2548482774355463e-07,219Rn
261,0.0,5.69,14820.0,2.535047025122316e-10,57Ca
262,0.0,5.69,-14839.0,1.9963495322838236e-09,77Y
263,1.0,5.69,10099.0,7.922021953507237e-10,122Ru
264,0.0,5.69,*,1.2992116003751866e-10,180Pb
265,0.0,5.69,-6502.6567,6.0207366846655e-08,182Tl
266,0.0,5.69,-4712.7298,1.7745329175856213e-15,219Pa
267,1.0,5.69,11806.0982,2.915304078890663e-09,18C
268,1.0,5.69,11796.0,3.802570537683474e-10,100Kr
269,1.0,13.96,76.6182,94.6,151Sm
270,1.0,49.47,156.4765,5700.0,14C
271,0.0,5.69,-7205.1069,1.5527163028874184e-06,135Pm
272,0.0,5115.4,-3918.2186,0.0006616472735569244,207Po
273,0.0,5.69,*,4.182827591451821e-10,63Se
274,0.0,5.69,-12311.0,1.5844043907014474e-07,128Nd
275,0.0,5.69,-23648.6215,3.4856896595431844e-29,15F
276,0.0,5.69,6050.0,6.33761756280579e-08,216Hg
277,0.0,5.69,-5924.0,4.879965523360458e-08,246Fm
278,0.0,528.0,-4434.1181,0.00017111567419575633,199Pb
279,1.0,5.69,13369.6698,2.5350470251223157e-09,25F
280,1.0,5.69,2155.6519,1.1027454559282074e-05,197Ir
281,0.0,5.69,-14330.0,4.1194514158237636e-08,116Ba
282,0.0,5.69,-5133.0,1.330899688189216e-07,245Fm
283,1.0,73.9,1141.9038,0.0034029203741729407,193Os
284,0.078,33.8,558.5262,0.047638603696098555,230Pa
285,0.0,5.69,-3952.0,3.1688087814028946e-06,239Bk
286,1.0,5.69,1626.5384,1.1293634496919918e-05,56Cr
287,0.0,3.0,-2278.3688,0.00035249828884325804,184Ir
288,1.0,5.69,3001.1457,7.129819758156514e-06,107Ru
289,1.0,5.69,7238.7734,1.112251882272416e-08,140Te
290,0.0,5.69,14311.0,3.4856896595431844e-10,67Cr
291,0.0,5.69,6610.0,3.168808781402895e-08,198Re
292,0.0,5.69,355.2968,0.0347,92Nb
293,0.0,5.69,-9098.0411,1.6129236697340733e-06,168W
294,0.0,5.69,20689.0,6.33761756280579e-11,57K
295,0.0,5.69,*,8.555783709787816e-11,258Sg
296,0.0,4.53,971.6815,36.9,150Eu
297,0.0,5.69,-4545.3918,3.821583390371891e-06,153Ho
298,1.0,5.69,2028.073,1.9393109742185715e-05,213Pb
299,0.0,5.69,-8374.7035,9.544452049585519e-06,95Rh
300,1.0,5.69,4300.0,1.2136537632773086e-06,204Au
301,0.0,5.69,-2084.0,2.851927903262605e-07,277Mt
302,1.0,5.69,2419.0,1.5210282150733895e-05,179Yb
303,1.0,5.69,10065.7253,1.568560346794433e-08,85Ge
304,0.0,5.69,-8669.0,2.535047025122316e-08,138Tb
305,0.0,5.69,-8335.0,1.0773949856769841e-07,167Re
306,0.0,5.69,-5987.6832,1.0773949856769841e-07,178Au
307,0.0,3.19,-1636.6632,0.16260643394934976,125I
310,1.0,590.0,3901.0,1.996349532283824e-05,186Ta
311,0.0,5.69,-2236.0,2.6617993763784317e-08,290Mc
313,0.0,5.69,-14059.0,2.2181661469820265e-08,150Yb
314,1.0,5.69,3484.7131,4.277891854893908e-06,208Hg
315,0.0001,5.69,726.1153,1.2263289984029203e-05,78Br
316,0.0,5.69,-13088.708,7.1155601186402e-07,21Na
317,0.0,5.69,*,2.661799376378432e-09,262Bh
318,0.0,5.69,-4439.0,1.901285268841737e-12,279Cn
319,0.0,5.69,-3893.0,6.971379319086368e-07,267Bh
320,0.0,5.69,18080.0,3.802570537683474e-10,72Mn
321,0.0,293.0,-3419.2146,2.3956194387405883e-05,157Ho
322,0.0,5.69,*,6.33761756280579e-11,291Ts
323,0.0,5.69,-12580.0,1.6477805663295054e-07,118Ba
324,1.0,5.69,9866.6724,1.7206631683017717e-08,91Br
325,0.0,0.54,-3742.8664,0.0037,53Mn
326,1.0,5.69,6170.1238,1.3911070550358708e-08,160Nd
327,0.0,5.69,-6076.0,2.0914137957259106e-10,256Rf
328,0.0,5.69,-5581.7092,1.235835424747129e-05,183Pt
329,0.0,5.69,*,8.872664587928104e-11,48Ni
330,0.0,4820.0,43.5841,0.0156,247Cm
331,0.0,5.69,-25460.0,1.1724592491190709e-29,5Li
332,1.0,245.0,1454.7073,8.213552361396305e-05,117In
333,1.0,5.69,13184.0,5.1651583136867184e-09,133In
334,1.0,5.69,6489.6562,7.129819758156513e-08,22O
335,0.0,5.69,22200.0,2.8519279032626055e-10,46P
336,1.0,5.69,7482.0816,2.566735112936345e-06,40Cl
338,1.0,5.69,8899.0,6.33761756280579e-09,168Eu
339,0.0,5.95,-837.0348,0.007323750855578372,182Re
340,0.0,5.69,-5058.1894,1.5400410677618067e-05,197Pb
341,0.0,5.69,5140.0,2.2181661469820262e-07,203Ir
342,0.0,5.69,-5763.1395,0.0032603239790098106,160Er
343,0.0,5.69,-20680.0,1.32456207062641e-09,52Ni
344,1.0,5.69,9850.0,3.2004968692169236e-09,155La
345,0.0,5.69,18840.0,3.1688087814028947e-10,66V
346,0.0,5.69,-11227.0,1.0203564276117322e-10,107Te
347,1.0,5.69,6404.6947,3.137120693588866e-07,146La
348,0.0,5.69,9900.0,1.5844043907014474e-09,140Sn
349,1.0,5.69,10270.4677,2.5477222602479276e-09,32Mg
350,1.0,5.69,8445.2283,8.872664587928105e-09,60Mn
351,1.0,5.69,9140.0,4.6898369964762845e-09,138Sn
352,0.0,6465.0,-3728.5741,0.004072553045859001,246Cf
354,1.0,5.69,2292.9057,3.029381195021167e-06,74Zn
355,0.0,399.8,-6141.6014,4.753213172104342e-06,30P
356,0.0,460.0,-2304.8814,0.0012799452429842575,204Bi
357,0.0,5.69,-13267.0,5.3869749283849206e-08,146Er
358,1.0,5.69,8337.0,1.1249271173980277e-08,136Sn
359,1.0,5.69,10987.704,7.034755494714426e-10,60Ti
360,0.0,5.69,-10249.6721,3.431819910259335e-07,182Hg
361,1.0,5.69,1242.232,4.1505057418815115e-05,233Th
362,0.0,5.69,-4999.3061,2.898,208Po
364,0.0,5229.2,-1025.6117,0.05117864476386037,227Th
365,1.0,30.2,764.5378,0.1074469541409993,103Ru
366,0.0,5.69,-10779.0,4.4363322939640523e-08,115Cs
367,1.0,5.69,11708.3636,6.800263644890612e-10,12Be
368,0.0,5.69,-3798.8793,1.59e+18,180W
370,0.0,533.0,-292.7714,0.0008783937942048825,166Tm
371,0.0,4622.0,-3482.2417,124.0,209Po
372,0.92,5.69,288.7717,0.10896646132785762,255Es
374,0.0,5.69,14840.0,1.5844043907014473e-10,64Ti
375,1.0,5.69,9690.0,9.094481202626308e-09,152La
376,1.0,5.69,5925.6639,4.246203767079879e-08,103Nb
378,0.0,5.69,-10056.0,1.2041473369331e-07,123Ce
379,0.0,5.69,-652.7561,0.16563997262149213,254Cf
380,1.0,97.1,431.1764,0.2056125941136208,185W
381,0.0,5.69,-1957.0,3.802570537683474e-06,283Rg
382,1.0,5.69,10920.0,6.65449844094608e-10,118Mo
383,0.0,911.5,-11177.331,5.468381625979162e-07,19Ne
384,1.0,5.69,1859.2451,2.0597257079118815e-06,228Rn
385,0.0,5.69,*,3.1688087814028947e-13,267Ds
387,0.0,5.69,-9688.1182,9.189545466068395e-08,181Tl
388,1.0,5.69,5796.6788,8.017086216949322e-08,165Eu
389,0.0,5.69,-2324.0,9.126169290440336e-06,240Bk
390,1.0,5.69,8343.9631,7.3041042411336724e-09,147Cs
391,0.15,185.8,702.6122,0.0009301848049281314,180Ta
392,0.0,5.69,-9119.0,9.189545466068396e-12,170Au
393,1.0,5.69,6261.6865,5.7101934240880165e-08,143Cs
394,0.0,5.69,-10042.8941,1.394275863817274e-07,109Te
395,1.0,5.69,6027.1455,7.646335589525184e-07,137I
396,1.0,5.69,12264.0,1.7111567419575631e-09,84Zn
397,0.0,5.69,4359.0,6.33761756280579e-07,185Lu
398,0.0,5.69,-10984.0,9.03110502699825e-08,158Hf
399,0.0,5.69,-4176.0,3.2321849570309527e-09,284Cn
400,0.0,5.69,-367.0,0.00014772986538900295,256Md
401,1.0,111.8,2366.626,0.22931416837782342,46Sc
402,0.0,5.69,-3624.0,8.333967095089613e-08,259Rf
403,0.0,5.69,-15439.0,2.886784799858037e-09,22Al
404,1.0,5.69,1912.0559,9.98174766141912e-06,153Pm
405,0.0,5.69,-4848.968,7.85864577787918e-12,217Th
406,0.917,1.41,2004.4299,3.361472355312191e-05,80Br
407,0.0,2460.0,-3878.7573,0.068,146Sm
408,0.0,5.69,*,3.168808781402895e-11,88Rh
409,0.0,5.69,-7340.0,3.1688087814028947e-10,226Pu
410,0.0,5613.17,-3139.0,2.858,236Pu
411,0.0,5.69,-10763.1138,1.9963495322838236e-07,164W
413,0.0,5.69,-6272.7035,1.394275863817274e-07,172Ir
414,1.0,5.69,2765.0,0.0002053388090349076,239Pa
415,1.0,5.69,720.0,0.00016160924785154764,255Cf
416,1.0,5.69,7622.0,3.92932288893959e-08,166Eu
417,0.0,5.69,-9541.167,9.791619134534943e-07,65Ge
