,Beta-decay energy (keV),Half life (years),Isotope,Beta-decay fraction,Average beta decay energy,Half life (seconds),Power density (W/g),Evaluation,Half life (log(years))
28,274.0882,0.06600136892539356,234Th,1.0,21.5,2082844.7999999998,1.475103128933757,5.311851563649096e-10,-2.7180797958769674
45,934.1107,0.037152635181382614,143Pr,1.0,315.1,1172448.0,62.84567737446371,2.2813525060112012e-10,-3.2927205767840313
69,1967.9913,8.592,154Eu,0.99982,34.5,271142899.2,0.02762847403685352,4.2247219165106755e-05,2.150831537766509
105,1710.6608,0.039066392881587954,32P,1.0,694.9,1232841.6,589.0086804258011,3.195569018711397e-09,-3.2424926986823706
206,1815.4592,0.3141409993155373,182Ta,1.0,6.35,9913536.0,0.11768754371092711,1.1161625998807225e-05,-1.1579133514570839
301,764.5378,0.1074469541409993,103Ru,1.0,30.2,3390767.9999999995,2.891534392869142,5.13666487854581e-08,-2.2307580030520318
355,570.2993,0.07385352498288844,233Pa,1.0,41.4,2330640.0000000005,2.5493292218221613,2.2562943408364928e-09,-2.6056715394866106
358,63.4758,22.2,210Pb,1.0,4.16,700578720.0,0.0009455267863812786,3.9391389080915965e-10,3.100092288878234
416,583.4758,0.08899383983572896,141Ce,1.0,130,2808432.0000000005,10.977843562820167,4.3191332610995443e-08,-2.4191881269743765
622,224.0638,2.6234,147Pm,1.0,61.96,82788207.84,0.17024813186030707,0.005781738546493285,0.9644711863989084
767,1544.271,0.16019164955509924,91Y,1.0,1.91,5055264.0,0.13883688754970336,6.02037934547616e-08,-1.8313843708306643
783,96.5468,1.92,171Tm,1.0,7.5,60590592.0,0.0242056482106504,1.2655209130264924e-06,0.6523251860396901
816,156.4765,5700.0,14C,1.0,49.47,179878320000.0,0.0006568973490387716,1.8620444195088201e-09,8.648221453822641
821,318.6462,0.7799753593429158,144Ce,1.0,50.2,24614150.400000002,0.47360157040129136,0.0306065445437161,-0.24849295038349803
834,492.1062,0.12761122518822723,203Hg,1.0,57.7,4027103.9999999995,2.3601720162346496,1.659795884403457e-07,-2.0587669402461595
877,20.7799,14.329,241Pu,1.0,5.23,452188850.40000004,0.0016048024268775453,1.3618148169607794e-09,2.662285455734466
1009,763.7453,3.783,204Tl,0.9708,244.03,119382400.8,0.33506534350040734,0.009314670342862123,1.330517345650892
1229,545.9674,28.91,90Sr,1.0,195.8,912330216.0,0.07973975166904156,0.03379058407006557,3.364187556028255
1293,565.0,268.0,39Ar,1.0,218.8,8457436800.0,0.02218199677930786,0.0024210432709880067,5.5909869805108565
1348,1776.0972,0.05104722792607803,86Rb,1.0,232.5,1610928.0,56.11836982349408,2.5875118743704693e-09,-2.9750040370000246
1388,1502.1757,0.13843394934976044,89Sr,1.0,189,4368643.2,16.25481202102119,2.1924152946939404e-06,-1.9773619671094467
1469,1564.8804,0.1218343600273785,59Fe,1.0,21.94,3844800.0,3.2342052923967404,1.5700947970670557e-07,-2.105092861458614
1472,2822.8058,5.2714,60Co,1.0,95.77,166352732.64,0.3208522268595039,0.29449110107989107,1.6622959819222791
1555,167.3218,0.2392060232717317,35S,1.0,48.63,7548768.000000001,6.154841757879871,6.597718478446934e-05,-1.4304300763208055
1570,2905.073,0.1648186173853525,124Sb,1.0,3.07,5201280.0,0.15917072416645706,8.667888684879545e-08,-1.8029096983160335
1585,1175.6285,30.04,137Cs,1.0,174.32,947990304.0,0.04488275330923971,0.003661995608914402,3.402529826895934
1718,66.9768,101.2,63Ni,1.0,17.425,3193629120.0,0.0028960398759698344,7.034255676304604e-07,4.617098756853365
1888,431.1764,0.2056125941136208,185W,1.0,97.1,6488639.999999999,2.7048959480312624,8.640686780193296e-06,-1.58176149186072
2006,1835.9516,0.1979466119096509,160Tb,1.0,85,6246719.999999999,2.843830079025499,6.70329334201665e-06,-1.61975792146609
2029,123.6,0.8958247775496235,249Bk,1.0,32.4,28270080.0,0.15391302890525696,0.00045034742133155073,-0.1100104459022169
2040,18.59202,12.32,3H,1.0,5.69,388789632.0,0.163129728205091,0.10748648627040529,2.511223958105374
2055,291.0753,0.04876112251882272,253Cf,0.9969,5921,1538783.9999999998,508.5732865601463,1.1915237498659854e-08,-3.020821953329239
2080,687.0,10.728,85Kr,1.0,1.5,338549932.8,0.00174303603217841,1.062338667886926e-09,2.3728571459793772
2233,1452.8946,0.2021081451060917,192Ir,0.9523999999999999,21.1,6378048.0,0.5761693927045236,1.2222481462600363e-08,-1.5989523530289564
2323,227.1872,157.0,32Si,1.0,68.8,4954543200.0,0.014510806569143114,0.00044336990601039116,5.056245805348308
2324,45.5402,5.75,228Ra,1.0,3.21,181456200.0,0.002594508771123933,1.49815332434642e-09,1.749199854809259
2392,76.6182,94.6,151Sm,1.0,13.96,2985348960.0,0.0010355476312780255,1.029111878774591e-08,4.549657476057832
2526,349.0,0.19101984941820668,188W,1.0,14.9,6028127.999999999,0.4396455616764263,7.793466630149249e-07,-1.6553779326796638
2583,1408.2079,0.35373032169746743,123Sn,1.0,90.5,11162879.999999998,2.204062788212464,0.0005402593288492375,-1.0392204592823076
2774,925.6009,0.09580013689253936,95Nb,1.0,43.36,3023222.4,5.048382889547078,3.5816349838018555e-08,-2.345491165065431
2788,96.6,6.0,194Os,1.0,3.6,189345600.0,0.0032771952806153566,4.152520487830185e-09,1.791759469228055
2803,766.7,2.7576,125Sb,1.0,24.9,87023237.76,0.07654394832568423,0.0002610393519354298,1.0143607362205185
2881,251.9612,4.742,155Eu,1.0,27.8,149646139.2,0.04007784337275242,5.8015023703658745e-05,1.5564589876432138
3214,39.4038,1.0179329226557152,106Ru,1.0,10.03,32123520.0,0.09849829178059834,9.753334447415022e-05,0.01777402465653474
3308,248.5079,0.06940451745379878,33P,1.0,76.4,2190240.0,35.346336546974136,1.9030330061326805e-08,-2.6678033205936167
3345,2366.626,0.22931416837782342,46Sc,1.0,111.8,7236604.800000001,11.2306749971763,8.587227525867723e-05,-1.4726623013288689
3386,1036.1061,0.11605749486652978,181Hf,1.0,119.4,3662496.0,6.022895336205198,1.9823980047024296e-07,-2.153669565266263
3404,1126.3312,0.1753100616016427,95Zr,1.0,109.7,5532364.8,6.979574545807198,6.227069156399084e-06,-1.741199092229486
3417,260.091,0.445201916495551,45Ca,1.0,77.2,14049504.0,4.083199013275747,0.0063016858554947935,-0.8092273547931778
3487,2058.8368,2.065,134Cs,1.0,3.55,65166444.0,0.013594282657392296,1.4563484393864941e-07,0.7251302264129961
3488,968.6148,0.3520876112251882,170Tm,0.99869,290.5,11111040.0,5.1427955008314985,0.0010653083542200388,-1.0438752388272898
