Isotope,Beta-decay energy (keV),Half life (years),Beta-decay fraction,Average beta decay energy,Half life (seconds),Power density (W/g),Evaluation,Half life (log(years))
89Sr,1502.1757,0.13843394934976044,1.0,189,4368643.2,16.25481202102119,2.1924152946939404e-06,-1.9773619671094467
46Sc,2366.626,0.22931416837782342,1.0,111.8,7236604.800000001,11.2306749971763,8.587227525867723e-05,-1.4726623013288689
141Ce,583.4758,0.08899383983572896,1.0,130,2808432.0000000005,10.977843562820167,4.3191332610995443e-08,-2.4191881269743765
95Zr,1126.3312,0.1753100616016427,1.0,109.7,5532364.8,6.979574545807198,6.227069156399084e-06,-1.741199092229486
35S,167.3218,0.2392060232717317,1.0,48.63,7548768.000000001,6.154841757879871,6.597718478446934e-05,-1.4304300763208055
181Hf,1036.1061,0.11605749486652978,1.0,119.4,3662496.0,6.022895336205198,1.9823980047024296e-07,-2.153669565266263
170Tm,968.6148,0.3520876112251882,0.99869,290.5,11111040.0,5.1427955008314985,0.0010653083542200388,-1.0438752388272898
95Nb,925.6009,0.09580013689253936,1.0,43.36,3023222.4,5.048382889547078,3.5816349838018555e-08,-2.345491165065431
45Ca,260.091,0.445201916495551,1.0,77.2,14049504.0,4.083199013275747,0.0063016858554947935,-0.8092273547931778
59Fe,1564.8804,0.1218343600273785,1.0,21.94,3844800.0,3.2342052923967404,1.5700947970670557e-07,-2.105092861458614
103Ru,764.5378,0.1074469541409993,1.0,30.2,3390767.9999999995,2.891534392869142,5.13666487854581e-08,-2.2307580030520318
160Tb,1835.9516,0.1979466119096509,1.0,85,6246719.999999999,2.843830079025499,6.70329334201665e-06,-1.61975792146609
185W,431.1764,0.2056125941136208,1.0,97.1,6488639.999999999,2.7048959480312624,8.640686780193296e-06,-1.58176149186072
203Hg,492.1062,0.12761122518822723,1.0,57.7,4027103.9999999995,2.3601720162346496,1.659795884403457e-07,-2.0587669402461595
123Sn,1408.2079,0.35373032169746743,1.0,90.5,11162879.999999998,2.204062788212464,0.0005402593288492375,-1.0392204592823076
192Ir,1452.8946,0.2021081451060917,0.9523999999999999,21.1,6378048.0,0.5761693927045236,1.2222481462600363e-08,-1.5989523530289564
144Ce,318.6462,0.7799753593429158,1.0,50.2,24614150.400000002,0.47360157040129136,0.0306065445437161,-0.24849295038349803
188W,349.0,0.19101984941820668,1.0,14.9,6028127.999999999,0.4396455616764263,7.793466630149249e-07,-1.6553779326796638
204Tl,763.7453,3.783,0.9708,244.03,119382400.8,0.33506534350040734,0.009314670342862123,1.330517345650892
60Co,2822.8058,5.2714,1.0,95.77,166352732.64,0.3208522268595039,0.29449110107989107,1.6622959819222791
147Pm,224.0638,2.6234,1.0,61.96,82788207.84,0.17024813186030707,0.005781738546493285,0.9644711863989084
3H,18.59202,12.32,1.0,5.69,388789632.0,0.163129728205091,0.10748648627040529,2.511223958105374
124Sb,2905.073,0.1648186173853525,1.0,3.07,5201280.0,0.15917072416645706,8.667888684879545e-08,-1.8029096983160335
249Bk,123.6,0.8958247775496235,1.0,32.4,28270080.0,0.15391302890525696,0.00045034742133155073,-0.1100104459022169
91Y,1544.271,0.16019164955509924,1.0,1.91,5055264.0,0.13883688754970336,6.02037934547616e-08,-1.8313843708306643
182Ta,1815.4592,0.3141409993155373,1.0,6.35,9913536.0,0.11768754371092711,1.1161625998807225e-05,-1.1579133514570839
106Ru,39.4038,1.0179329226557152,1.0,10.03,32123520.0,0.09849829178059834,9.753334447415022e-05,0.01777402465653474
90Sr,545.9674,28.91,1.0,195.8,912330216.0,0.07973975166904156,0.03379058407006557,3.364187556028255
125Sb,766.7,2.7576,1.0,24.9,87023237.76,0.07654394832568423,0.0002610393519354298,1.0143607362205185
137Cs,1175.6285,30.04,1.0,174.32,947990304.0,0.04488275330923971,0.003661995608914402,3.402529826895934
155Eu,251.9612,4.742,1.0,27.8,149646139.2,0.04007784337275242,5.8015023703658745e-05,1.5564589876432138
154Eu,1967.9913,8.592,0.99982,34.5,271142899.2,0.02762847403685352,4.2247219165106755e-05,2.150831537766509
171Tm,96.5468,1.92,1.0,7.5,60590592.0,0.0242056482106504,1.2655209130264924e-06,0.6523251860396901
39Ar,565.0,268.0,1.0,218.8,8457436800.0,0.02218199677930786,0.0024210432709880067,5.5909869805108565
32Si,227.1872,157.0,1.0,68.8,4954543200.0,0.014510806569143114,0.00044336990601039116,5.056245805348308
134Cs,2058.8368,2.065,1.0,3.55,65166444.0,0.013594282657392296,1.4563484393864941e-07,0.7251302264129961
194Os,96.6,6.0,1.0,3.6,189345600.0,0.0032771952806153566,4.152520487830185e-09,1.791759469228055
63Ni,66.9768,101.2,1.0,17.425,3193629120.0,0.0028960398759698344,7.034255676304604e-07,4.617098756853365
228Ra,45.5402,5.75,1.0,3.21,181456200.0,0.002594508771123933,1.49815332434642e-09,1.749199854809259
85Kr,687.0,10.728,1.0,1.5,338549932.8,0.00174303603217841,1.062338667886926e-09,2.3728571459793772
241Pu,20.7799,14.329,1.0,5.23,452188850.40000004,0.0016048024268775453,1.3618148169607794e-09,2.662285455734466
151Sm,76.6182,94.6,1.0,13.96,2985348960.0,0.0010355476312780255,1.029111878774591e-08,4.549657476057832
210Pb,63.4758,22.2,1.0,4.16,700578720.0,0.0009455267863812786,3.9391389080915965e-10,3.100092288878234
14C,156.4765,5700.0,1.0,49.47,179878320000.0,0.0006568973490387716,1.8620444195088201e-09,8.648221453822641
