first,second
"(0, -3)","[5, 10, 33]"
"(-1, -3)","[207, 801, 849, 108, 116, 109, 107, 800]"
"(-2, -6)","[35, 113]"
"(0, -2)","[700, 32, 215, 205, 11, 702, 749, 105, 701]"
"(-1, -2)","[115, 1]"
"(-2, -2)",[101]
"(0, -1)","[699, 650, 104, 651, 28, 41, 204, 50, 42, 652, 44]"
"(1, 0)","[875, 90, 4, 91, 218, 52, 34, 18, 16, 891, 876, 152, 17, 37, 214, 3, 51]"
"(0, 0)","[603, 111, 203, 103, 20, 217, 600, 21, 38, 649, 601, 604, 602]"
"(-2, -5)","[114, 117, 45]"
"(-2, -7)",[36]
"(-1, -4)","[30, 25, 29, 24, 22]"
"(1, 1)","[210, 457, 460, 456, 451, 216, 208, 2, 211, 202, 455, 213, 450, 106, 452, 212, 102, 209, 454, 206, 459]"
"(0, 1)","[251, 253, 151, 751, 750, 27, 458, 799, 19, 252]"
"(-2, -4)","[112, 23]"
