first,second
"(1, 2)","[875, 90, 4, 91, 218, 52, 34, 18, 16, 891, 876, 152, 17, 37, 214, 3, 51]"
"(0, 2)","[603, 111, 203, 103, 217, 600, 649, 601, 604, 602]"
"(1, 3)","[210, 457, 460, 456, 451, 216, 208, 2, 211, 202, 455, 213, 450, 106, 452, 212, 102, 209, 454, 206, 459]"
"(-2, -3)","[114, 117, 45]"
"(-1, -2)","[30, 25, 29, 24, 1, 22]"
"(-2, -2)","[112, 101]"
"(0, -1)","[5, 50, 10, 33]"
"(-1, -1)","[207, 801, 849, 108, 116, 109, 107, 800]"
"(0, 0)","[700, 32, 215, 205, 11, 702, 20, 749, 21, 38, 105, 701]"
"(-2, -5)",[36]
"(-1, 0)",[115]
"(0, 1)","[699, 650, 251, 253, 151, 104, 651, 28, 41, 204, 751, 750, 27, 42, 458, 799, 652, 19, 44, 252]"
"(-2, -4)","[35, 23, 113]"
