,Beta-decay energy (keV),Half life (years),Isotope,Beta-decay fraction,Average beta decay energy,Half life (seconds),Power density (W/g),Evaluation,Half life (log(years))
22,2045.0163,20400.0,94Nb,1.0,145.9,643775040000.0,8.062155143706018e-05,2.7249754794190342e-24,9.923290179832307
60,2822.8058,5.2714,60Co,1.0,95.77,166352732.64,0.3208522268595039,0.001813588286523102,1.6622959819222791
133,63.4758,22.2,210Pb,1.0,4.16,700578720.0,0.0009455267863812786,2.2152239761122373e-18,3.100092288878234
186,709.5343,301300.0,36Cl,0.981,50.24,9508304880000.0,4.910820189653162e-06,2.5986144813957485e-32,12.615861725118393
256,2058.8368,2.065,134Cs,1.0,3.55,65166444.0,0.013594282657392296,4.576714092094705e-12,0.7251302264129961
354,687.0,10.728,85Kr,1.0,1.5,338549932.8,0.00174303603217841,6.654413480949447e-17,2.3728571459793772
468,763.7453,3.783,204Tl,0.9708,244.03,119382400.8,0.33506534350040734,9.722419765682342e-05,1.330517345650892
492,150.6016,327000.0,79Se,1.0,55.8,10319335200000.0,2.2887798188256084e-06,1.8253648495074313e-33,12.697715449879391
864,251.9612,4.742,155Eu,1.0,27.8,149646139.2,0.04007784337275242,6.450059838814265e-09,1.5564589876432138
1034,156.4765,5700.0,14C,1.0,49.47,179878320000.0,0.0006568973490387716,6.948832727502836e-19,8.648221453822641
1309,45.5402,5.75,228Ra,1.0,3.21,181456200.0,0.002594508771123933,5.335440634213197e-16,1.749199854809259
1400,227.1872,157.0,32Si,1.0,68.8,4954543200.0,0.014510806569143114,4.720385812101549e-11,5.056245805348308
1468,936.2686,180.0,158Tb,0.166,193.3,5680368000.0,0.007202032695523624,7.429405274701483e-91,5.19295685089021
1492,1967.9913,8.592,154Eu,0.99982,34.5,271142899.2,0.02762847403685352,9.39571391215674e-10,2.150831537766509
1552,1818.8037,13.517,152Eu,0.2792,28.4,426564079.2,0.014646951106069265,1.0038229457069197e-66,2.6039481525016908
1598,96.6,6.0,194Os,1.0,3.6,189345600.0,0.0032771952806153566,2.219696682646003e-15,1.791759469228055
1679,297.5156,211100.0,99Tc,1.0,1.6286,6661809360000.0,8.255822743989921e-08,3.882001686225924e-42,12.260087233836412
1707,96.5468,1.92,171Tm,1.0,7.5,60590592.0,0.0242056482106504,1.31209249153774e-10,0.6523251860396901
2055,224.0638,2.6234,147Pm,1.0,61.96,82788207.84,0.17024813186030707,2.3484611929348868e-05,0.9644711863989084
2086,545.9674,28.91,90Sr,1.0,195.8,912330216.0,0.07973975166904156,8.648274641475627e-07,3.364187556028255
2251,476.5854,153000.0,236Np,0.135,46,4828312800000.0,1.3498511682590422e-06,7.798853691069911e-122,11.938193200374572
2378,18.59202,12.32,3H,1.0,5.69,388789632.0,0.163129728205091,4.732429159312248e-05,2.511223958105374
2507,378.0,230000.0,126Sn,1.0,70,7258248000000.0,2.558983462698208e-06,3.466772394271748e-33,12.345834587905333
2552,1542.0,5.53,146Pm,0.34,43.5,174513528.0,0.05709052955237629,8.323767491145846e-55,1.7101878155342434
2722,76.6182,94.6,151Sm,1.0,13.96,2985348960.0,0.0010355476312780255,5.6104691581290505e-18,4.549657476057832
3180,20.7799,14.329,241Pu,1.0,5.23,452188850.40000004,0.0016048024268775453,4.547618810879495e-17,2.662285455734466
3207,39.4038,1.0179329226557152,106Ru,1.0,10.03,32123520.0,0.09849829178059834,3.105584629059679e-12,0.01777402465653474
3408,766.7,2.7576,125Sb,1.0,24.9,87023237.76,0.07654394832568423,2.040128829095425e-07,1.0143607362205185
3448,66.9768,101.2,63Ni,1.0,17.425,3193629120.0,0.0028960398759698344,2.723932795363717e-15,4.617098756853365
3507,1175.6285,30.04,137Cs,1.0,174.32,947990304.0,0.04488275330923971,2.7814988503199656e-08,3.402529826895934
3545,565.0,268.0,39Ar,1.0,218.8,8457436800.0,0.02218199677930786,6.660277253694948e-10,5.5909869805108565
