Isotope,Beta-decay energy (keV),Half life (years),Beta-decay fraction,Half life (seconds),Power density (W/g),Evaluation,Half life (log(years))
204Tl,763.7453,3.783,0.9708,119382400.8,1.0486603339397684,0.5052895580171788,1.330517345650892
152Eu,1818.8037,13.517,0.2792,426564079.2,0.9380256642759813,1.3217526522481764e-54,2.6039481525016908
79Se,150.6016,327000.0,1.0,10319335200000.0,6.177310085355677e-06,1.0390059705881141e-23,12.697715449879391
99Tc,297.5156,211100.0,1.0,6661809360000.0,1.5081886633745596e-05,1.1414749413982591e-21,12.260087233836412
151Sm,76.6182,94.6,1.0,2985348960.0,0.0056835097079359605,3.101246887929364e-11,4.549657476057832
227Ac,44.7559,21.772,0.9862000000000001,687072067.1999999,0.009595749447571371,1.976153637283397e-11,3.0806247405719533
106Ru,39.4038,1.0179329226557152,1.0,32123520.0,0.38695981950791036,0.0034480533125059816,0.01777402465653474
228Ra,45.5402,5.75,1.0,181456200.0,0.03680823935786235,3.429035912246349e-08,1.749199854809259
39Ar,565.0,268.0,1.0,8457436800.0,0.05727983629026023,0.0001549575707517575,5.5909869805108565
236Np,476.5854,153000.0,0.135,4828312800000.0,1.398520345576528e-05,4.835336788778245e-109,11.938193200374572
155Eu,251.9612,4.742,1.0,149646139.2,0.36323962264786863,0.023719286424109753,1.5564589876432138
32Si,227.1872,157.0,1.0,4954543200.0,0.04791670805501788,2.381065383611e-05,5.056245805348308
3H,18.59202,12.32,1.0,388789632.0,0.533024810084994,0.9917463398137858,2.511223958105374
137Cs,1175.6285,30.04,1.0,947990304.0,0.3026930010831317,0.12663803641810456,3.402529826895934
14C,156.4765,5700.0,1.0,179878320000.0,0.0020778046904561414,3.462905318558361e-11,8.648221453822641
154Eu,1967.9913,8.592,0.99982,271142899.2,1.5760172909218435,379.0436853027438,2.150831537766509
158Tb,936.2686,180.0,0.166,5680368000.0,0.03488379239002653,4.461282455770378e-84,5.19295685089021
85Kr,687.0,10.728,1.0,338549932.8,0.7983105027377118,9.095136160209531,2.3728571459793772
94Nb,2045.0163,20400.0,1.0,643775040000.0,0.001130036921316494,6.067377975895349e-12,9.923290179832307
147Pm,224.0638,2.6234,1.0,82788207.84,0.615662417164646,0.23139428571894768,0.9644711863989084
210Pb,63.4758,22.2,1.0,700578720.0,0.014427420477639605,9.43325548743487e-10,3.100092288878234
171Tm,96.5468,1.92,1.0,60590592.0,0.3115970502218696,0.002435072349801778,0.6523251860396901
90Sr,545.9674,28.91,1.0,912330216.0,0.22234578598259588,0.018782160818315154,3.364187556028255
36Cl,709.5343,301300.0,0.981,9508304880000.0,6.93550032979981e-05,2.703125539477023e-18,12.615861725118393
42Ar,599.3527,32.9,1.0,1038245040.0,0.4596106756112383,1.7788301965099573,3.493472657771326
125Sb,766.7,2.7576,1.0,87023237.76,2.356877316518157,274.53943844518983,1.0143607362205185
63Ni,66.9768,101.2,1.0,3193629120.0,0.011131562901856896,1.936901953822112e-09,4.617098756853365
126Sn,378.0,230000.0,1.0,7258248000000.0,1.3818510698570325e-05,7.679964078392588e-22,12.345834587905333
241Pu,20.7799,14.329,1.0,452188850.40000004,0.006376220640587515,3.645052979264553e-12,2.662285455734466
146Pm,1542.0,5.53,0.34,174513528.0,2.0237608406842353,1.2558406314463167e-44,1.7101878155342434
60Co,2822.8058,5.2714,1.0,166352732.64,9.457069300636142,123893.24591024558,1.6622959819222791
194Os,96.6,6.0,1.0,189345600.0,0.08793807336317873,6.7965505931242454e-06,1.791759469228055
134Cs,2058.8368,2.065,1.0,65166444.0,7.884058987222832,4315.287773405992,0.7251302264129961
