first,second
875,"(z,2n0)"
35,"(z,nd2α)"
114,"(z,d2α)"
30,"(z,2n2α)"
700,"(z,t0)"
699,"(z,dc)"
32,"(z,nd)"
650,"(z,d0)"
117,"(z,dα)"
45,"(z,npα)"
215,"(z,Xκ0 short)"
251,"(n,...)"
253,"(n,...)"
115,"(z,pd)"
112,"(z,pα)"
210,"(z,Xπ−)"
151,"(n,RES)"
90,"(z,n40)"
457,"(z,...)"
460,"(z,...)"
4,"(z,n)"
207,"(z,Xα)"
104,"(z,d)"
91,"(z,nc)"
205,"(z,Xt)"
603,"(z,p3)"
651,"(z,d1)"
218,"(z,Xn−)"
456,"(z,...)"
52,"(z,n2)"
28,"(z,np)"
23,"(n,n3α)"
111,"(z,2p)"
41,"(z,2np)"
11,"(z,2nd)"
36,"(z,nt2α)"
451,"(z,...)"
204,"(z,Xd)"
751,"(n,3He1)"
801,"(z,α1)"
849,"(z,αc)"
216,"(z,Xκ−)"
25,"(z,3nα)"
203,"(z,Xp)"
750,"(n,3He0)"
108,"(z,2α)"
103,"(z,p)"
702,"(z,t2)"
34,"(z,n3He)"
50,"(y,n0)"
208,"(z,Xπ+)"
2,"(z,z0)"
10,"(z,contin.)"
27,"(n,abs)"
211,"(z,Xμ+)"
42,"(z,3np)"
116,"(z,pt)"
202,"(z,Xγ)"
458,"(n,...)"
799,"(n,3Hec)"
16,"(z,2n)"
20,"(n,nf)"
652,"(z,d2)"
455,"(z,...)"
19,"(n,f)"
213,"(z,Xκ+)"
450,"(z,...)"
44,"(z,n2p)"
217,"(z,Xp−)"
749,"(z,tc)"
106,"(z,3He)"
109,"(z,3α)"
452,"(z,...)"
29,"(z,n2α)"
891,"(z,2nc)"
876,"(z,2n1)"
107,"(z,α)"
212,"(z,Xμ−)"
600,"(z,p0)"
102,"(z,γ)"
152,"(z,5n)"
21,"(n,2nf)"
38,"(n,3nf)"
209,"(z,Xπ0)"
649,"(z,pc)"
105,"(z,t)"
24,"(z,2nα)"
17,"(z,3n)"
37,"(z,4n)"
252,"(n,...)"
454,"(z,...)"
22,"(z,nα)"
206,"(z,X3He)"
601,"(z,p1)"
604,"(z,p4)"
214,"(z,Xκ0 long )"
800,"(z,α0)"
459,"(z,...)"
51,"(z,n1)"
33,"(z,nt)"
602,"(z,p2)"
701,"(z,t1)"
113,"(z,t2α)"
