,AAA,ZZZi,A El,s,Mass #,dMass #,Exc #,dE #,Orig,Isom.Unc,Isom.Inv,T #,unit T,dT,Jpi */#/T=,Ensdf year,Discovery,BR,T in s
0,01,000,1n,, 8071.3181  ,  0.0004  ,           ,          , ,,,609.8   , s,0.6    ,1/2+*         ,06,1932,B-=100,1.932339594899485e-05
1,01,010,1H,, 7288.971064,  0.000013,           ,          , ,,,stbl    ,  ,       ,1/2+*         ,06,1920,IS=99.9855 78,unknown
2,02,010,2H,,13135.722895,  0.000015,           ,          , ,,,stbl    ,  ,       ,1+*           ,03,1932,IS=0.0145 78,unknown
3,03,010,3H,,14949.81090 ,  0.00008 ,           ,          , ,,, 12.32  , y,0.02   ,1/2+*         ,00,1934,B-=100,12.32
4,03,020,3He,,14931.21888 ,  0.00006 ,           ,          , ,,,stbl    ,  ,       ,1/2+*         ,98,1934,IS=0.0002 2,unknown
5,03,030,3Li,,28670#      ,000#      ,           ,          , ,,,p-unst  ,  ,       ,3/2-#         ,98,    ,p ?,unknown
6,04,010,4H,,24620       ,100       ,           ,          , ,,,139     ,ys,10     ,2-            ,98,1981,n=100,4.404644206150023e-30
7,04,020,4He,, 2424.91587 ,  0.00015 ,           ,          , ,,,stbl    ,  ,       ,0+            ,98,1908,IS=99.9998 2,unknown
8,04,030,4Li,,25320       ,210       ,           ,          , ,,, 91     ,ys,9      ,2-            ,98,1965,p=100,2.883615991076634e-30
9,05,010,5H,,32890       , 90       ,           ,          , ,,, 86     ,ys,6      ,(1/2+)        ,19,1987,2n=100,2.7251755520064893e-30
10,05,020,5He,,11231       , 20       ,           ,          , ,,,602     ,ys,22     ,3/2-          ,02,1937,n=100,1.9076228864045426e-29
11,05,030,5Li,,11680       , 50       ,           ,          , ,,,370     ,ys,30     ,3/2-          ,02,1941,p=100,1.1724592491190709e-29
12,05,040,5Be,,37140#      ,000#      ,           ,          , ,,,p-unst  ,  ,       ,1/2+#         ,18,    ,p ?,unknown
13,06,010,6H,,41880       ,250       ,           ,          , ,,,294     ,ys,67     ,2-#           ,19,1984,n ?;3n ?,9.316297817324509e-30
14,06,020,6He,,17592.10    ,  0.05    ,           ,          , ,,,806.92  ,ms,0.24   ,0+            ,02,1936,B-=100;B-d=0.000278 18,2.5569751818896237e-08
15,06,030,6Li,,14086.8804  ,  0.0014  ,           ,          , ,,,stbl    ,  ,       ,1+*           ,02,1921,IS=4.85 171,unknown
16,06,038,6Li,,17649.76    ,  0.10    ,3562.88    ,  0.10    , ,,, 56     ,as,14     ,0+      T=1   ,02,1981,IT=100,1.7745329175856214e-24
17,06,040,6Be,,18375       ,  5       ,           ,          , ,,,  5.0   ,zs,0.3    ,0+            ,02,1958,2p=100,1.5844043907014474e-28
18,06,050,6B,,47320#      ,000#      ,           ,          , ,,,p-unst  ,  ,       ,2-#           ,  ,    ,2p ?,unknown
19,07,010,7H,,49140#      ,000#      ,           ,          , ,,,652     ,ys,558    ,1/2+#         ,17,2003,2n ?,2.0660633254746872e-29
20,07,020,7He,,26073       ,  8       ,           ,          , ,,,  2.51  ,zs,0.07   ,(3/2)-        ,03,1967,n=100,7.953710041321265e-29
21,07,030,7Li,,14907.105   ,  0.004   ,           ,          , ,,,stbl    ,  ,       ,3/2-*         ,03,1921,IS=95.15 171,unknown
22,07,038,7Li,,26150       , 30       ,1250       , 30       ,Q,,,        ,  ,       ,3/2-    T=3/2 ,03,    ,,unknown
23,07,040,7Be,,15769.00    ,  0.07    ,           ,          , ,,, 53.22  , d,0.06   ,3/2-          ,03,1938,EC=100,0.14570841889117042
24,07,048,7Be,,26750       , 30       ,0980       , 30       ,Q,,,        ,  ,       ,3/2-    T=3/2 ,03,    ,p ?;3He ?;A ?,unknown
25,07,050,7B,,27677       , 25       ,           ,          , ,,,570     ,ys,14     ,(3/2-)        ,14,1967,p=100,1.80622100539965e-29
26,08,020,8He,,31609.68    ,  0.09    ,           ,          , ,,,119.5   ,ms,1.5    ,0+            ,05,1965,B-=100;B-n=16 1;B-t=0.9 1,3.786726493776459e-09
27,08,030,8Li,,20945.80    ,  0.05    ,           ,          , ,,,838.7   ,ms,0.3    ,2+            ,05,1935,B-=100;B-A=100,2.657679924962608e-08
28,08,038,8Li,,31768       ,  5       ,0822       ,  5       ,Q,,,        ,  ,       ,0+      T=2   ,05,    ,,unknown
29,08,040,8Be,, 4941.67    ,  0.04    ,           ,          , ,,, 81.9   ,as,3.7    ,0+            ,05,1932,A=100,2.595254391968971e-24
30,08,048,8Be,,21568       ,  3       ,6626       ,  3       , ,,,        ,  ,       ,2+  frg T=1   ,  ,2004,A~100,unknown
31,08,049,8Be,,32436.0     ,  2.0     ,7494.3     ,  2.0     ,Q,,,        ,  ,       ,0+      T=2   ,05,    ,n=39.4;d=27.0;3H=11.7;A=7.9;p=6.9;3He=6.6;IT=0.60,unknown
32,08,050,8B,,22921.6     ,  1.0     ,           ,          , ,,,771.9   ,ms,0.9    ,2+            ,05,1950,B+=100;B+A=100,2.4460034983648945e-08
33,08,058,8B,,33546       ,  8       ,0624       ,  8       ,Q,,,        ,  ,       ,0+      T=2   ,05,1975,,unknown
34,08,060,8C,,35064       , 18       ,           ,          , ,,,  3.5   ,zs,1.4    ,0+            ,18,1974,2p=100,1.109083073491013e-28
35,09,020,9He,,40940       , 50       ,           ,          , ,,,  2.5   ,zs,2.3    ,1/2(+)        ,06,1987,n=100,7.922021953507237e-29
36,09,030,9Li,,24954.91    ,  0.19    ,           ,          , ,,,178.2   ,ms,0.4    ,3/2-          ,06,1951,B-=100;B-n=50.5 10,5.646817248459958e-09
37,09,040,9Be,,11348.45    ,  0.08    ,           ,          , ,,,stbl    ,  ,       ,3/2-*         ,06,1921,IS=100,unknown
38,09,048,9Be,,25738.8     ,  1.7     ,4390.3     ,  1.7     ,Q,,,  1.25  ,as,0.10   ,3/2-    T=3/2 ,06,1976,,3.961010976753619e-26
39,09,050,9B,,12416.5     ,  0.9     ,           ,          , ,,,800     ,zs,300    ,3/2-          ,06,1940,p=100,2.5350470251223155e-26
40,09,058,9B,,27071.0     ,  2.3     ,4654.5     ,  2.5     ,Q,,,        ,  ,       ,3/2-    T=3/2 ,06,    ,,unknown
41,09,060,9C,,28911.0     ,  2.1     ,           ,          , ,,,126.5   ,ms,0.9    ,3/2-          ,06,1964,B+=100;B+p=7.5 6;B+A=38.4 16,4.008543108474662e-09
42,10,020,10He,,49200       , 90       ,           ,          , ,,,260     ,ys,40     ,0+            ,07,1994,2n=100,8.238902831647525e-30
43,10,030,10Li,,33053       , 13       ,           ,          , ,,,  2.0   ,zs,0.5    ,"(1-,2-)       ",07,1975,n=100,6.337617562805789e-29
44,10,031,10Li,,33250       , 40       , 200       , 40       ,Q,,,  3.7   ,zs,1.5    ,1+            ,07,1994,IT=100,1.1724592491190711e-28
45,10,032,10Li,,33530       , 40       , 480       , 40       ,Q,,,  1.35  ,zs,0.24   ,(2+)          ,07,1993,IT=100,4.277891854893908e-29
46,10,040,10Be,,12607.49    ,  0.08    ,           ,          , ,,,  1.387 ,My,0.012  ,0+            ,07,1935,B-=100,0.001387
47,10,048,10Be,,33787       , 21       ,1179       , 21       ,Q,,,        ,  ,       ,(2-)    T=2   ,07,    ,n ?;p ?;3H ?,unknown
48,10,050,10B,,12050.611   ,  0.015   ,           ,          , ,,,stbl    ,  ,       ,3+*           ,07,1920,IS=19.65 44,unknown
