,Beta-decay energy (keV),Half life (years),Isotope,Beta-decay fraction,Average beta decay energy,Half life (seconds),Power density (W/g),Evaluation,Half life (log(years))
0,*,4.753213172104343e-12,169Au,0.0,unknown,0.00015000000000000001,unknown,0.0,-26.072200269290974
1,736.032,1.0330316627373438e-09,217At,8e-05,6483,0.0326,1441277446.8785045,0.0,-20.69076799603243
2,6771.0748,2.715669125662281e-07,91Kr,1.0,unknown,8.57,unknown,0.0,-15.119057272813267
3,-4356.1019,unknown,72Ge,0.0,unknown,unknown,unknown,0.0,0.0
4,12688.9049,1.6097548609526707e-08,70Co,1.0,unknown,0.508,unknown,0.0,-17.94459883682661
5,-2208.6274,unknown,50Ti,0.0,unknown,unknown,unknown,0.0,0.0
6,-8882.5343,1.6160924785154763e-05,134Nd,0.0,unknown,509.99999999999994,unknown,0.0,-11.032914279704585
7,*,2.5350470251223157e-09,94Cd,0.0,unknown,0.07999999999999999,unknown,0.0,-19.79305364973121
8,6145.7062,1.5210282150733894e-07,158Pm,1.0,unknown,4.8,unknown,0.0,-15.69870908750911
9,-2519.3805,unknown,172Yb,0.0,unknown,unknown,unknown,0.0,0.0
10,7079.0,1.9012852688417368e-08,215Hg,0.0,unknown,0.6,unknown,0.0,-17.778150629188946
11,-416.7716,7.91e+20,130Te,0.0,unknown,2.49620616e+28,unknown,0.0,48.11982964166047
12,558.5262,0.047638603696098555,230Pa,0.078,33.8,1503359.9999999998,3.268756259045823,1.4044781796085495e-121,-3.0441118444103257
13,11509.4607,4.360280883210383e-07,11Be,1.0,unknown,13.759999999999998,unknown,0.0,-14.645559172917759
14,-580.5356,unknown,137Ba,0.0,3.67,unknown,unknown,0.0,0.0
15,-2814.5118,0.00018594569929272187,208At,0.0,unknown,5868.0,unknown,0.0,-8.590055866160084
16,-3697.0,1.4893401272593605e-07,261Db,0.0,unknown,4.699999999999999,unknown,0.0,-15.719762496706943
17,-3498.5554,5.2887418561614316e-11,215Ra,0.0,unknown,0.001669,unknown,0.0,-23.662855639725397
18,2385.0,2.88995360863944e-05,175Tm,1.0,72,912.0,15079.652925093127,7.33699656630212e-33,-10.451685015348625
19,11650.0,1.3625877760032448e-09,112Zr,1.0,unknown,0.043,unknown,0.0,-20.41388016871153
20,-5242.6308,3.3272492204730397e-09,216Pa,0.0,unknown,0.105,unknown,0.0,-19.52111993424757
21,5410.0,6.971379319086369e-09,208Pt,0.0,unknown,0.22,unknown,0.0,-18.78145273805273
22,-2273.0239,0.23600273785078713,83Rb,0.0,1.5,7447680.0,0.08114259682363971,0.0,-1.4439118729611615
23,-3878.0,unknown,110Cd,0.0,unknown,unknown,unknown,0.0,0.0
24,-9864.2673,6.084112860293558e-07,172Os,0.0,unknown,19.2,unknown,0.0,-14.31241472638922
25,-3063.619,3.327249220473039e-05,167Yb,0.0,302.3,1049.9999999999998,57629.626062770636,0.0,-10.310779562271387
26,-6650.4226,1.901285268841737e-09,188Bi,0.0,unknown,0.06,unknown,0.0,-20.080735722182993
27,14840.0,1.5844043907014473e-10,64Ti,0.0,unknown,0.004999999999999999,unknown,0.0,-22.56564237197099
28,274.0882,0.06600136892539356,234Th,1.0,21.5,2082844.7999999998,1.475103128933757,5.311851563649096e-10,-2.7180797958769674
29,21390.0,1.901285268841737e-10,41Al,0.0,unknown,0.006,unknown,0.0,-22.383320815177036
30,-18114.0,7.114926356883919e-08,26Si,0.0,unknown,2.2452999999999994,unknown,0.0,-16.458485862866937
31,3634.7623,4.7532131721043423e-07,99Nb,1.0,unknown,15.0,unknown,0.0,-14.559274804320745
32,-712.0,1.901285268841737e-06,275Bh,0.0,unknown,60.0,unknown,0.0,-13.172980443200855
33,4546.9906,5.513727279641037e-06,207Hg,1.0,unknown,173.99999999999997,unknown,0.0,-12.108269706208427
34,11719.3136,9.823307222348974e-09,83Ga,1.0,unknown,0.31,unknown,0.0,-18.438507986925902
35,9771.7071,7.760412705655689e-08,15C,1.0,unknown,2.449,unknown,0.0,-16.371645227452927
36,21750.3873,7.922021953507237e-11,29F,1.0,unknown,0.0024999999999999996,unknown,0.0,-23.25878955253094
37,-3544.171,0.04082135523613963,205Bi,0.0,460,1288224.0,58.246419301291894,0.0,-3.1985499218541618
38,-5749.2803,0.024093086926762493,206Po,0.0,unknown,760320.0,unknown,0.0,-3.725830329146648
39,6261.6865,5.7101934240880165e-08,143Cs,1.0,unknown,1.8019999999999998,unknown,0.0,-16.67842784623681
40,-6399.9479,5.386974928384921e-06,205Rn,0.0,unknown,170.0,unknown,0.0,-12.131526568372694
41,3200.0,1.6794686541435342e-06,171Ho,1.0,unknown,52.99999999999999,unknown,0.0,-13.297033091870833
42,3435.9426,2.9336831698228e-06,53V,1.0,unknown,92.58,unknown,0.0,-12.739251869819832
43,*,unknown,26S,0.0,unknown,unknown,unknown,0.0,0.0
44,-6363.0084,4.6898369964762845e-07,207Fr,0.0,unknown,14.799999999999999,unknown,0.0,-14.572697824652886
45,934.1107,0.037152635181382614,143Pr,1.0,315.1,1172448.0,62.84567737446371,2.2813525060112012e-10,-3.2927205767840313
46,2660.0,4.753213172104342e-06,201Pt,1.0,unknown,150.0,unknown,0.0,-12.2566897113267
47,-73.1143,0.0813,244Pu,0.0,9.89,2565632.88,0.5282854606138414,0.0,-2.509609262428372
48,-7027.0566,7.186858316221765e-06,77Rb,0.0,556,226.79999999999995,1063002.5423659282,0.0,-11.843256433569358
49,-6061.793,4.837820366567799e-08,34Cl,0.0,2052.57,1.5266999999999997,1062814183.4744937,0.0,-16.844216462142196
50,-656.0967,1.8791036073719167e-11,217Rn,0.0,unknown,0.000593,unknown,0.0,-24.697641164389506
51,-6494.6267,5.3869749283849206e-08,160Ta,0.0,unknown,1.6999999999999997,unknown,0.0,-16.736696754360786
52,593.7166,0.01902258726899384,161Tb,1.0,10.6,600307.2000000001,3.667439435885845,6.288102784112159e-14,-3.96212820225195
53,23940.0,1.267523512561158e-10,43Al,0.0,unknown,0.004,unknown,0.0,-22.788785923285204
54,-3037.6667,unknown,166Er,0.0,unknown,unknown,unknown,0.0,0.0
55,3695.4973,0.00029419347478895733,56Mn,1.0,73.6,9284.039999999999,4733.619405390361,2.656180740811213e-25,-8.131272929550189
56,-6147.4775,0.095854893908282,37Ar,0.0,2.38,3024950.4,0.7110721834304125,0.0,-2.344919752804519
57,-581.2819,unknown,186W,0.0,unknown,unknown,unknown,0.0,0.0
58,-5883.0463,3.263873044844982e-10,262Sg,0.0,unknown,0.0103,unknown,0.0,-21.842936389169502
59,*,1.901285268841737e-10,211Pa,0.0,unknown,0.006,unknown,0.0,-22.383320815177036
60,*,3.168808781402895e-12,226Am,0.0,unknown,0.0001,unknown,0.0,-26.477665377399138
61,-8797.4201,2.832915050574188e-06,158Yb,0.0,unknown,89.4,unknown,0.0,-12.774204323243488
62,282.2749,49700000000.0,87Rb,1.0,81.7,1.56841272e+18,0.0,0.0,24.629270770048993
63,*,3.1688087814028947e-10,292Ts,0.0,unknown,0.009999999999999998,unknown,0.0,-21.872495191411048
64,904.363,0.00012196744999619743,249Cm,1.0,65,3849.0,2267.6903839850424,1.1105428249240631e-28,-9.01175635213921
65,11563.897,6.385149694526833e-09,96Rb,1.0,unknown,0.20149999999999998,unknown,0.0,-18.869290903018356
66,-5888.3439,1.1946409105888913e-08,196At,0.0,unknown,0.377,unknown,0.0,-18.242835096957084
67,6918.0432,3.168808781402895e-07,51Ca,1.0,unknown,10.0,unknown,0.0,-14.96473991242891
68,5556.9381,4.975029786802545e-08,72Ni,1.0,unknown,1.57,unknown,0.0,-16.81624938606274
69,1967.9913,8.592,154Eu,0.99982,34.5,271142899.2,0.02762847403685352,4.2247219165106755e-05,2.150831537766509
70,*,5.640479630897153e-10,131Eu,0.0,unknown,0.0178,unknown,0.0,-21.295881827107053
71,4293.475,4.879965523360458e-07,192Re,1.0,unknown,15.4,unknown,0.0,-14.532957496003373
72,-8957.0,5.70385580652521e-07,115Xe,0.0,unknown,17.999999999999996,unknown,0.0,-14.37695324752679
73,2308.4632,0.00015767358734504526,139Ba,1.0,277,4975.8,13391.479732949421,5.115642159071755e-27,-8.754983564737742
74,-2159.6062,1.2833675564681724e-06,142Pm,0.0,670,40.5,3862576.3784458325,0.0,-13.566023031310463
75,-4373.7764,9.221233553882424e-08,116I,0.0,unknown,2.9099999999999997,unknown,0.0,-16.199171924239554
