,Isotope,Residuals (W/g),Power density (W/g),Half life (years),Half life (log(years))
0,217At,0.9777766712120759,1441277446.8785045,1.0330316627373438e-09,-20.69076799603243
1,230Pa,-9798827.679239314,3.268756259045823,0.047638603696098555,-3.0441118444103257
2,175Tm,-2123.053035948973,15079.652925093127,2.88995360863944e-05,-10.451685015348625
3,83Rb,-394736966.1458682,0.08114259682363971,0.23600273785078713,-1.4439118729611615
4,167Yb,-554.7902204972414,57629.626062770636,3.327249220473039e-05,-10.310779562271387
5,234Th,-21713723.246335067,1.475103128933757,0.06600136892539356,-2.7180797958769674
6,205Bi,-549903.7488379017,58.246419301291894,0.04082135523613963,-3.1985499218541618
7,143Pr,-509659.86952545756,62.84567737446371,0.037152635181382614,-3.2927205767840313
8,244Pu,-60630065.44049996,0.5282854606138414,0.0813,-2.509609262428372
9,77Rb,-29.131614271882775,1063002.5423659282,7.186858316221765e-06,-11.843256433569358
10,34Cl,0.9698630456060623,1062814183.4744937,4.837820366567799e-08,-16.844216462142196
11,161Tb,-8733608.139712052,3.667439435885845,0.01902258726899384,-3.96212820225195
12,56Mn,-6765.488776036143,4733.619405390361,0.00029419347478895733,-8.131272929550189
13,37Ar,-45044627.833657466,0.7110721834304125,0.095854893908282,-2.344919752804519
14,87Rb,-inf,0.0,49700000000.0,24.629270770048993
15,249Cm,-14123.495479102448,2267.6903839850424,0.00012196744999619743,-9.01175635213921
16,154Eu,-1159310590.3244035,0.02762847403685352,8.592,2.150831537766509
17,139Ba,-2390.8180227530643,13391.479732949421,0.00015767358734504526,-8.754983564737742
18,142Pm,-7.292388146765563,3862576.3784458325,1.2833675564681724e-06,-13.566023031310463
19,55Co,-35169.59953180221,910.7033432181806,0.0019997718457677393,-6.2147221820456116
20,105Ru,-29708.068593066084,1078.121398396053,0.0005063883185033082,-7.588206755126857
21,166Ho,-1871661.0926867365,17.113122449694522,0.0030586356376910793,-5.789786332483043
22,49Sc,-2332.9212579181058,13723.677466810548,0.00010871549167237052,-9.12677625630669
23,195Pb,-279.2805987631595,114278.27226695268,2.8519279032626055e-05,-10.464930242098646
24,41Ar,-877.239739511521,36470.65958825314,0.0002083998783177428,-8.476051831973223
25,191Pt,-7115256.774645619,4.501591311383369,0.007748117727583847,-4.860305338975663
26,141Ba,-999.6551432627678,32009.01208798357,3.4736481861738533e-05,-10.26772007281094
27,100Pd,-12569640.303059787,2.5482017986304686,0.009938398357289527,-4.611349402354049
28,32P,-54378.47460032324,589.0086804258011,0.039066392881587954,-3.2424926986823706
29,140Ba,-1086496.9858755795,29.480020205260086,0.03491690622861054,-3.354784147908943
30,180Ta,-27238.872399277883,1175.8492149709775,0.0009301848049281314,-6.980127276581693
31,149Tb,-532.3631436971125,60052.860710581735,0.0004697695642254164,-7.663268272373156
32,187Re,-inf,0.0,41600000000.0,24.45136600421363
33,193Pt,-41316786087.929955,0.0007752292854296174,50.0,3.912023005428146
34,70As,-927.2133629414967,34507.133656316066,0.00010000760514107536,-9.21026432345719
35,188Ir,-50760.391959064116,630.9910217282675,0.004734200319415925,-5.352942453742102
36,84Rb,-670060.2144595111,47.80157675952043,0.08985626283367557,-2.409543964968864
37,226Ra,-2375640702.879144,0.013482670954448734,1600.0,7.3777589082278725
38,94Tc,-12269.591937971036,2610.3045996896594,0.0005570765837706289,-7.492807834183788
39,126Cs,-25.192859355895596,1222851.699441949,3.1181078409004484e-06,-12.678284201364749
40,239U,-919.5149866132044,34795.720919706975,4.458513955433873e-05,-10.018109948308567
41,65Ga,-171.6280809167964,185543.29287851343,2.8772149973382002e-05,-10.456102653495966
42,147Pr,-1570.8240800462086,20377.587405111677,2.545820974979086e-05,-10.578472283497774
43,239Np,-817546.0416044308,39.17815238342688,0.00645037645448323,-5.043616784841468
44,182Ta,-272161194.36954296,0.11768754371092711,0.3141409993155373,-1.1579133514570839
45,146Sm,-121990.79920712808,262.5584898718445,0.068,-2.6882475738060303
46,158Tb,-4447353108.384802,0.007202032695523624,180.0,5.19295685089021
47,241Am,-592162029.0453992,0.05408989562475451,432.6,6.069813513518959
48,136Nd,-1388.2301923815007,23055.921727192774,9.630009886683397e-05,-9.248041212506163
49,165Dy,-23442.174836691578,1366.2817770940196,0.0002660278348163358,-8.231909612490508
50,209Pb,-11804.077269356967,2713.237859081411,0.00036903947068218115,-7.9046069530258904
51,194Ir,-185717.2234805113,172.4654801038472,0.002207392197125257,-6.1159434615029635
52,216At,0.9801920019752136,1617022706.5108056,9.506426344208685e-12,-25.37905308873103
53,65Ni,-4393.777156753027,7288.192650993327,0.0002871891398585444,-8.155369535368175
54,95Tc,-27938.29607164797,1146.413370417844,0.00219689710244125,-6.120709322160662
55,120I,-580.4821747664906,55083.343852222635,0.00015527796790630466,-8.770293705830671
56,92Sr,-5208.739721130293,6148.096505990438,0.0002978553502167465,-8.118902591261763
57,175Ta,-21119.904541130956,1516.5061948092723,0.0011978097193702942,-6.727260623815277
58,195Ir,-5201.344152400935,6156.836541046329,0.00026123659593885466,-8.250084063412606
59,183Ta,-585141.1144225759,54.738809234749105,0.013963039014373716,-4.271341510900529
60,128I,-1096.7741057277374,29177.207231871733,4.7513118868355e-05,-9.954504698353995
61,197Tl,-7171.151366358519,4465.882123854724,0.00032397900981063197,-8.03483182880564
62,125Cs,-928.0033234222766,34477.79116506097,8.432200167313103e-05,-9.380867734445268
63,131Sb,-1056.5027275511125,30288.32147863444,4.37865997414252e-05,-10.036182729368262
64,200Pt,-167109.1981512177,191.66982584519718,0.001437371663244353,-6.544939067021322
65,103Ru,-11077156.738654668,2.891534392869142,0.1074469541409993,-2.2307580030520318
66,149Eu,-253426161.1981582,0.12638782949114352,0.2548939082819986,-1.3669078663477876
67,72Ga,-67220.93761723072,476.48109697436195,0.0015999315537303218,-6.437794429569994
68,223Fr,-4683.8561745511815,6836.919082082471,4.182827591451821e-05,-10.08193798984254
69,238Np,-1797528.6804025793,17.818889404610548,0.005746748802190281,-5.159121009792313
70,222Ra,-0.15741300502212105,27673771.106441565,1.0647197505513727e-06,-13.752798938453797
71,133Ba,-11543660941.174223,0.0027746815098520974,10.5379,2.354978282275377
72,107Cd,-16912.355390116987,1893.7686720233357,0.0007415012548482775,-7.206833704077163
73,233Pa,-12564081.466240522,2.5493292218221613,0.07385352498288844,-2.6056715394866106
74,210Pb,-33875277811.09219,0.0009455267863812786,22.2,3.100092288878234
75,111Sn,-352.57414756369815,90589.15307384144,6.71153699901133e-05,-9.609097479261605
76,138La,inf,0.0,103000000000.0,25.357994825176046
77,103Pd,-60599918.42540549,0.5285482700353832,0.04651882272416153,-3.0678982585271872
78,68Ga,-750.9923318010516,42593.4962659629,0.00012898699520876112,-8.955798971019693
79,215At,0.9812423165636209,1707566005.431197,1.1724592491190712e-12,-27.471917650743006
80,183Hf,-10361.169376528775,3091.049896284417,0.00011613050422085329,-9.060795962850424
81,138Nd,-587840.4340700852,54.48745311270773,0.0005749486652977413,-7.461229798895477
82,169Lu,-48493.58754471029,660.4857201243082,0.003885466575404974,-5.550512205744212
83,75Ge,-1966.120186035847,16282.676983325477,0.00015738839455471898,-8.75679395688027
84,157Eu,-43071.31820597736,743.6326603882492,0.001731690622861054,-6.35865710901127
85,208Tl,-238.4548896021344,133762.0736407605,5.804623925773823e-06,-12.056855729448115
86,242Am,-2599.0675999381283,12318.903776718082,0.0018275154004106775,-6.304797939338541
87,141Ce,-2917692.4789855736,10.977843562820167,0.08899383983572896,-2.4191881269743765
88,115Sb,-643.9652409795,49661.56397507151,6.1031257129819754e-05,-9.704124413064886
89,245Bk,-9379970.915591791,3.414720519936065,0.013552361396303902,-4.3011944740502095
90,189Ir,-30009661.393111113,1.0673223229575095,0.036139630390143736,-3.3203652210384837
91,195Au,-414615970.1719903,0.07725216779723162,0.5092676249144421,-0.6747816149219495
92,143Ce,-987375.2836898736,32.439489489155754,0.003768993839835729,-5.580947199127838
93,119In,-30.886328329520044,1004505.1987672045,4.563084645220168e-06,-12.297511705846956
94,139Ce,-416673490.0108431,0.07687069916240932,0.3768432580424367,-0.9759259391474063
95,47V,-104.8826198578951,302504.6284233262,6.198189976424063e-05,-9.688668154828193
96,48Cr,-38787.81790120442,825.7529955715745,0.002459502623773671,-6.0077961349379585
97,81Kr,-52890698089963.555,6.055864120096969e-07,229000.0,12.341477282536376
98,207Po,-808.3351215085529,39575.673568816106,0.0006616472735569244,-7.320777963426381
99,238U,-inf,0.0,4463000000.0,22.219087022593545
100,98Nb,-0.670239362853869,19176881.642803922,9.062793114812278e-08,-16.216503380591195
101,69As,-186.84682657044053,170511.17211495704,2.88995360863944e-05,-10.451685015348625
102,109Cd,-1594348025.1667325,0.02008970566676647,1.2629705681040384,0.23346653993296604
103,68Ge,-1386689817.4356167,0.023098159480560005,0.742094455852156,-0.29827874492446166
104,80Br,-57668.50236998975,555.4059123157742,3.361472355312191e-05,-10.300546385991359
105,240Cm,-100815.06616246352,317.70712541938224,0.08323066392881587,-2.486139442218633
106,250Bk,-87076.08472398843,367.8348061160682,0.00036641569701117955,-7.9117420848942395
107,200Bi,-669.9277253379493,47739.840473081065,6.920678378583922e-05,-9.57841166855816
108,151Gd,-330133125.75705016,0.09702141342523389,0.33921971252566735,-1.081107261995712
109,220Fr,0.07230003048230695,34526230.06256335,8.682536061043931e-07,-13.956781992028931
110,83Br,-8285.383040220178,3865.375571118867,0.00027081907369381705,-8.214059584791277
111,145Gd,-432.7443409367743,73845.30368148316,4.372956118335995e-05,-10.037486227271705
112,225Ra,-2967299.783428168,10.794316085334433,0.04057494866529774,-3.2046044307628683
113,135Cs,-1528847.8384796917,20.950392066524632,0.00133,-6.622576336748475
114,57Co,-1913730452.2393491,0.01673693519485831,0.7441779603011636,-0.2954750787981811
115,149Gd,-24399181.20116583,1.3127482024811454,0.0254072553045859,-3.6727205038326995
116,242Cm,-546053.9983253024,58.65706325306024,0.4457221081451061,-0.808059597062369
117,211Bi,-3.1446129374971425,7728099.839388913,4.068750475321318e-06,-12.412174614167094
118,226Ac,-308884.8686560174,103.69520210155306,0.003350444900752909,-5.698662135768226
119,177Lu,-2403151.986031096,13.328316075911662,0.01819110198494182,-4.006822706377175
120,138Xe,-1515.0913255140622,21126.684149940927,2.688417370142216e-05,-10.523972782732429
121,181W,-285329029.4488292,0.11225630468123182,0.3311594798083504,-1.105155207529439
122,147Pm,-188137056.5143803,0.17024813186030707,2.6234,0.9644711863989084
123,157Ho,-387.19759840957755,82509.48153163698,2.3956194387405883e-05,-10.639283629243423
124,38Cl,-192.61808028979314,165428.6755072706,7.078485055897786e-05,-9.55586555531623
125,133Xe,-16838976.025295317,1.9021335160966062,0.014366598220396988,-4.242849334793402
126,191Os,-6268403.259203021,5.109750624261158,0.0410403832991102,-3.1931987385163025
127,247Cm,-24163.55068256054,1325.4946469875954,0.0156,-4.160484364726646
128,186Ta,-189.34449055539,168273.7571397171,1.996349532283824e-05,-10.821605186037377
129,79Rb,-291.9509761765851,109335.64036766965,4.3539432656475775e-05,-10.04184353264066
130,62Cu,-128.54195719276944,247255.66349856465,1.838923112023728e-05,-10.903745329888364
131,205Po,-234.64545811902093,135924.46394796603,0.00019849418206707733,-8.524750767752318
132,240Pu,-9479192193.78458,0.0033789777874719236,6561.0,8.788898309344878
133,44Ti,-212442934749.44247,0.00015076981773877468,59.1,4.079230924412053
